State,County,Black low access to store (%) 2015 (PCT_LACCESS_BLACK15),Units,FIPS,FID
Arkansas,Lafayette,7.8254828019438065,Percent,5073,222
Arkansas,Lawrence,0.09310199989208097,Percent,5075,230
Arkansas,Lee,23.09203649175969,Percent,5077,237
Arkansas,Lincoln,16.55568631005469,Percent,5079,244
Arkansas,Little River,4.70494468235544,Percent,5081,251
Arkansas,Logan,0.035827326698868074,Percent,5083,258
Arkansas,Lonoke,1.8931854891336821,Percent,5085,268
Arkansas,Madison,0.034170271070169754,Percent,5087,277
Arkansas,Marion,0.036029543436586806,Percent,5089,282
Arkansas,Miller,6.083727726145001,Percent,5091,287
Arkansas,Mississippi,4.102301800616673,Percent,5093,294
Arkansas,Monroe,4.2856590188201125,Percent,5095,300
Arkansas,Montgomery,0.00922987574569841,Percent,5097,304
Arkansas,Nevada,8.137176731496933,Percent,5099,307
Arkansas,Newton,0.03083590467119171,Percent,5101,311
Arkansas,Ouachita,11.00253930642144,Percent,5103,316
Arkansas,Perry,0.11449874390109238,Percent,5105,318
Arkansas,Phillips,32.79795864140511,Percent,5107,322
Arkansas,Pike,1.6381061537948187,Percent,5109,327
Arkansas,Poinsett,3.8273423817576093,Percent,5111,333
Arkansas,Polk,0.12501785176131594,Percent,5113,337
Arkansas,Pope,0.5790150321083816,Percent,5115,340
Arkansas,Prairie,2.613885496005496,Percent,5117,345
Arkansas,Pulaski,10.79552184799487,Percent,5119,350
Arkansas,Randolph,0.27239189731280095,Percent,5121,353
Arkansas,St. Francis,17.26057734261586,Percent,5123,357
Arkansas,Saline,1.2463169351274854,Percent,5125,360
Arkansas,Scott,0.17210422916804324,Percent,5127,364
Arkansas,Searcy,0.012202562560887004,Percent,5129,372
Arkansas,Sebastian,0.43771707837601476,Percent,5131,378
Arkansas,Sevier,2.557803321209339,Percent,5133,390
Arkansas,Sharp,0.03779220909474826,Percent,5135,394
Arkansas,Stone,0.028015725107526302,Percent,5137,399
Arkansas,Union,10.680111342342204,Percent,5139,403
Arkansas,Van Buren,0.004838762821559104,Percent,5141,407
Arkansas,Washington,0.5962394062133997,Percent,5143,417
Arkansas,White,0.7269483643834137,Percent,5145,428
Arkansas,Woodruff,0.4801063645425551,Percent,5147,435
Arkansas,Yell,0.11432575333736714,Percent,5149,438
California,Alameda,0.6898066352010335,Percent,6001,457
California,Alpine,0.0,Percent,6003,461
California,Amador,1.4804724577540076,Percent,6005,472
California,Butte,0.2168104927171359,Percent,6007,486
California,Calaveras,0.044190615380403704,Percent,6009,489
California,Colusa,0.17344177023289603,Percent,6011,497
California,Contra Costa,0.9354862286981673,Percent,6013,503
California,Del Norte,0.4312162994990597,Percent,6015,511
California,El Dorado,0.241802351292683,Percent,6017,522
California,Fresno,0.6252911657887507,Percent,6019,527
California,Glenn,0.16191892754043238,Percent,6021,537
California,Humboldt,0.12456749074933704,Percent,6023,551
California,Imperial,1.7739096145859519,Percent,6025,557
California,Inyo,0.16759205445842285,Percent,6027,562
California,Kern,0.9046406820135954,Percent,6029,84
California,Kings,2.629046230494548,Percent,6031,94
California,Lake,0.38502110495954533,Percent,6033,100
California,Lassen,7.475632836993553,Percent,6035,104
California,Los Angeles,0.5363183020538457,Percent,6037,139
California,Madera,1.1312980472718857,Percent,6039,153
California,Marin,0.15127854937017143,Percent,6041,168
California,Mariposa,0.19838874096910253,Percent,6043,178
California,Mendocino,0.11543534486745484,Percent,6045,190
California,Merced,0.4537800293249307,Percent,6047,204
California,Modoc,0.11422487825487199,Percent,6049,207
California,Mono,0.1628710338018737,Percent,6051,214
California,Monterey,0.3841065270998369,Percent,6053,228
California,Napa,0.04813616567175992,Percent,6055,236
California,Nevada,0.10134345353062857,Percent,6057,243
California,Orange,0.08468799672128859,Percent,6059,257
California,Placer,0.18384657836066806,Percent,6061,266
California,Plumas,0.03482901620037072,Percent,6063,275
California,Riverside,1.2005527678249357,Percent,6065,281
California,Sacramento,1.3800272783331478,Percent,6067,289
California,San Benito,0.10542251268928424,Percent,6069,295
California,San Bernardino,1.7650163854829135,Percent,6071,302
California,San Diego,0.527093080546465,Percent,6073,315
California,San Francisco,0.1400904937583488,Percent,6075,331
California,San Joaquin,1.2340466924220568,Percent,6077,339
California,San Luis Obispo,0.3699553578812459,Percent,6079,351
California,San Mateo,0.09308450574679232,Percent,6081,368
California,Santa Barbara,0.32285238728430865,Percent,6083,391
California,Santa Clara,0.1651980680098067,Percent,6085,406
California,Santa Cruz,0.14230414892641263,Percent,6087,415
California,Shasta,0.18324597173881496,Percent,6089,431
California,Sierra,0.18518518719236143,Percent,6091,439
California,Siskiyou,0.17315777276231314,Percent,6093,446
California,Solano,2.7310247850460634,Percent,6095,453
California,Sonoma,0.1802608682066647,Percent,6097,463
California,Stanislaus,0.31008512559924617,Percent,6099,473
California,Sutter,0.6428510308436218,Percent,6101,483
California,Tehama,0.20372679778129146,Percent,6103,492
California,Trinity,0.03938346357335391,Percent,6105,500
California,Tulare,0.18895510290123002,Percent,6107,501
California,Tuolumne,0.17219945553376845,Percent,6109,513
California,Ventura,0.25188831488134106,Percent,6111,521
California,Yolo,0.11425395140170028,Percent,6113,525
California,Yuba,0.6199231883083791,Percent,6115,541
Colorado,Adams,0.5612351619085106,Percent,8001,545
Colorado,Alamosa,0.03335337559552366,Percent,8003,549
Colorado,Arapahoe,0.9819815775945475,Percent,8005,558
Colorado,Archuleta,0.13549505873139356,Percent,8007,560
Colorado,Baca,0.07919746853731495,Percent,8009,563
Colorado,Bent,2.274246994078689,Percent,8011,564
Colorado,Boulder,0.11915177166978377,Percent,8013,570
Colorado,Broomfield,0.3039077372941133,Percent,8014,577
Colorado,Chaffee,0.026406664446436072,Percent,8015,582
Colorado,Cheyenne,0.38126361371709916,Percent,8017,587
Colorado,Clear Creek,0.1568357130452916,Percent,8019,591
Colorado,Conejos,0.02402504874560889,Percent,8021,596
Colorado,Costilla,0.6810442537611464,Percent,8023,599
Colorado,Crowley,0.01717327837884252,Percent,8025,605
Colorado,Custer,0.06939786708872832,Percent,8027,610
Colorado,Delta,0.016654779311075986,Percent,8029,617
Colorado,Denver,2.3009139722508904,Percent,8031,628
Colorado,Dolores,0.19379845000158236,Percent,8033,636
Colorado,Douglas,0.20491611598983378,Percent,8035,644
Colorado,Eagle,0.10732257809848361,Percent,8037,648
Colorado,Elbert,0.141384975263908,Percent,8039,655
Colorado,El Paso,1.7818045530142559,Percent,8041,661
Colorado,Fremont,0.9122290197140418,Percent,8043,664
Colorado,Garfield,0.08156223686726365,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.0,Percent,8049,677
Colorado,Gunnison,0.0039225239068036155,Percent,8051,682
Colorado,Hinsdale,0.0,Percent,8053,688
Colorado,Huerfano,0.12116947183198792,Percent,8055,693
Colorado,Jackson,0.0,Percent,8057,701
Colorado,Jefferson,0.18608343526170745,Percent,8059,706
Colorado,Kiowa,0.28612303024689917,Percent,8061,711
Colorado,Kit Carson,0.012091897862252926,Percent,8063,716
Colorado,Lake,0.05406522160255376,Percent,8065,721
Colorado,La Plata,0.055428781248235665,Percent,8067,727
Colorado,Larimer,0.10316251994465608,Percent,8069,734
Colorado,Las Animas,0.8715520780432837,Percent,8071,741
Colorado,Lincoln,0.1280409781818328,Percent,8073,747
Colorado,Logan,0.09284178741350126,Percent,8075,749
Colorado,Mesa,0.19856851952047191,Percent,8077,751
Colorado,Mineral,0.0,Percent,8079,757
Colorado,Moffat,0.1008762369374904,Percent,8081,758
Colorado,Montezuma,0.02769841236972837,Percent,8083,766
Colorado,Montrose,0.05818422917120748,Percent,8085,769
Colorado,Morgan,0.9297117283418267,Percent,8087,775
Colorado,Otero,0.2469267868357676,Percent,8089,777
Colorado,Ouray,0.0,Percent,8091,780
Colorado,Park,0.19348221528865173,Percent,8093,782
Colorado,Phillips,0.0,Percent,8095,785
Colorado,Pitkin,0.1118349144819081,Percent,8097,789
Colorado,Prowers,0.19326447973206992,Percent,8099,792
Colorado,Pueblo,0.6743398953995399,Percent,8101,795
Colorado,Rio Blanco,0.030003000176444646,Percent,8103,799
Colorado,Rio Grande,0.08735574173770322,Percent,8105,802
Colorado,Routt,0.13690245523761455,Percent,8107,809
Colorado,Saguache,0.01613483303937991,Percent,8109,811
Colorado,San Juan,0.0,Percent,8111,347
Colorado,San Miguel,0.0,Percent,8113,359
Colorado,Sedgwick,0.08406893836789239,Percent,8115,366
Colorado,Summit,0.12563408371225193,Percent,8117,373
Colorado,Teller,0.046130036759714776,Percent,8119,375
Colorado,Washington,0.10386373154161696,Percent,8121,377
Colorado,Weld,0.1002175428801139,Percent,8123,382
Colorado,Yuma,0.022798890274535796,Percent,8125,385
Connecticut,Fairfield,1.1065894933650113,Percent,9001,410
Connecticut,Hartford,2.089996142205424,Percent,9003,432
Connecticut,Litchfield,0.2601620728793052,Percent,9005,443
Connecticut,Middlesex,1.240987881723412,Percent,9007,450
Connecticut,New Haven,1.4431183742323912,Percent,9009,466
Connecticut,New London,2.0755577095445146,Percent,9011,517
Connecticut,Tolland,1.3195304615555534,Percent,9013,524
Connecticut,Windham,0.4071645024825463,Percent,9015,529
Delaware,Kent,3.268408877478177,Percent,10001,532
Delaware,New Castle,4.566347257121913,Percent,10003,536
Delaware,Sussex,1.6925753587864363,Percent,10005,609
District of Columbia,District of Columbia,1.2220080632043397,Percent,11001,630
