State,County,WIC redemptions per WIC-authorized stores (% change) 2011-16 (PCH_REDEMP_WICS_11_16),Units,FIPS,FID
Arkansas,Polk,35.59974670410156,% change,5113,337
Arkansas,Pope,-22.66222381591797,% change,5115,340
Arkansas,Prairie,187.59608459472656,% change,5117,345
Arkansas,Pulaski,-11.331451416015625,% change,5119,350
Arkansas,Randolph,-9.401140213012695,% change,5121,353
Arkansas,St. Francis,7.466544151306152,% change,5123,357
Arkansas,Saline,-37.01234436035156,% change,5125,360
Arkansas,Scott,-67.1352767944336,% change,5127,364
Arkansas,Searcy,-25.968027114868164,% change,5129,372
Arkansas,Sebastian,-22.52387809753418,% change,5131,378
Arkansas,Sevier,-14.447490692138672,% change,5133,390
Arkansas,Sharp,-13.581151008605957,% change,5135,394
Arkansas,Stone,-13.675718307495117,% change,5137,399
Arkansas,Union,-6.93834924697876,% change,5139,403
Arkansas,Van Buren,-34.811553955078125,% change,5141,407
Arkansas,Washington,-20.45957374572754,% change,5143,417
Arkansas,White,-11.644950866699219,% change,5145,428
Arkansas,Woodruff,9.648794174194336,% change,5147,435
Arkansas,Yell,-11.326342582702637,% change,5149,438
California,Alameda,8.47111988067627,% change,6001,457
California,Alpine,nan,% change,6003,461
California,Amador,13.499760627746582,% change,6005,472
California,Butte,5.305423736572266,% change,6007,486
California,Calaveras,25.783912658691406,% change,6009,489
California,Colusa,4.666073799133301,% change,6011,497
California,Contra Costa,5.155993938446045,% change,6013,503
California,Del Norte,177.26431274414062,% change,6015,511
California,El Dorado,-27.59389305114746,% change,6017,522
California,Fresno,21.58198356628418,% change,6019,527
California,Glenn,1.1167705059051514,% change,6021,537
California,Humboldt,-6.933903694152832,% change,6023,551
California,Imperial,10.895113945007324,% change,6025,557
California,Inyo,56.77082061767578,% change,6027,562
California,Kern,16.022968292236328,% change,6029,84
California,Kings,12.450039863586426,% change,6031,94
California,Lake,1.0034972429275513,% change,6033,100
California,Lassen,61.39582061767578,% change,6035,104
California,Los Angeles,2.143291711807251,% change,6037,139
California,Madera,5.623432159423828,% change,6039,153
California,Marin,5.141746520996094,% change,6041,168
California,Mariposa,49.89906311035156,% change,6043,178
California,Mendocino,40.52410125732422,% change,6045,190
California,Merced,6.433874607086182,% change,6047,204
California,Modoc,-50.208988189697266,% change,6049,207
California,Mono,-14.815845489501953,% change,6051,214
California,Monterey,22.145278930664062,% change,6053,228
California,Napa,-10.795310974121094,% change,6055,236
California,Nevada,-28.614728927612305,% change,6057,243
California,Orange,-3.720019817352295,% change,6059,257
California,Placer,-31.91219139099121,% change,6061,266
California,Plumas,-13.760869026184082,% change,6063,275
California,Riverside,4.293633460998535,% change,6065,281
California,Sacramento,-1.0497902631759644,% change,6067,289
California,San Benito,-4.3330397605896,% change,6069,295
California,San Bernardino,0.04866189882159233,% change,6071,302
California,San Diego,1.3670437335968018,% change,6073,315
California,San Francisco,27.01721954345703,% change,6075,331
California,San Joaquin,17.29505157470703,% change,6077,339
California,San Luis Obispo,-22.295730590820312,% change,6079,351
California,San Mateo,-20.747102737426758,% change,6081,368
California,Santa Barbara,-13.23143196105957,% change,6083,391
California,Santa Clara,-14.544057846069336,% change,6085,406
California,Santa Cruz,-21.982295989990234,% change,6087,415
California,Shasta,8.218624114990234,% change,6089,431
California,Sierra,-29.59050750732422,% change,6091,439
California,Siskiyou,4.413985252380371,% change,6093,446
California,Solano,-11.897908210754395,% change,6095,453
California,Sonoma,-5.7649102210998535,% change,6097,463
California,Stanislaus,14.907320022583008,% change,6099,473
California,Sutter,-9.212796211242676,% change,6101,483
California,Tehama,18.01021385192871,% change,6103,492
California,Trinity,-24.35382080078125,% change,6105,500
California,Tulare,-3.864241123199463,% change,6107,501
California,Tuolumne,-7.113307476043701,% change,6109,513
California,Ventura,-29.18069839477539,% change,6111,521
California,Yolo,-7.273609161376953,% change,6113,525
California,Yuba,54.83911895751953,% change,6115,541
Colorado,Adams,-24.346433639526367,% change,8001,545
Colorado,Alamosa,-16.584699630737305,% change,8003,549
Colorado,Arapahoe,-21.959636688232422,% change,8005,558
Colorado,Archuleta,-49.95550537109375,% change,8007,560
Colorado,Baca,-30.576904296875,% change,8009,563
Colorado,Bent,-26.39201545715332,% change,8011,564
Colorado,Boulder,-23.41691780090332,% change,8013,570
Colorado,Broomfield,64.416259765625,% change,8014,577
Colorado,Chaffee,-45.514869689941406,% change,8015,582
Colorado,Cheyenne,112.874755859375,% change,8017,587
Colorado,Clear Creek,-46.052738189697266,% change,8019,591
Colorado,Conejos,-45.0115852355957,% change,8021,596
Colorado,Costilla,-13.546292304992676,% change,8023,599
Colorado,Crowley,-1.1731586456298828,% change,8025,605
Colorado,Custer,-74.8711929321289,% change,8027,610
Colorado,Delta,-5.858768939971924,% change,8029,617
Colorado,Denver,-17.76326560974121,% change,8031,628
Colorado,Dolores,-28.256404876708984,% change,8033,636
Colorado,Douglas,-38.99216079711914,% change,8035,644
Colorado,Eagle,-5.818106651306152,% change,8037,648
Colorado,Elbert,-6.159114360809326,% change,8039,655
Colorado,El Paso,-22.52785873413086,% change,8041,661
Colorado,Fremont,-11.508492469787598,% change,8043,664
Colorado,Garfield,-21.27275276184082,% change,8045,667
Colorado,Gilpin,nan,% change,8047,672
Colorado,Grand,-24.57830810546875,% change,8049,677
Colorado,Gunnison,-12.958369255065918,% change,8051,682
Colorado,Hinsdale,nan,% change,8053,688
Colorado,Huerfano,5.503037929534912,% change,8055,693
Colorado,Jackson,-43.20803451538086,% change,8057,701
Colorado,Jefferson,1.2194750308990479,% change,8059,706
Colorado,Kiowa,28.595460891723633,% change,8061,711
Colorado,Kit Carson,8.17448902130127,% change,8063,716
Colorado,Lake,-29.89942741394043,% change,8065,721
Colorado,La Plata,-10.635503768920898,% change,8067,727
Colorado,Larimer,-24.439340591430664,% change,8069,734
Colorado,Las Animas,-0.49456772208213806,% change,8071,741
Colorado,Lincoln,-27.407365798950195,% change,8073,747
Colorado,Logan,-11.147756576538086,% change,8075,749
Colorado,Mesa,-2.7012054920196533,% change,8077,751
Colorado,Mineral,nan,% change,8079,757
Colorado,Moffat,61.6926383972168,% change,8081,758
Colorado,Montezuma,-66.067138671875,% change,8083,766
Colorado,Montrose,2.9407968521118164,% change,8085,769
Colorado,Morgan,-13.70507526397705,% change,8087,775
Colorado,Otero,-0.03321946784853935,% change,8089,777
Colorado,Ouray,-51.63793182373047,% change,8091,780
Colorado,Park,-48.2005615234375,% change,8093,782
Colorado,Phillips,-7.713452339172363,% change,8095,785
Colorado,Pitkin,96.02593994140625,% change,8097,789
Colorado,Prowers,-2.732072353363037,% change,8099,792
Colorado,Pueblo,-27.271970748901367,% change,8101,795
Colorado,Rio Blanco,-32.65434265136719,% change,8103,799
Colorado,Rio Grande,-33.002220153808594,% change,8105,802
Colorado,Routt,-12.609979629516602,% change,8107,809
Colorado,Saguache,16.740734100341797,% change,8109,811
Colorado,San Juan,nan,% change,8111,347
Colorado,San Miguel,-38.62526321411133,% change,8113,359
Colorado,Sedgwick,3.0056943893432617,% change,8115,366
Colorado,Summit,-47.064109802246094,% change,8117,373
Colorado,Teller,5.5145673751831055,% change,8119,375
Colorado,Washington,-22.344999313354492,% change,8121,377
Colorado,Weld,17.72410774230957,% change,8123,382
Colorado,Yuma,10.337800979614258,% change,8125,385
Connecticut,Fairfield,-12.529924392700195,% change,9001,410
Connecticut,Hartford,-21.29671859741211,% change,9003,432
Connecticut,Litchfield,-20.237520217895508,% change,9005,443
Connecticut,Middlesex,9.870657920837402,% change,9007,450
Connecticut,New Haven,-6.827328681945801,% change,9009,466
Connecticut,New London,-13.33851146697998,% change,9011,517
Connecticut,Tolland,-12.132847785949707,% change,9013,524
Connecticut,Windham,-5.51816463470459,% change,9015,529
Delaware,Kent,31.48358917236328,% change,10001,532
Delaware,New Castle,42.51084899902344,% change,10003,536
Delaware,Sussex,8.327486038208008,% change,10005,609
District of Columbia,District of Columbia,-23.600751876831055,% change,11001,630
Florida,Alachua,-7.845531940460205,% change,12001,639
Florida,Baker,27.354516983032227,% change,12003,641
Florida,Bay,-10.445496559143066,% change,12005,658
Florida,Bradford,-27.617511749267578,% change,12007,665
Florida,Brevard,6.9524359703063965,% change,12009,686
Florida,Broward,5.9798903465271,% change,12011,695
Florida,Calhoun,-7.417316436767578,% change,12013,699
Florida,Charlotte,-1.5514237880706787,% change,12015,743
Florida,Citrus,-7.906299114227295,% change,12017,843
Florida,Clay,10.19895076751709,% change,12019,852
Florida,Collier,2.252208709716797,% change,12021,894
Florida,Columbia,5.91975212097168,% change,12023,903
Florida,DeSoto,-0.41594797372817993,% change,12027,906
Florida,Dixie,-38.34986114501953,% change,12029,918
Florida,Duval,-1.7611192464828491,% change,12031,924
Florida,Escambia,-16.000076293945312,% change,12033,931
Florida,Flagler,-6.074085712432861,% change,12035,935
Florida,Franklin,-9.629647254943848,% change,12037,937
Florida,Gadsden,38.1860466003418,% change,12039,938
Florida,Gilchrist,-41.87528991699219,% change,12041,939
Florida,Glades,nan,% change,12043,940
Florida,Gulf,-6.237877368927002,% change,12045,941
Florida,Hamilton,-35.72728729248047,% change,12047,942
Florida,Hardee,-21.21092414855957,% change,12049,943
Florida,Hendry,59.77487564086914,% change,12051,944
Florida,Hernando,16.181020736694336,% change,12053,945
Florida,Highlands,13.56052017211914,% change,12055,946
Florida,Hillsborough,-4.29982852935791,% change,12057,947
Florida,Holmes,-16.43997573852539,% change,12059,948
Florida,Indian River,-13.057419776916504,% change,12061,949
Florida,Jackson,33.84968948364258,% change,12063,950
Florida,Jefferson,-50.15567398071289,% change,12065,951
Florida,Lafayette,-31.920917510986328,% change,12067,952
Florida,Lake,9.131285667419434,% change,12069,953
Florida,Lee,5.400466442108154,% change,12071,954
