State,County,WIC infant and children participants (% infant & children) 2016 (PCT_WICINFANTCHILD16),Units,FIPS,FID
Georgia,Carroll,28.307644706562307,Percent,13045,620
Georgia,Catoosa,28.307644706562307,Percent,13047,626
Georgia,Charlton,28.307644706562307,Percent,13049,635
Georgia,Chatham,28.307644706562307,Percent,13051,646
Georgia,Chattahoochee,28.307644706562307,Percent,13053,656
Georgia,Chattooga,28.307644706562307,Percent,13055,659
Georgia,Cherokee,28.307644706562307,Percent,13057,662
Georgia,Clarke,28.307644706562307,Percent,13059,666
Georgia,Clay,28.307644706562307,Percent,13061,670
Georgia,Clayton,28.307644706562307,Percent,13063,673
Georgia,Clinch,28.307644706562307,Percent,13065,676
Georgia,Cobb,28.307644706562307,Percent,13067,680
Georgia,Coffee,28.307644706562307,Percent,13069,684
Georgia,Colquitt,28.307644706562307,Percent,13071,689
Georgia,Columbia,28.307644706562307,Percent,13073,692
Georgia,Cook,28.307644706562307,Percent,13075,697
Georgia,Coweta,28.307644706562307,Percent,13077,700
Georgia,Crawford,28.307644706562307,Percent,13079,704
Georgia,Crisp,28.307644706562307,Percent,13081,707
Georgia,Dade,28.307644706562307,Percent,13083,708
Georgia,Dawson,28.307644706562307,Percent,13085,713
Georgia,Decatur,28.307644706562307,Percent,13087,714
Georgia,DeKalb,28.307644706562307,Percent,13089,718
Georgia,Dodge,28.307644706562307,Percent,13091,720
Georgia,Dooly,28.307644706562307,Percent,13093,724
Georgia,Dougherty,28.307644706562307,Percent,13095,728
Georgia,Douglas,28.307644706562307,Percent,13097,731
Georgia,Early,28.307644706562307,Percent,13099,735
Georgia,Echols,28.307644706562307,Percent,13101,737
Georgia,Effingham,28.307644706562307,Percent,13103,742
Georgia,Elbert,28.307644706562307,Percent,13105,746
Georgia,Emanuel,28.307644706562307,Percent,13107,750
Georgia,Evans,28.307644706562307,Percent,13109,754
Georgia,Fannin,28.307644706562307,Percent,13111,755
Georgia,Fayette,28.307644706562307,Percent,13113,760
Georgia,Floyd,28.307644706562307,Percent,13115,764
