State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Arkansas,Mississippi,78.02896503002472,Percent,5093,294
Arkansas,Monroe,91.18432769367764,Percent,5095,300
Arkansas,Montgomery,61.64817749603804,Percent,5097,304
Arkansas,Nevada,100.0,Percent,5099,307
Arkansas,Newton,61.36162687886826,Percent,5101,311
Arkansas,Ouachita,63.87631975867269,Percent,5103,316
Arkansas,Perry,49.51219512195122,Percent,5105,318
Arkansas,Phillips,94.67535995653355,Percent,5107,322
Arkansas,Pike,59.94736842105263,Percent,5109,327
Arkansas,Poinsett,76.80316426244765,Percent,5111,333
Arkansas,Polk,68.61963190184049,Percent,5113,337
Arkansas,Pope,48.664775506211484,Percent,5115,340
Arkansas,Prairie,57.52066115702479,Percent,5117,345
Arkansas,Pulaski,64.79398244880903,Percent,5119,350
Arkansas,Randolph,57.21881390593047,Percent,5121,353
Arkansas,St. Francis,73.4153005464481,Percent,5123,357
Arkansas,Saline,33.66589069947899,Percent,5125,360
Arkansas,Scott,60.81582200247219,Percent,5127,364
Arkansas,Searcy,58.88993414863594,Percent,5129,372
Arkansas,Sebastian,57.00601143639118,Percent,5131,378
Arkansas,Sevier,67.65327695560254,Percent,5133,390
Arkansas,Sharp,59.909909909909906,Percent,5135,394
Arkansas,Stone,56.166763173132594,Percent,5137,399
Arkansas,Union,54.282725251732714,Percent,5139,403
Arkansas,Van Buren,100.0,Percent,5141,407
Arkansas,Washington,50.625942684766216,Percent,5143,417
Arkansas,White,50.68745679391659,Percent,5145,428
Arkansas,Woodruff,70.81749049429658,Percent,5147,435
Arkansas,Yell,71.21530207604386,Percent,5149,438
California,Alameda,38.39683412894181,Percent,6001,457
California,Alpine,nan,Percent,6003,461
California,Amador,40.565110565110565,Percent,6005,472
California,Butte,48.32489601135008,Percent,6007,486
California,Calaveras,52.48981038454723,Percent,6009,489
California,Colusa,51.838546069315306,Percent,6011,497
California,Contra Costa,34.04605169578798,Percent,6013,503
California,Del Norte,56.22596153846153,Percent,6015,511
California,El Dorado,24.467486818980667,Percent,6017,522
California,Fresno,60.53815929274502,Percent,6019,527
California,Glenn,55.46666666666666,Percent,6021,537
California,Humboldt,46.935352988909926,Percent,6023,551
California,Imperial,67.49804941482445,Percent,6025,557
California,Inyo,nan,Percent,6027,562
California,Kern,63.089692131508436,Percent,6029,84
California,Kings,58.78524945770065,Percent,6031,94
California,Lake,66.34156913740789,Percent,6033,100
California,Lassen,39.963792713283546,Percent,6035,104
California,Los Angeles,58.28687962867936,Percent,6037,139
California,Madera,66.58190362764348,Percent,6039,153
California,Marin,22.187341166621817,Percent,6041,168
California,Mariposa,nan,Percent,6043,178
California,Mendocino,59.32318873495343,Percent,6045,190
California,Merced,69.73615510459814,Percent,6047,204
California,Modoc,48.86025768087215,Percent,6049,207
California,Mono,nan,Percent,6051,214
California,Monterey,60.72176329513875,Percent,6053,228
California,Napa,37.56372030393383,Percent,6055,236
California,Nevada,37.01770473301827,Percent,6057,243
California,Orange,42.078370760978274,Percent,6059,257
California,Placer,19.64611061359355,Percent,6061,266
California,Plumas,nan,Percent,6063,275
California,Riverside,53.22960153570896,Percent,6065,281
California,Sacramento,49.642372039772006,Percent,6067,289
California,San Benito,47.96999531176746,Percent,6069,295
California,San Bernardino,61.085185614763304,Percent,6071,302
California,San Diego,41.530976230916814,Percent,6073,315
California,San Francisco,47.73044099146578,Percent,6075,331
California,San Joaquin,52.903653095370885,Percent,6077,339
California,San Luis Obispo,36.42963728191001,Percent,6079,351
California,San Mateo,26.626114824263635,Percent,6081,368
California,Santa Barbara,49.04478001653684,Percent,6083,391
California,Santa Clara,30.543653603310972,Percent,6085,406
California,Santa Cruz,44.571210773726335,Percent,6087,415
California,Shasta,44.176691441268865,Percent,6089,431
California,Sierra,nan,Percent,6091,439
California,Siskiyou,nan,Percent,6093,446
California,Solano,43.788199978337225,Percent,6095,453
California,Sonoma,35.49957753941772,Percent,6097,463
California,Stanislaus,57.28668957873462,Percent,6099,473
California,Sutter,51.567927441142416,Percent,6101,483
California,Tehama,nan,Percent,6103,492
California,Trinity,nan,Percent,6105,500
California,Tulare,68.27746024945718,Percent,6107,501
California,Tuolumne,nan,Percent,6109,513
California,Ventura,41.01384873123371,Percent,6111,521
California,Yolo,43.65285399756827,Percent,6113,525
California,Yuba,57.986086208133116,Percent,6115,541
Colorado,Adams,44.52909364270808,Percent,8001,545
Colorado,Alamosa,52.04402515723271,Percent,8003,549
Colorado,Arapahoe,33.928493777341,Percent,8005,558
Colorado,Archuleta,41.83673469387755,Percent,8007,560
Colorado,Baca,45.337620578778136,Percent,8009,563
Colorado,Bent,53.83647798742138,Percent,8011,564
Colorado,Boulder,23.262708350609504,Percent,8013,570
Colorado,Broomfield,14.421237244897958,Percent,8014,577
Colorado,Chaffee,26.115485564304464,Percent,8015,582
Colorado,Cheyenne,41.47909967845659,Percent,8017,587
Colorado,Clear Creek,18.75,Percent,8019,591
Colorado,Conejos,55.07987220447285,Percent,8021,596
Colorado,Costilla,76.878612716763,Percent,8023,599
Colorado,Crowley,65.1685393258427,Percent,8025,605
Colorado,Custer,35.87786259541985,Percent,8027,610
Colorado,Delta,45.24478330658106,Percent,8029,617
Colorado,Denver,59.95081409264078,Percent,8031,628
Colorado,Dolores,37.80918727915194,Percent,8033,636
Colorado,Douglas,8.896976899650895,Percent,8035,644
Colorado,Eagle,31.34715025906736,Percent,8037,648
Colorado,Elbert,15.925700365408039,Percent,8039,655
Colorado,El Paso,30.354880126209437,Percent,8041,661
Colorado,Fremont,43.85253812005404,Percent,8043,664
Colorado,Garfield,34.99719048510957,Percent,8045,667
Colorado,Gilpin,22.707423580786028,Percent,8047,672
Colorado,Grand,27.679083094555875,Percent,8049,677
Colorado,Gunnison,22.34524408656266,Percent,8051,682
Colorado,Hinsdale,20.18348623853211,Percent,8053,688
Colorado,Huerfano,63.10299869621904,Percent,8055,693
Colorado,Jackson,37.055837563451774,Percent,8057,701
Colorado,Jefferson,24.787655395041096,Percent,8059,706
