State,County,SNAP Broad-based Categorical Eligibility 2016 (SNAP_BBCE16),Units,FIPS,FID
California,San Francisco,1,Classification,6075,331
California,San Joaquin,1,Classification,6077,339
California,San Luis Obispo,1,Classification,6079,351
California,San Mateo,1,Classification,6081,368
California,Santa Barbara,1,Classification,6083,391
California,Santa Clara,1,Classification,6085,406
California,Santa Cruz,1,Classification,6087,415
California,Shasta,1,Classification,6089,431
California,Sierra,1,Classification,6091,439
California,Siskiyou,1,Classification,6093,446
California,Solano,1,Classification,6095,453
California,Sonoma,1,Classification,6097,463
California,Stanislaus,1,Classification,6099,473
California,Sutter,1,Classification,6101,483
California,Tehama,1,Classification,6103,492
California,Trinity,1,Classification,6105,500
California,Tulare,1,Classification,6107,501
California,Tuolumne,1,Classification,6109,513
California,Ventura,1,Classification,6111,521
California,Yolo,1,Classification,6113,525
California,Yuba,1,Classification,6115,541
Colorado,Adams,1,Classification,8001,545
Colorado,Alamosa,1,Classification,8003,549
Colorado,Arapahoe,1,Classification,8005,558
Colorado,Archuleta,1,Classification,8007,560
Colorado,Baca,1,Classification,8009,563
Colorado,Bent,1,Classification,8011,564
Colorado,Boulder,1,Classification,8013,570
Colorado,Broomfield,1,Classification,8014,577
Colorado,Chaffee,1,Classification,8015,582
Colorado,Cheyenne,1,Classification,8017,587
Colorado,Clear Creek,1,Classification,8019,591
Colorado,Conejos,1,Classification,8021,596
Colorado,Costilla,1,Classification,8023,599
Colorado,Crowley,1,Classification,8025,605
Colorado,Custer,1,Classification,8027,610
Colorado,Delta,1,Classification,8029,617
Colorado,Denver,1,Classification,8031,628
Colorado,Dolores,1,Classification,8033,636
Colorado,Douglas,1,Classification,8035,644
Colorado,Eagle,1,Classification,8037,648
Colorado,Elbert,1,Classification,8039,655
Colorado,El Paso,1,Classification,8041,661
Colorado,Fremont,1,Classification,8043,664
Colorado,Garfield,1,Classification,8045,667
Colorado,Gilpin,1,Classification,8047,672
Colorado,Grand,1,Classification,8049,677
Colorado,Gunnison,1,Classification,8051,682
Colorado,Hinsdale,1,Classification,8053,688
Colorado,Huerfano,1,Classification,8055,693
Colorado,Jackson,1,Classification,8057,701
Colorado,Jefferson,1,Classification,8059,706
Colorado,Kiowa,1,Classification,8061,711
Colorado,Kit Carson,1,Classification,8063,716
Colorado,Lake,1,Classification,8065,721
Colorado,La Plata,1,Classification,8067,727
Colorado,Larimer,1,Classification,8069,734
Colorado,Las Animas,1,Classification,8071,741
Colorado,Lincoln,1,Classification,8073,747
Colorado,Logan,1,Classification,8075,749
Colorado,Mesa,1,Classification,8077,751
Colorado,Mineral,1,Classification,8079,757
Colorado,Moffat,1,Classification,8081,758
Colorado,Montezuma,1,Classification,8083,766
Colorado,Montrose,1,Classification,8085,769
Colorado,Morgan,1,Classification,8087,775
Colorado,Otero,1,Classification,8089,777
Colorado,Ouray,1,Classification,8091,780
Colorado,Park,1,Classification,8093,782
Colorado,Phillips,1,Classification,8095,785
Colorado,Pitkin,1,Classification,8097,789
Colorado,Prowers,1,Classification,8099,792
Colorado,Pueblo,1,Classification,8101,795
Colorado,Rio Blanco,1,Classification,8103,799
Colorado,Rio Grande,1,Classification,8105,802
Colorado,Routt,1,Classification,8107,809
Colorado,Saguache,1,Classification,8109,811
Colorado,San Juan,1,Classification,8111,347
Colorado,San Miguel,1,Classification,8113,359
Colorado,Sedgwick,1,Classification,8115,366
Colorado,Summit,1,Classification,8117,373
Colorado,Teller,1,Classification,8119,375
Colorado,Washington,1,Classification,8121,377
Colorado,Weld,1,Classification,8123,382
Colorado,Yuma,1,Classification,8125,385
Connecticut,Fairfield,1,Classification,9001,410
Connecticut,Hartford,1,Classification,9003,432
Connecticut,Litchfield,1,Classification,9005,443
Connecticut,Middlesex,1,Classification,9007,450
Connecticut,New Haven,1,Classification,9009,466
Connecticut,New London,1,Classification,9011,517
Connecticut,Tolland,1,Classification,9013,524
Connecticut,Windham,1,Classification,9015,529
Delaware,Kent,1,Classification,10001,532
Delaware,New Castle,1,Classification,10003,536
Delaware,Sussex,1,Classification,10005,609
District of Columbia,District of Columbia,1,Classification,11001,630
Florida,Alachua,1,Classification,12001,639
Florida,Baker,1,Classification,12003,641
Florida,Bay,1,Classification,12005,658
Florida,Bradford,1,Classification,12007,665
Florida,Brevard,1,Classification,12009,686
Florida,Broward,1,Classification,12011,695
Florida,Calhoun,1,Classification,12013,699
Florida,Charlotte,1,Classification,12015,743
Florida,Citrus,1,Classification,12017,843
Florida,Clay,1,Classification,12019,852
Florida,Collier,1,Classification,12021,894
Florida,Columbia,1,Classification,12023,903
Florida,DeSoto,1,Classification,12027,906
Florida,Dixie,1,Classification,12029,918
Florida,Duval,1,Classification,12031,924
Florida,Escambia,1,Classification,12033,931
Florida,Flagler,1,Classification,12035,935
Florida,Franklin,1,Classification,12037,937
Florida,Gadsden,1,Classification,12039,938
Florida,Gilchrist,1,Classification,12041,939
Florida,Glades,1,Classification,12043,940
Florida,Gulf,1,Classification,12045,941
Florida,Hamilton,1,Classification,12047,942
Florida,Hardee,1,Classification,12049,943
Florida,Hendry,1,Classification,12051,944
Florida,Hernando,1,Classification,12053,945
Florida,Highlands,1,Classification,12055,946
Florida,Hillsborough,1,Classification,12057,947
