State,County,FDPIR Sites 2012-15 (PCH_FDPIR_12_15),Units,FIPS,FID
Colorado,Sedgwick,0.0,Count,8115,366
Colorado,Summit,0.0,Count,8117,373
Colorado,Teller,0.0,Count,8119,375
Colorado,Washington,0.0,Count,8121,377
Colorado,Weld,0.0,Count,8123,382
Colorado,Yuma,0.0,Count,8125,385
Connecticut,Fairfield,0.0,Count,9001,410
Connecticut,Hartford,0.0,Count,9003,432
Connecticut,Litchfield,0.0,Count,9005,443
Connecticut,Middlesex,0.0,Count,9007,450
Connecticut,New Haven,0.0,Count,9009,466
Connecticut,New London,0.0,Count,9011,517
Connecticut,Tolland,0.0,Count,9013,524
Connecticut,Windham,0.0,Count,9015,529
Delaware,Kent,0.0,Count,10001,532
Delaware,New Castle,0.0,Count,10003,536
Delaware,Sussex,0.0,Count,10005,609
District of Columbia,District of Columbia,0.0,Count,11001,630
Florida,Alachua,0.0,Count,12001,639
Florida,Baker,0.0,Count,12003,641
Florida,Bay,0.0,Count,12005,658
Florida,Bradford,0.0,Count,12007,665
Florida,Brevard,0.0,Count,12009,686
Florida,Broward,0.0,Count,12011,695
Florida,Calhoun,0.0,Count,12013,699
Florida,Charlotte,0.0,Count,12015,743
Florida,Citrus,0.0,Count,12017,843
Florida,Clay,0.0,Count,12019,852
Florida,Collier,0.0,Count,12021,894
Florida,Columbia,0.0,Count,12023,903
Florida,DeSoto,0.0,Count,12027,906
Florida,Dixie,0.0,Count,12029,918
Florida,Duval,0.0,Count,12031,924
Florida,Escambia,0.0,Count,12033,931
Florida,Flagler,0.0,Count,12035,935
Florida,Franklin,0.0,Count,12037,937
Florida,Gadsden,0.0,Count,12039,938
Florida,Gilchrist,0.0,Count,12041,939
Florida,Glades,0.0,Count,12043,940
Florida,Gulf,0.0,Count,12045,941
Florida,Hamilton,0.0,Count,12047,942
Florida,Hardee,0.0,Count,12049,943
Florida,Hendry,0.0,Count,12051,944
Florida,Hernando,0.0,Count,12053,945
Florida,Highlands,0.0,Count,12055,946
Florida,Hillsborough,0.0,Count,12057,947
Florida,Holmes,0.0,Count,12059,948
Florida,Indian River,0.0,Count,12061,949
Florida,Jackson,0.0,Count,12063,950
Florida,Jefferson,0.0,Count,12065,951
Florida,Lafayette,0.0,Count,12067,952
Florida,Lake,0.0,Count,12069,953
Florida,Lee,0.0,Count,12071,954
Florida,Leon,0.0,Count,12073,955
Florida,Levy,0.0,Count,12075,956
Florida,Liberty,0.0,Count,12077,957
Florida,Madison,0.0,Count,12079,958
Florida,Manatee,0.0,Count,12081,959
Florida,Marion,0.0,Count,12083,960
Florida,Martin,0.0,Count,12085,961
Florida,Miami-Dade,0.0,Count,12086,962
Florida,Monroe,0.0,Count,12087,963
Florida,Nassau,0.0,Count,12089,964
Florida,Okaloosa,0.0,Count,12091,965
Florida,Okeechobee,0.0,Count,12093,966
Florida,Orange,0.0,Count,12095,967
Florida,Osceola,0.0,Count,12097,968
Florida,Palm Beach,0.0,Count,12099,969
Florida,Pasco,0.0,Count,12101,970
Florida,Pinellas,0.0,Count,12103,971
Florida,Polk,0.0,Count,12105,972
Florida,Putnam,0.0,Count,12107,973
Florida,St. Johns,0.0,Count,12109,974
Florida,St. Lucie,0.0,Count,12111,975
Florida,Santa Rosa,0.0,Count,12113,976
Florida,Sarasota,0.0,Count,12115,977
Florida,Seminole,0.0,Count,12117,978
Florida,Sumter,0.0,Count,12119,979
Florida,Suwannee,0.0,Count,12121,980
Florida,Taylor,0.0,Count,12123,981
Florida,Union,0.0,Count,12125,982
Florida,Volusia,0.0,Count,12127,983
Florida,Wakulla,0.0,Count,12129,984
Florida,Walton,0.0,Count,12131,985
Florida,Washington,0.0,Count,12133,986
Georgia,Appling,0.0,Count,13001,987
Georgia,Atkinson,0.0,Count,13003,988
Georgia,Bacon,0.0,Count,13005,989
Georgia,Baker,0.0,Count,13007,990
Georgia,Baldwin,0.0,Count,13009,991
Georgia,Banks,0.0,Count,13011,992
Georgia,Barrow,0.0,Count,13013,993
Georgia,Bartow,0.0,Count,13015,994
Georgia,Ben Hill,0.0,Count,13017,995
Georgia,Berrien,0.0,Count,13019,996
Georgia,Bibb,0.0,Count,13021,997
Georgia,Bleckley,0.0,Count,13023,998
Georgia,Brantley,0.0,Count,13025,999
Georgia,Brooks,0.0,Count,13027,565
Georgia,Bryan,0.0,Count,13029,573
Georgia,Bulloch,0.0,Count,13031,579
Georgia,Burke,0.0,Count,13033,583
Georgia,Butts,0.0,Count,13035,588
Georgia,Calhoun,0.0,Count,13037,592
