State,County,WIC participants (change % pop) 2012-17 (PCH_WIC_12_17),Units,FIPS,FID
Arkansas,Izard,-0.6502389610641877,Percentage points,5065,203
Arkansas,Jackson,-0.6502389610641877,Percentage points,5067,209
Arkansas,Jefferson,-0.6502389610641877,Percentage points,5069,213
Arkansas,Johnson,-0.6502389610641877,Percentage points,5071,218
Arkansas,Lafayette,-0.6502389610641877,Percentage points,5073,222
Arkansas,Lawrence,-0.6502389610641877,Percentage points,5075,230
Arkansas,Lee,-0.6502389610641877,Percentage points,5077,237
Arkansas,Lincoln,-0.6502389610641877,Percentage points,5079,244
Arkansas,Little River,-0.6502389610641877,Percentage points,5081,251
Arkansas,Logan,-0.6502389610641877,Percentage points,5083,258
Arkansas,Lonoke,-0.6502389610641877,Percentage points,5085,268
Arkansas,Madison,-0.6502389610641877,Percentage points,5087,277
Arkansas,Marion,-0.6502389610641877,Percentage points,5089,282
Arkansas,Miller,-0.6502389610641877,Percentage points,5091,287
Arkansas,Mississippi,-0.6502389610641877,Percentage points,5093,294
Arkansas,Monroe,-0.6502389610641877,Percentage points,5095,300
Arkansas,Montgomery,-0.6502389610641877,Percentage points,5097,304
Arkansas,Nevada,-0.6502389610641877,Percentage points,5099,307
Arkansas,Newton,-0.6502389610641877,Percentage points,5101,311
Arkansas,Ouachita,-0.6502389610641877,Percentage points,5103,316
Arkansas,Perry,-0.6502389610641877,Percentage points,5105,318
Arkansas,Phillips,-0.6502389610641877,Percentage points,5107,322
Arkansas,Pike,-0.6502389610641877,Percentage points,5109,327
Arkansas,Poinsett,-0.6502389610641877,Percentage points,5111,333
Arkansas,Polk,-0.6502389610641877,Percentage points,5113,337
Arkansas,Pope,-0.6502389610641877,Percentage points,5115,340
Arkansas,Prairie,-0.6502389610641877,Percentage points,5117,345
Arkansas,Pulaski,-0.6502389610641877,Percentage points,5119,350
Arkansas,Randolph,-0.6502389610641877,Percentage points,5121,353
Arkansas,St. Francis,-0.6502389610641877,Percentage points,5123,357
Arkansas,Saline,-0.6502389610641877,Percentage points,5125,360
Arkansas,Scott,-0.6502389610641877,Percentage points,5127,364
Arkansas,Searcy,-0.6502389610641877,Percentage points,5129,372
Arkansas,Sebastian,-0.6502389610641877,Percentage points,5131,378
Arkansas,Sevier,-0.6502389610641877,Percentage points,5133,390
Arkansas,Sharp,-0.6502389610641877,Percentage points,5135,394
Arkansas,Stone,-0.6502389610641877,Percentage points,5137,399
Arkansas,Union,-0.6502389610641877,Percentage points,5139,403
Arkansas,Van Buren,-0.6502389610641877,Percentage points,5141,407
Arkansas,Washington,-0.6502389610641877,Percentage points,5143,417
Arkansas,White,-0.6502389610641877,Percentage points,5145,428
Arkansas,Woodruff,-0.6502389610641877,Percentage points,5147,435
Arkansas,Yell,-0.6502389610641877,Percentage points,5149,438
California,Alameda,-1.1407271160707593,Percentage points,6001,457
California,Alpine,-1.1407271160707593,Percentage points,6003,461
California,Amador,-1.1407271160707593,Percentage points,6005,472
California,Butte,-1.1407271160707593,Percentage points,6007,486
California,Calaveras,-1.1407271160707593,Percentage points,6009,489
California,Colusa,-1.1407271160707593,Percentage points,6011,497
California,Contra Costa,-1.1407271160707593,Percentage points,6013,503
California,Del Norte,-1.1407271160707593,Percentage points,6015,511
California,El Dorado,-1.1407271160707593,Percentage points,6017,522
California,Fresno,-1.1407271160707593,Percentage points,6019,527
California,Glenn,-1.1407271160707593,Percentage points,6021,537
California,Humboldt,-1.1407271160707593,Percentage points,6023,551
California,Imperial,-1.1407271160707593,Percentage points,6025,557
California,Inyo,-1.1407271160707593,Percentage points,6027,562
California,Kern,-1.1407271160707593,Percentage points,6029,84
California,Kings,-1.1407271160707593,Percentage points,6031,94
California,Lake,-1.1407271160707593,Percentage points,6033,100
California,Lassen,-1.1407271160707593,Percentage points,6035,104
California,Los Angeles,-1.1407271160707593,Percentage points,6037,139
California,Madera,-1.1407271160707593,Percentage points,6039,153
California,Marin,-1.1407271160707593,Percentage points,6041,168
California,Mariposa,-1.1407271160707593,Percentage points,6043,178
California,Mendocino,-1.1407271160707593,Percentage points,6045,190
California,Merced,-1.1407271160707593,Percentage points,6047,204
California,Modoc,-1.1407271160707593,Percentage points,6049,207
California,Mono,-1.1407271160707593,Percentage points,6051,214
California,Monterey,-1.1407271160707593,Percentage points,6053,228
California,Napa,-1.1407271160707593,Percentage points,6055,236
California,Nevada,-1.1407271160707593,Percentage points,6057,243
California,Orange,-1.1407271160707593,Percentage points,6059,257
California,Placer,-1.1407271160707593,Percentage points,6061,266
California,Plumas,-1.1407271160707593,Percentage points,6063,275
California,Riverside,-1.1407271160707593,Percentage points,6065,281
California,Sacramento,-1.1407271160707593,Percentage points,6067,289
California,San Benito,-1.1407271160707593,Percentage points,6069,295
California,San Bernardino,-1.1407271160707593,Percentage points,6071,302
California,San Diego,-1.1407271160707593,Percentage points,6073,315
California,San Francisco,-1.1407271160707593,Percentage points,6075,331
California,San Joaquin,-1.1407271160707593,Percentage points,6077,339
California,San Luis Obispo,-1.1407271160707593,Percentage points,6079,351
California,San Mateo,-1.1407271160707593,Percentage points,6081,368
California,Santa Barbara,-1.1407271160707593,Percentage points,6083,391
California,Santa Clara,-1.1407271160707593,Percentage points,6085,406
California,Santa Cruz,-1.1407271160707593,Percentage points,6087,415
California,Shasta,-1.1407271160707593,Percentage points,6089,431
California,Sierra,-1.1407271160707593,Percentage points,6091,439
California,Siskiyou,-1.1407271160707593,Percentage points,6093,446
California,Solano,-1.1407271160707593,Percentage points,6095,453
California,Sonoma,-1.1407271160707593,Percentage points,6097,463
California,Stanislaus,-1.1407271160707593,Percentage points,6099,473
California,Sutter,-1.1407271160707593,Percentage points,6101,483
California,Tehama,-1.1407271160707593,Percentage points,6103,492
California,Trinity,-1.1407271160707593,Percentage points,6105,500
California,Tulare,-1.1407271160707593,Percentage points,6107,501
California,Tuolumne,-1.1407271160707593,Percentage points,6109,513
California,Ventura,-1.1407271160707593,Percentage points,6111,521
California,Yolo,-1.1407271160707593,Percentage points,6113,525
California,Yuba,-1.1407271160707593,Percentage points,6115,541
Colorado,Adams,-0.49233949153401957,Percentage points,8001,545
Colorado,Alamosa,-0.49233949153401957,Percentage points,8003,549
Colorado,Arapahoe,-0.49233949153401957,Percentage points,8005,558
Colorado,Archuleta,-0.49233949153401957,Percentage points,8007,560
Colorado,Baca,-0.49233949153401957,Percentage points,8009,563
Colorado,Bent,-0.49233949153401957,Percentage points,8011,564
Colorado,Boulder,-0.49233949153401957,Percentage points,8013,570
Colorado,Broomfield,-0.49233949153401957,Percentage points,8014,577
Colorado,Chaffee,-0.49233949153401957,Percentage points,8015,582
Colorado,Cheyenne,-0.49233949153401957,Percentage points,8017,587
Colorado,Clear Creek,-0.49233949153401957,Percentage points,8019,591
Colorado,Conejos,-0.49233949153401957,Percentage points,8021,596
Colorado,Costilla,-0.49233949153401957,Percentage points,8023,599
Colorado,Crowley,-0.49233949153401957,Percentage points,8025,605
Colorado,Custer,-0.49233949153401957,Percentage points,8027,610
Colorado,Delta,-0.49233949153401957,Percentage points,8029,617
Colorado,Denver,-0.49233949153401957,Percentage points,8031,628
Colorado,Dolores,-0.49233949153401957,Percentage points,8033,636
Colorado,Douglas,-0.49233949153401957,Percentage points,8035,644
Colorado,Eagle,-0.49233949153401957,Percentage points,8037,648
Colorado,Elbert,-0.49233949153401957,Percentage points,8039,655
Colorado,El Paso,-0.49233949153401957,Percentage points,8041,661
Colorado,Fremont,-0.49233949153401957,Percentage points,8043,664
Colorado,Garfield,-0.49233949153401957,Percentage points,8045,667
Colorado,Gilpin,-0.49233949153401957,Percentage points,8047,672
Colorado,Grand,-0.49233949153401957,Percentage points,8049,677
Colorado,Gunnison,-0.49233949153401957,Percentage points,8051,682
Colorado,Hinsdale,-0.49233949153401957,Percentage points,8053,688
Colorado,Huerfano,-0.49233949153401957,Percentage points,8055,693
Colorado,Jackson,-0.49233949153401957,Percentage points,8057,701
Colorado,Jefferson,-0.49233949153401957,Percentage points,8059,706
Colorado,Kiowa,-0.49233949153401957,Percentage points,8061,711
Colorado,Kit Carson,-0.49233949153401957,Percentage points,8063,716
Colorado,Lake,-0.49233949153401957,Percentage points,8065,721
Colorado,La Plata,-0.49233949153401957,Percentage points,8067,727
Colorado,Larimer,-0.49233949153401957,Percentage points,8069,734
Colorado,Las Animas,-0.49233949153401957,Percentage points,8071,741
Colorado,Lincoln,-0.49233949153401957,Percentage points,8073,747
Colorado,Logan,-0.49233949153401957,Percentage points,8075,749
Colorado,Mesa,-0.49233949153401957,Percentage points,8077,751
Colorado,Mineral,-0.49233949153401957,Percentage points,8079,757
Colorado,Moffat,-0.49233949153401957,Percentage points,8081,758
Colorado,Montezuma,-0.49233949153401957,Percentage points,8083,766
Colorado,Montrose,-0.49233949153401957,Percentage points,8085,769
Colorado,Morgan,-0.49233949153401957,Percentage points,8087,775
Colorado,Otero,-0.49233949153401957,Percentage points,8089,777
Colorado,Ouray,-0.49233949153401957,Percentage points,8091,780
Colorado,Park,-0.49233949153401957,Percentage points,8093,782
Colorado,Phillips,-0.49233949153401957,Percentage points,8095,785
Colorado,Pitkin,-0.49233949153401957,Percentage points,8097,789
Colorado,Prowers,-0.49233949153401957,Percentage points,8099,792
Colorado,Pueblo,-0.49233949153401957,Percentage points,8101,795
Colorado,Rio Blanco,-0.49233949153401957,Percentage points,8103,799
Colorado,Rio Grande,-0.49233949153401957,Percentage points,8105,802
Colorado,Routt,-0.49233949153401957,Percentage points,8107,809
Colorado,Saguache,-0.49233949153401957,Percentage points,8109,811
Colorado,San Juan,-0.49233949153401957,Percentage points,8111,347
Colorado,San Miguel,-0.49233949153401957,Percentage points,8113,359
Colorado,Sedgwick,-0.49233949153401957,Percentage points,8115,366
Colorado,Summit,-0.49233949153401957,Percentage points,8117,373
Colorado,Teller,-0.49233949153401957,Percentage points,8119,375
Colorado,Washington,-0.49233949153401957,Percentage points,8121,377
Colorado,Weld,-0.49233949153401957,Percentage points,8123,382
Colorado,Yuma,-0.49233949153401957,Percentage points,8125,385
Connecticut,Fairfield,-0.23979186347372505,Percentage points,9001,410
Connecticut,Hartford,-0.23979186347372505,Percentage points,9003,432
Connecticut,Litchfield,-0.23979186347372505,Percentage points,9005,443
Connecticut,Middlesex,-0.23979186347372505,Percentage points,9007,450
Connecticut,New Haven,-0.23979186347372505,Percentage points,9009,466
Connecticut,New London,-0.23979186347372505,Percentage points,9011,517
Connecticut,Tolland,-0.23979186347372505,Percentage points,9013,524
Connecticut,Windham,-0.23979186347372505,Percentage points,9015,529
Delaware,Kent,-0.6387241296719703,Percentage points,10001,532
Delaware,New Castle,-0.6387241296719703,Percentage points,10003,536
Delaware,Sussex,-0.6387241296719703,Percentage points,10005,609
District of Columbia,District of Columbia,-0.634971423991733,Percentage points,11001,630
Florida,Alachua,-0.3270219263437202,Percentage points,12001,639
Florida,Baker,-0.3270219263437202,Percentage points,12003,641
Florida,Bay,-0.3270219263437202,Percentage points,12005,658
Florida,Bradford,-0.3270219263437202,Percentage points,12007,665
Florida,Brevard,-0.3270219263437202,Percentage points,12009,686
Florida,Broward,-0.3270219263437202,Percentage points,12011,695
Florida,Calhoun,-0.3270219263437202,Percentage points,12013,699
Florida,Charlotte,-0.3270219263437202,Percentage points,12015,743
Florida,Citrus,-0.3270219263437202,Percentage points,12017,843
Florida,Clay,-0.3270219263437202,Percentage points,12019,852
Florida,Collier,-0.3270219263437202,Percentage points,12021,894
Florida,Columbia,-0.3270219263437202,Percentage points,12023,903
Florida,DeSoto,-0.3270219263437202,Percentage points,12027,906
Florida,Dixie,-0.3270219263437202,Percentage points,12029,918
Florida,Duval,-0.3270219263437202,Percentage points,12031,924
Florida,Escambia,-0.3270219263437202,Percentage points,12033,931
Florida,Flagler,-0.3270219263437202,Percentage points,12035,935
Florida,Franklin,-0.3270219263437202,Percentage points,12037,937
Florida,Gadsden,-0.3270219263437202,Percentage points,12039,938
Florida,Gilchrist,-0.3270219263437202,Percentage points,12041,939
Florida,Glades,-0.3270219263437202,Percentage points,12043,940
Florida,Gulf,-0.3270219263437202,Percentage points,12045,941
Florida,Hamilton,-0.3270219263437202,Percentage points,12047,942
Florida,Hardee,-0.3270219263437202,Percentage points,12049,943
Florida,Hendry,-0.3270219263437202,Percentage points,12051,944
Florida,Hernando,-0.3270219263437202,Percentage points,12053,945
Florida,Highlands,-0.3270219263437202,Percentage points,12055,946
Florida,Hillsborough,-0.3270219263437202,Percentage points,12057,947
Florida,Holmes,-0.3270219263437202,Percentage points,12059,948
Florida,Indian River,-0.3270219263437202,Percentage points,12061,949
Florida,Jackson,-0.3270219263437202,Percentage points,12063,950
Florida,Jefferson,-0.3270219263437202,Percentage points,12065,951
Florida,Lafayette,-0.3270219263437202,Percentage points,12067,952
Florida,Lake,-0.3270219263437202,Percentage points,12069,953
Florida,Lee,-0.3270219263437202,Percentage points,12071,954
Florida,Leon,-0.3270219263437202,Percentage points,12073,955
Florida,Levy,-0.3270219263437202,Percentage points,12075,956
Florida,Liberty,-0.3270219263437202,Percentage points,12077,957
Florida,Madison,-0.3270219263437202,Percentage points,12079,958
Florida,Manatee,-0.3270219263437202,Percentage points,12081,959
Florida,Marion,-0.3270219263437202,Percentage points,12083,960
Florida,Martin,-0.3270219263437202,Percentage points,12085,961
Florida,Miami-Dade,-0.3270219263437202,Percentage points,12086,962
Florida,Monroe,-0.3270219263437202,Percentage points,12087,963
Florida,Nassau,-0.3270219263437202,Percentage points,12089,964
Florida,Okaloosa,-0.3270219263437202,Percentage points,12091,965
Florida,Okeechobee,-0.3270219263437202,Percentage points,12093,966
Florida,Orange,-0.3270219263437202,Percentage points,12095,967
Florida,Osceola,-0.3270219263437202,Percentage points,12097,968
Florida,Palm Beach,-0.3270219263437202,Percentage points,12099,969
Florida,Pasco,-0.3270219263437202,Percentage points,12101,970
Florida,Pinellas,-0.3270219263437202,Percentage points,12103,971
Florida,Polk,-0.3270219263437202,Percentage points,12105,972
Florida,Putnam,-0.3270219263437202,Percentage points,12107,973
Florida,St. Johns,-0.3270219263437202,Percentage points,12109,974
Florida,St. Lucie,-0.3270219263437202,Percentage points,12111,975
Florida,Santa Rosa,-0.3270219263437202,Percentage points,12113,976
Florida,Sarasota,-0.3270219263437202,Percentage points,12115,977
Florida,Seminole,-0.3270219263437202,Percentage points,12117,978
Florida,Sumter,-0.3270219263437202,Percentage points,12119,979
Florida,Suwannee,-0.3270219263437202,Percentage points,12121,980
Florida,Taylor,-0.3270219263437202,Percentage points,12123,981
Florida,Union,-0.3270219263437202,Percentage points,12125,982
Florida,Volusia,-0.3270219263437202,Percentage points,12127,983
Florida,Wakulla,-0.3270219263437202,Percentage points,12129,984
Florida,Walton,-0.3270219263437202,Percentage points,12131,985
Florida,Washington,-0.3270219263437202,Percentage points,12133,986
Georgia,Appling,-0.7914029327721739,Percentage points,13001,987
Georgia,Atkinson,-0.7914029327721739,Percentage points,13003,988
Georgia,Bacon,-0.7914029327721739,Percentage points,13005,989
Georgia,Baker,-0.7914029327721739,Percentage points,13007,990
Georgia,Baldwin,-0.7914029327721739,Percentage points,13009,991
Georgia,Banks,-0.7914029327721739,Percentage points,13011,992
Georgia,Barrow,-0.7914029327721739,Percentage points,13013,993
Georgia,Bartow,-0.7914029327721739,Percentage points,13015,994
Georgia,Ben Hill,-0.7914029327721739,Percentage points,13017,995
