State,County,National School Lunch Program participants (change % children) 2012-17 (PCH_NSLP_12_17),Units,FIPS,FID
Arkansas,Stone,-7.117925725286597,Percentage points,5137,399
Arkansas,Union,-7.117925725286597,Percentage points,5139,403
Arkansas,Van Buren,-7.117925725286597,Percentage points,5141,407
Arkansas,Washington,-7.117925725286597,Percentage points,5143,417
Arkansas,White,-7.117925725286597,Percentage points,5145,428
Arkansas,Woodruff,-7.117925725286597,Percentage points,5147,435
Arkansas,Yell,-7.117925725286597,Percentage points,5149,438
California,Alameda,-1.224105658236354,Percentage points,6001,457
California,Alpine,-1.224105658236354,Percentage points,6003,461
California,Amador,-1.224105658236354,Percentage points,6005,472
California,Butte,-1.224105658236354,Percentage points,6007,486
California,Calaveras,-1.224105658236354,Percentage points,6009,489
California,Colusa,-1.224105658236354,Percentage points,6011,497
California,Contra Costa,-1.224105658236354,Percentage points,6013,503
California,Del Norte,-1.224105658236354,Percentage points,6015,511
California,El Dorado,-1.224105658236354,Percentage points,6017,522
California,Fresno,-1.224105658236354,Percentage points,6019,527
California,Glenn,-1.224105658236354,Percentage points,6021,537
California,Humboldt,-1.224105658236354,Percentage points,6023,551
California,Imperial,-1.224105658236354,Percentage points,6025,557
California,Inyo,-1.224105658236354,Percentage points,6027,562
California,Kern,-1.224105658236354,Percentage points,6029,84
California,Kings,-1.224105658236354,Percentage points,6031,94
California,Lake,-1.224105658236354,Percentage points,6033,100
California,Lassen,-1.224105658236354,Percentage points,6035,104
California,Los Angeles,-1.224105658236354,Percentage points,6037,139
California,Madera,-1.224105658236354,Percentage points,6039,153
California,Marin,-1.224105658236354,Percentage points,6041,168
California,Mariposa,-1.224105658236354,Percentage points,6043,178
California,Mendocino,-1.224105658236354,Percentage points,6045,190
California,Merced,-1.224105658236354,Percentage points,6047,204
California,Modoc,-1.224105658236354,Percentage points,6049,207
California,Mono,-1.224105658236354,Percentage points,6051,214
California,Monterey,-1.224105658236354,Percentage points,6053,228
California,Napa,-1.224105658236354,Percentage points,6055,236
California,Nevada,-1.224105658236354,Percentage points,6057,243
California,Orange,-1.224105658236354,Percentage points,6059,257
California,Placer,-1.224105658236354,Percentage points,6061,266
California,Plumas,-1.224105658236354,Percentage points,6063,275
California,Riverside,-1.224105658236354,Percentage points,6065,281
California,Sacramento,-1.224105658236354,Percentage points,6067,289
California,San Benito,-1.224105658236354,Percentage points,6069,295
California,San Bernardino,-1.224105658236354,Percentage points,6071,302
California,San Diego,-1.224105658236354,Percentage points,6073,315
California,San Francisco,-1.224105658236354,Percentage points,6075,331
California,San Joaquin,-1.224105658236354,Percentage points,6077,339
California,San Luis Obispo,-1.224105658236354,Percentage points,6079,351
California,San Mateo,-1.224105658236354,Percentage points,6081,368
California,Santa Barbara,-1.224105658236354,Percentage points,6083,391
California,Santa Clara,-1.224105658236354,Percentage points,6085,406
California,Santa Cruz,-1.224105658236354,Percentage points,6087,415
California,Shasta,-1.224105658236354,Percentage points,6089,431
California,Sierra,-1.224105658236354,Percentage points,6091,439
California,Siskiyou,-1.224105658236354,Percentage points,6093,446
California,Solano,-1.224105658236354,Percentage points,6095,453
California,Sonoma,-1.224105658236354,Percentage points,6097,463
California,Stanislaus,-1.224105658236354,Percentage points,6099,473
California,Sutter,-1.224105658236354,Percentage points,6101,483
California,Tehama,-1.224105658236354,Percentage points,6103,492
California,Trinity,-1.224105658236354,Percentage points,6105,500
California,Tulare,-1.224105658236354,Percentage points,6107,501
California,Tuolumne,-1.224105658236354,Percentage points,6109,513
California,Ventura,-1.224105658236354,Percentage points,6111,521
California,Yolo,-1.224105658236354,Percentage points,6113,525
California,Yuba,-1.224105658236354,Percentage points,6115,541
Colorado,Adams,-4.140812750317309,Percentage points,8001,545
Colorado,Alamosa,-4.140812750317309,Percentage points,8003,549
Colorado,Arapahoe,-4.140812750317309,Percentage points,8005,558
Colorado,Archuleta,-4.140812750317309,Percentage points,8007,560
Colorado,Baca,-4.140812750317309,Percentage points,8009,563
Colorado,Bent,-4.140812750317309,Percentage points,8011,564
Colorado,Boulder,-4.140812750317309,Percentage points,8013,570
Colorado,Broomfield,-4.140812750317309,Percentage points,8014,577
Colorado,Chaffee,-4.140812750317309,Percentage points,8015,582
Colorado,Cheyenne,-4.140812750317309,Percentage points,8017,587
Colorado,Clear Creek,-4.140812750317309,Percentage points,8019,591
Colorado,Conejos,-4.140812750317309,Percentage points,8021,596
Colorado,Costilla,-4.140812750317309,Percentage points,8023,599
Colorado,Crowley,-4.140812750317309,Percentage points,8025,605
Colorado,Custer,-4.140812750317309,Percentage points,8027,610
Colorado,Delta,-4.140812750317309,Percentage points,8029,617
Colorado,Denver,-4.140812750317309,Percentage points,8031,628
Colorado,Dolores,-4.140812750317309,Percentage points,8033,636
Colorado,Douglas,-4.140812750317309,Percentage points,8035,644
Colorado,Eagle,-4.140812750317309,Percentage points,8037,648
Colorado,Elbert,-4.140812750317309,Percentage points,8039,655
Colorado,El Paso,-4.140812750317309,Percentage points,8041,661
Colorado,Fremont,-4.140812750317309,Percentage points,8043,664
Colorado,Garfield,-4.140812750317309,Percentage points,8045,667
Colorado,Gilpin,-4.140812750317309,Percentage points,8047,672
Colorado,Grand,-4.140812750317309,Percentage points,8049,677
Colorado,Gunnison,-4.140812750317309,Percentage points,8051,682
Colorado,Hinsdale,-4.140812750317309,Percentage points,8053,688
Colorado,Huerfano,-4.140812750317309,Percentage points,8055,693
Colorado,Jackson,-4.140812750317309,Percentage points,8057,701
Colorado,Jefferson,-4.140812750317309,Percentage points,8059,706
Colorado,Kiowa,-4.140812750317309,Percentage points,8061,711
Colorado,Kit Carson,-4.140812750317309,Percentage points,8063,716
Colorado,Lake,-4.140812750317309,Percentage points,8065,721
Colorado,La Plata,-4.140812750317309,Percentage points,8067,727
Colorado,Larimer,-4.140812750317309,Percentage points,8069,734
Colorado,Las Animas,-4.140812750317309,Percentage points,8071,741
Colorado,Lincoln,-4.140812750317309,Percentage points,8073,747
Colorado,Logan,-4.140812750317309,Percentage points,8075,749
Colorado,Mesa,-4.140812750317309,Percentage points,8077,751
Colorado,Mineral,-4.140812750317309,Percentage points,8079,757
Colorado,Moffat,-4.140812750317309,Percentage points,8081,758
Colorado,Montezuma,-4.140812750317309,Percentage points,8083,766
Colorado,Montrose,-4.140812750317309,Percentage points,8085,769
Colorado,Morgan,-4.140812750317309,Percentage points,8087,775
Colorado,Otero,-4.140812750317309,Percentage points,8089,777
Colorado,Ouray,-4.140812750317309,Percentage points,8091,780
Colorado,Park,-4.140812750317309,Percentage points,8093,782
Colorado,Phillips,-4.140812750317309,Percentage points,8095,785
Colorado,Pitkin,-4.140812750317309,Percentage points,8097,789
Colorado,Prowers,-4.140812750317309,Percentage points,8099,792
Colorado,Pueblo,-4.140812750317309,Percentage points,8101,795
Colorado,Rio Blanco,-4.140812750317309,Percentage points,8103,799
Colorado,Rio Grande,-4.140812750317309,Percentage points,8105,802
Colorado,Routt,-4.140812750317309,Percentage points,8107,809
Colorado,Saguache,-4.140812750317309,Percentage points,8109,811
Colorado,San Juan,-4.140812750317309,Percentage points,8111,347
Colorado,San Miguel,-4.140812750317309,Percentage points,8113,359
Colorado,Sedgwick,-4.140812750317309,Percentage points,8115,366
Colorado,Summit,-4.140812750317309,Percentage points,8117,373
Colorado,Teller,-4.140812750317309,Percentage points,8119,375
Colorado,Washington,-4.140812750317309,Percentage points,8121,377
Colorado,Weld,-4.140812750317309,Percentage points,8123,382
Colorado,Yuma,-4.140812750317309,Percentage points,8125,385
Connecticut,Fairfield,0.6539302272873186,Percentage points,9001,410
Connecticut,Hartford,0.6539302272873186,Percentage points,9003,432
Connecticut,Litchfield,0.6539302272873186,Percentage points,9005,443
Connecticut,Middlesex,0.6539302272873186,Percentage points,9007,450
Connecticut,New Haven,0.6539302272873186,Percentage points,9009,466
Connecticut,New London,0.6539302272873186,Percentage points,9011,517
Connecticut,Tolland,0.6539302272873186,Percentage points,9013,524
Connecticut,Windham,0.6539302272873186,Percentage points,9015,529
Delaware,Kent,2.305526534669127,Percentage points,10001,532
Delaware,New Castle,2.305526534669127,Percentage points,10003,536
Delaware,Sussex,2.305526534669127,Percentage points,10005,609
District of Columbia,District of Columbia,1.8863266885967818,Percentage points,11001,630
Florida,Alachua,0.5650078747584928,Percentage points,12001,639
Florida,Baker,0.5650078747584928,Percentage points,12003,641
Florida,Bay,0.5650078747584928,Percentage points,12005,658
Florida,Bradford,0.5650078747584928,Percentage points,12007,665
Florida,Brevard,0.5650078747584928,Percentage points,12009,686
Florida,Broward,0.5650078747584928,Percentage points,12011,695
Florida,Calhoun,0.5650078747584928,Percentage points,12013,699
Florida,Charlotte,0.5650078747584928,Percentage points,12015,743
Florida,Citrus,0.5650078747584928,Percentage points,12017,843
Florida,Clay,0.5650078747584928,Percentage points,12019,852
Florida,Collier,0.5650078747584928,Percentage points,12021,894
Florida,Columbia,0.5650078747584928,Percentage points,12023,903
Florida,DeSoto,0.5650078747584928,Percentage points,12027,906
Florida,Dixie,0.5650078747584928,Percentage points,12029,918
Florida,Duval,0.5650078747584928,Percentage points,12031,924
Florida,Escambia,0.5650078747584928,Percentage points,12033,931
Florida,Flagler,0.5650078747584928,Percentage points,12035,935
Florida,Franklin,0.5650078747584928,Percentage points,12037,937
Florida,Gadsden,0.5650078747584928,Percentage points,12039,938
Florida,Gilchrist,0.5650078747584928,Percentage points,12041,939
Florida,Glades,0.5650078747584928,Percentage points,12043,940
Florida,Gulf,0.5650078747584928,Percentage points,12045,941
Florida,Hamilton,0.5650078747584928,Percentage points,12047,942
Florida,Hardee,0.5650078747584928,Percentage points,12049,943
Florida,Hendry,0.5650078747584928,Percentage points,12051,944
Florida,Hernando,0.5650078747584928,Percentage points,12053,945
Florida,Highlands,0.5650078747584928,Percentage points,12055,946
Florida,Hillsborough,0.5650078747584928,Percentage points,12057,947
Florida,Holmes,0.5650078747584928,Percentage points,12059,948
Florida,Indian River,0.5650078747584928,Percentage points,12061,949
Florida,Jackson,0.5650078747584928,Percentage points,12063,950
Florida,Jefferson,0.5650078747584928,Percentage points,12065,951
Florida,Lafayette,0.5650078747584928,Percentage points,12067,952
Florida,Lake,0.5650078747584928,Percentage points,12069,953
Florida,Lee,0.5650078747584928,Percentage points,12071,954
Florida,Leon,0.5650078747584928,Percentage points,12073,955
Florida,Levy,0.5650078747584928,Percentage points,12075,956
Florida,Liberty,0.5650078747584928,Percentage points,12077,957
Florida,Madison,0.5650078747584928,Percentage points,12079,958
Florida,Manatee,0.5650078747584928,Percentage points,12081,959
Florida,Marion,0.5650078747584928,Percentage points,12083,960
Florida,Martin,0.5650078747584928,Percentage points,12085,961
Florida,Miami-Dade,0.5650078747584928,Percentage points,12086,962
Florida,Monroe,0.5650078747584928,Percentage points,12087,963
Florida,Nassau,0.5650078747584928,Percentage points,12089,964
Florida,Okaloosa,0.5650078747584928,Percentage points,12091,965
Florida,Okeechobee,0.5650078747584928,Percentage points,12093,966
Florida,Orange,0.5650078747584928,Percentage points,12095,967
Florida,Osceola,0.5650078747584928,Percentage points,12097,968
Florida,Palm Beach,0.5650078747584928,Percentage points,12099,969
Florida,Pasco,0.5650078747584928,Percentage points,12101,970
Florida,Pinellas,0.5650078747584928,Percentage points,12103,971
Florida,Polk,0.5650078747584928,Percentage points,12105,972
Florida,Putnam,0.5650078747584928,Percentage points,12107,973
Florida,St. Johns,0.5650078747584928,Percentage points,12109,974
Florida,St. Lucie,0.5650078747584928,Percentage points,12111,975
Florida,Santa Rosa,0.5650078747584928,Percentage points,12113,976
Florida,Sarasota,0.5650078747584928,Percentage points,12115,977
Florida,Seminole,0.5650078747584928,Percentage points,12117,978
Florida,Sumter,0.5650078747584928,Percentage points,12119,979
Florida,Suwannee,0.5650078747584928,Percentage points,12121,980
Florida,Taylor,0.5650078747584928,Percentage points,12123,981
Florida,Union,0.5650078747584928,Percentage points,12125,982
Florida,Volusia,0.5650078747584928,Percentage points,12127,983
Florida,Wakulla,0.5650078747584928,Percentage points,12129,984
Florida,Walton,0.5650078747584928,Percentage points,12131,985
Florida,Washington,0.5650078747584928,Percentage points,12133,986
Georgia,Appling,-5.750444888938134,Percentage points,13001,987
Georgia,Atkinson,-5.750444888938134,Percentage points,13003,988
Georgia,Bacon,-5.750444888938134,Percentage points,13005,989
Georgia,Baker,-5.750444888938134,Percentage points,13007,990
Georgia,Baldwin,-5.750444888938134,Percentage points,13009,991
Georgia,Banks,-5.750444888938134,Percentage points,13011,992
Georgia,Barrow,-5.750444888938134,Percentage points,13013,993
Georgia,Bartow,-5.750444888938134,Percentage points,13015,994
Georgia,Ben Hill,-5.750444888938134,Percentage points,13017,995
Georgia,Berrien,-5.750444888938134,Percentage points,13019,996
Georgia,Bibb,-5.750444888938134,Percentage points,13021,997
Georgia,Bleckley,-5.750444888938134,Percentage points,13023,998
Georgia,Brantley,-5.750444888938134,Percentage points,13025,999
Georgia,Brooks,-5.750444888938134,Percentage points,13027,565
Georgia,Bryan,-5.750444888938134,Percentage points,13029,573
Georgia,Bulloch,-5.750444888938134,Percentage points,13031,579
Georgia,Burke,-5.750444888938134,Percentage points,13033,583
Georgia,Butts,-5.750444888938134,Percentage points,13035,588
Georgia,Calhoun,-5.750444888938134,Percentage points,13037,592
Georgia,Camden,-5.750444888938134,Percentage points,13039,603
Georgia,Candler,-5.750444888938134,Percentage points,13043,616
Georgia,Carroll,-5.750444888938134,Percentage points,13045,620
Georgia,Catoosa,-5.750444888938134,Percentage points,13047,626
Georgia,Charlton,-5.750444888938134,Percentage points,13049,635
Georgia,Chatham,-5.750444888938134,Percentage points,13051,646
Georgia,Chattahoochee,-5.750444888938134,Percentage points,13053,656
Georgia,Chattooga,-5.750444888938134,Percentage points,13055,659
Georgia,Cherokee,-5.750444888938134,Percentage points,13057,662
Georgia,Clarke,-5.750444888938134,Percentage points,13059,666
Georgia,Clay,-5.750444888938134,Percentage points,13061,670
Georgia,Clayton,-5.750444888938134,Percentage points,13063,673
Georgia,Clinch,-5.750444888938134,Percentage points,13065,676
Georgia,Cobb,-5.750444888938134,Percentage points,13067,680
Georgia,Coffee,-5.750444888938134,Percentage points,13069,684
Georgia,Colquitt,-5.750444888938134,Percentage points,13071,689
Georgia,Columbia,-5.750444888938134,Percentage points,13073,692
Georgia,Cook,-5.750444888938134,Percentage points,13075,697
Georgia,Coweta,-5.750444888938134,Percentage points,13077,700
Georgia,Crawford,-5.750444888938134,Percentage points,13079,704
Georgia,Crisp,-5.750444888938134,Percentage points,13081,707
Georgia,Dade,-5.750444888938134,Percentage points,13083,708
Georgia,Dawson,-5.750444888938134,Percentage points,13085,713
Georgia,Decatur,-5.750444888938134,Percentage points,13087,714
Georgia,DeKalb,-5.750444888938134,Percentage points,13089,718
Georgia,Dodge,-5.750444888938134,Percentage points,13091,720
Georgia,Dooly,-5.750444888938134,Percentage points,13093,724
Georgia,Dougherty,-5.750444888938134,Percentage points,13095,728
Georgia,Douglas,-5.750444888938134,Percentage points,13097,731
Georgia,Early,-5.750444888938134,Percentage points,13099,735
Georgia,Echols,-5.750444888938134,Percentage points,13101,737
Georgia,Effingham,-5.750444888938134,Percentage points,13103,742
Georgia,Elbert,-5.750444888938134,Percentage points,13105,746
Georgia,Emanuel,-5.750444888938134,Percentage points,13107,750
Georgia,Evans,-5.750444888938134,Percentage points,13109,754
Georgia,Fannin,-5.750444888938134,Percentage points,13111,755
Georgia,Fayette,-5.750444888938134,Percentage points,13113,760
Georgia,Floyd,-5.750444888938134,Percentage points,13115,764
Georgia,Forsyth,-5.750444888938134,Percentage points,13117,768
Georgia,Franklin,-5.750444888938134,Percentage points,13119,772
Georgia,Fulton,-5.750444888938134,Percentage points,13121,779
Georgia,Gilmer,-5.750444888938134,Percentage points,13123,781
Georgia,Glascock,-5.750444888938134,Percentage points,13125,783
Georgia,Glynn,-5.750444888938134,Percentage points,13127,793
Georgia,Gordon,-5.750444888938134,Percentage points,13129,796
Georgia,Grady,-5.750444888938134,Percentage points,13131,797
Georgia,Greene,-5.750444888938134,Percentage points,13133,800
Georgia,Gwinnett,-5.750444888938134,Percentage points,13135,804
Georgia,Habersham,-5.750444888938134,Percentage points,13137,806
Georgia,Hall,-5.750444888938134,Percentage points,13139,808
Georgia,Hancock,-5.750444888938134,Percentage points,13141,810
Georgia,Haralson,-5.750444888938134,Percentage points,13143,813
Georgia,Harris,-5.750444888938134,Percentage points,13145,814
Georgia,Hart,-5.750444888938134,Percentage points,13147,816
Georgia,Heard,-5.750444888938134,Percentage points,13149,817
Georgia,Henry,-5.750444888938134,Percentage points,13151,820
Georgia,Houston,-5.750444888938134,Percentage points,13153,823
Georgia,Irwin,-5.750444888938134,Percentage points,13155,825
