PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VT0006623,GRAMMAR SCHOOL INC,"05346, Westminster W, Vermont",05346,Vermont,Region 1,Non-Transient non-community system,126,PUTNEY,Windham,5,84,13,-72.521805,42.975326,-72.521805,42.975326,-72.674805,-72.368805,42.822326,43.128326
VT0006092,GLOVER COMMUNITY SCHOOL,"05839, Glover, Vermont",05839,Vermont,Region 1,Non-Transient non-community system,150,GLOVER,Orleans,5,62,13,-72.188942,44.70407,-72.188942,44.70407,-72.280942,-72.096942,44.61207,44.79607
VT0005096,JERICHO UNDERHILL WATER,"05489, Underhill, Vermont",05489,Vermont,Region 1,Community water system,825,UNDERHILL,Chittenden,22,3,11,-72.899772,44.50726,-72.899772,44.50726,-73.027772,-72.771772,44.37926,44.63526
VT0021008,INN AT ROUND BARN,"05673, Waitsfield, Vermont",05673,Vermont,Region 1,Transient non-community system,68,WAITSFIELD,Washington,8,6,2,-72.840091,44.185255,-72.840091,44.185255,-72.952091,-72.728091,44.073255,44.297255
VT0006671,CALAIS ELEMENTARY SCHOOL,"05667, Plainfield, Vermont",05667,Vermont,Region 1,Non-Transient non-community system,165,CALAIS,Washington,6,4,8,-72.422551,44.277561,-72.422551,44.277561,-72.519551,-72.325551,44.180561,44.374561
VT0005076,HUNTINGTON FIRE DISTRICT 1,"05462, Huntington, Vermont",05462,Vermont,Region 1,Community water system,123,HUNTINGTON,Chittenden,6,30,10,-72.960827,44.249374,-72.960827,44.249374,-73.076827,-72.844827,44.133374,44.365374
VT0005630,GREENSPRINGS,"05356, Mount Snow, Vermont",05356,Vermont,Region 1,Community water system,485,DOVER,Windham,12,4,9,-72.882722,42.954161,-72.882722,42.954161,-73.008722,-72.756722,42.828161,43.080161
VT0004524,STAMFORD MOTEL,"05255, Manchester Center, Vermont",05255,Vermont,Region 1,Transient non-community system,43,MANCHESTER,Bennington,7,21,4,-73.052996,43.172655,-73.052996,43.172655,-73.126996,-72.978996,43.098655,43.246655
VT0000004,BIG PICTURE,"05673, Waitsfield, Vermont",05673,Vermont,Region 1,Transient non-community system,212,WAITSFIELD,Washington,3,19,3,-72.840091,44.185255,-72.840091,44.185255,-72.952091,-72.728091,44.073255,44.297255
VT0005535,SUNNY ACRES DEVELOPMENT WATER ASSOC INC,"05468, Milton, Vermont",05468,Vermont,Region 1,Community water system,50,MILTON,Chittenden,6,46,9,-73.116973,44.616888,-73.116973,44.616888,-73.256973,-72.976973,44.476888,44.756888
VT0006602,GREEN MOUNTAIN CAMP INC,"05301, Brattleboro, Vermont",05301,Vermont,Region 1,Transient non-community system,75,DUMMERSTON,Windham,9,17,6,-72.562902,42.8506,-72.562902,42.8506,-72.804902,-72.320902,42.6086,43.0926
VT0006089,READING ELEMENTARY SCHOOL,"05091, Woodstock, Vermont",05091,Vermont,Region 1,Non-Transient non-community system,47,READING,Windsor,5,20,8,-72.517052,43.62546,-72.517052,43.62546,-72.675052,-72.359052,43.46746,43.78346
VT0005645,EVERGREEN MHP,"05261, Pownal, Vermont",05261,Vermont,Region 1,Community water system,50,POWNAL,Bennington,4,3,8,-73.220523,42.796815,-73.220523,42.796815,-73.303523,-73.137523,42.713815,42.879815
VT0000585,HEARTHSTONE LTD,"05155, South Londonderry, Vermont",05155,Vermont,Region 1,Transient non-community system,48,LONDONDERRY,Windham,4,8,2,-72.81616,43.187078,-72.81616,43.187078,-72.89716,-72.73516,43.106078,43.268078
VT0000487,INN AT LONG TRAIL,"05751, Killington, Vermont",05751,Vermont,Region 1,Transient non-community system,69,KILLINGTON,Rutland,3,8,2,-72.783087,43.643342,-72.783087,43.643342,-72.881087,-72.685087,43.545342,43.741342
VT0021129,VERMONT COUNTRY STORE - ROCKINGHAM,"05101, Bellows Falls, Vermont",05101,Vermont,Region 1,Transient non-community system,30,ROCKINGHAM,Windham,3,2,1,-72.448482,43.13118,-72.448482,43.13118,-72.556482,-72.340482,43.02318,43.23918
VT0008018,UNDERHILL RECREATION AREA,"05474, North Hero, Vermont",05474,Vermont,Region 1,Transient non-community system,64,UNDERHILL,Chittenden,7,1,4,-73.293384,44.78496,-73.293384,44.78496,-73.445384,-73.141384,44.63296,44.93696
VT0008019,SAND BAR STATE PARK,"05474, North Hero, Vermont",05474,Vermont,Region 1,Transient non-community system,528,MILTON,Chittenden,10,0,4,-73.293384,44.78496,-73.293384,44.78496,-73.445384,-73.141384,44.63296,44.93696
VT0005637,TUCKERVILLE MHP,"05701, South Chittenden, Vermont",05701,Vermont,Region 1,Community water system,60,LUDLOW,Windsor,5,33,10,-72.979202,43.60923,-72.979202,43.60923,-73.185202,-72.773202,43.40323,43.81523
VT0020675,SHAWS BERLIN CORNERS,"02379, West Bridgewater, Massachusetts",02379,Vermont,Region 1,Non-Transient non-community system,150,BERLIN,Washington,8,134,4,-71.021922,42.018961,-71.021922,42.018961,-71.069922,-70.973922,41.970961,42.066961
VT0020891,STOWE PROFESSIONAL CENTER,"05672, Stowe, Vermont",05672,Vermont,Region 1,Non-Transient non-community system,25,STOWE,Lamoille,5,8,4,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0006640,WHITINGHAM SCHOOL,"05361, Whitingham, Vermont",05361,Vermont,Region 1,Non-Transient non-community system,300,WHITINGHAM,Windham,6,23,12,-72.866091,42.777683,-72.866091,42.777683,-72.930091,-72.802091,42.713683,42.841683
VT0000146,COLONEL WILLIAMS INN,"05344, Marlboro, Vermont",05344,Vermont,Region 1,Transient non-community system,106,MARLBORO,Windham,3,3,2,-72.726797,42.847978,-72.726797,42.847978,-72.737797,-72.715797,42.836978,42.858978
VT0001702,CHANTECLEER RESTAURANT,"05253, East Dorset, Vermont",05253,Vermont,Region 1,Transient non-community system,90,DORSET,Bennington,3,12,4,-73.010801,43.234126,-73.010801,43.234126,-73.102801,-72.918801,43.142126,43.326126
VT0005066,ESSEX JCT WATER DEPT,"05452, Essex Junction, Vermont",05452,Vermont,Region 1,Community water system,9331,ESSEX,Chittenden,7,0,10,-73.11385,44.489672,-73.11385,44.489672,-73.25385,-72.97385,44.349672,44.629672
VT0021216,EQUINOX RESORT LAKE HOUSE,"05254, Manchester, Vermont",05254,Vermont,Region 1,Transient non-community system,30,MANCHESTER,Bennington,2,2,1,-73.073052,43.1634,-73.073052,43.1634,-73.078052,-73.068052,43.1584,43.1684
VT0005602,SHELBURNE FARMS,"05482, Shelburne, Vermont",05482,Vermont,Region 1,Community water system,235,SHELBURNE,Chittenden,5,26,12,-73.214598,44.389412,-73.214598,44.389412,-73.334598,-73.094598,44.269412,44.509412
VT0005104,BLOOMFIELD WATER SYSTEM,"05905, Brunswick, Vermont",05905,Vermont,Region 1,Community water system,50,BLOOMFIELD,Essex,6,20,16,-71.652955,44.651826,-71.652955,44.651826,-71.932955,-71.372955,44.371826,44.931826
VT0005037,DANVILLE FIRE DISTRICT 1,"05828, Danville, Vermont",05828,Vermont,Region 1,Community water system,450,DANVILLE,Caledonia,10,15,13,-72.140886,44.414427,-72.140886,44.414427,-72.257886,-72.023886,44.297427,44.531427
VT0020790,BIRCH LANDING CONDOMINIUM,"06040, Manchester, Connecticut",06040,Vermont,Region 1,Community water system,82,PLYMOUTH,Windsor,21,193,5,-72.521516,41.760231,-72.521516,41.760231,-72.581516,-72.461516,41.700231,41.820231
VT0005531,MAPLE LANE COMMUNITY CARE HOME,"05860, Brownington, Vermont",05860,Vermont,Region 1,Non-Transient non-community system,26,BARTON,Orleans,6,10,14,-72.201702,44.810292,-72.201702,44.810292,-72.416702,-71.986702,44.595292,45.025292
VT0020460,STOUGHTON POND,"05156, Springfield, Vermont",05156,Vermont,Region 1,Transient non-community system,100,SPRINGFIELD,Windsor,2,7,1,-72.481491,43.297241,-72.481491,43.297241,-72.598491,-72.364491,43.180241,43.414241
VT0008044,KILL KARE AREA,"05474, North Hero, Vermont",05474,Vermont,Region 1,Transient non-community system,109,ST. ALBANS TOWN,Franklin,6,0,2,-73.293384,44.78496,-73.293384,44.78496,-73.445384,-73.141384,44.63296,44.93696
VT0003359,BAILEYS  BURKE PUB OUTBACK,"05832, East Burke, Vermont",05832,Vermont,Region 1,Transient non-community system,170,BURKE,Caledonia,5,13,6,-71.936712,44.582335,-71.936712,44.582335,-72.030712,-71.842712,44.488335,44.676335
VT0002327,THREE CORNERS PLAZA,"03748, Enfield, New Hampshire",03748,Vermont,Region 1,Non-Transient non-community system,83,HARTLAND,Windsor,6,34,4,-72.142722,43.64501,-72.142722,43.64501,-72.273722,-72.011722,43.51401,43.77601
VT0006679,LINCOLN COMMUNITY SCHOOL,"72 Munsill Ave, Bristol, Vermont, 05443",05443,Vermont,Region 1,Non-Transient non-community system,140,LINCOLN,Addison,6,14,8,-73.086125,44.137817,-73.085481,44.13789,-73.087125,-73.085125,44.136817,44.138817
VT0006420,VERMONT STATE GRANGE CENTER,"05753, Middlebury, Vermont",05753,Vermont,Region 1,Transient non-community system,125,BROOKFIELD,Orange,2,7,1,-73.166265,44.012755,-73.166265,44.012755,-73.286265,-73.046265,43.892755,44.132755
VT0020812,GRUNBERG HAUS,"05676, Waterbury, Vermont",05676,Vermont,Region 1,Transient non-community system,30,DUXBURY,Washington,4,6,3,-72.754037,44.337845,-72.754037,44.337845,-72.952037,-72.556037,44.139845,44.535845
VT0020639,RUTLAND AIRPORT BUSINESS PARK ASSO.,"05759, North Clarendon, Vermont",05759,Vermont,Region 1,Non-Transient non-community system,280,CLARENDON,Rutland,8,8,3,-72.966259,43.56504,-72.966259,43.56504,-73.052259,-72.880259,43.47904,43.65104
VT0020986,VERNON SENIOR HOUSING,"03110, New Hampshire",03110,Vermont,Region 1,Community water system,49,VERNON,Windham,7,30,2,-71.469421,42.942761,-71.469421,42.942761,-71.617421,-71.321421,42.794761,43.090761
VT0020454,GRAMMAR SCHOOL ANNEX,"05346, Westminster W, Vermont",05346,Vermont,Region 1,Non-Transient non-community system,38,PUTNEY,Windham,4,48,9,-72.521805,42.975326,-72.521805,42.975326,-72.674805,-72.368805,42.822326,43.128326
VT0021146,NEWPORT CONGREGATION OF JEHOVAHS WITNESS,"05822, Barton, Vermont",05822,Vermont,Region 1,Transient non-community system,25,DERBY,Orleans,2,3,1,-72.180786,44.748245,-72.180786,44.748245,-72.338786,-72.022786,44.590245,44.906245
VT0002309,KITCHEN TABLE BISTRO,"05477, Richmond, Vermont",05477,Vermont,Region 1,Transient non-community system,2,RICHMOND,Chittenden,3,1,2,-72.998003,44.389935,-72.998003,44.389935,-73.192003,-72.804003,44.195935,44.583935
VT0002159,RUTHCLIFFE LODGE RESORT,"05463, Isle La Motte, Vermont",05463,Vermont,Region 1,Transient non-community system,45,ISLE LA MOTTE,Grand Isle,5,18,7,-73.337875,44.878293,-73.337875,44.878293,-73.406875,-73.268875,44.809293,44.947293
