PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NH1323020,MASCOMA MEADOWS,"22 Rudsboro Rd, Lebanon, New Hampshire, 03766",03766,New Hampshire,Region 1,Community water system,125,LEBANON,Grafton,2,31,5,-72.172986,43.6515,-72.171661,43.65222,-72.173986,-72.171986,43.6505,43.6525
NH1842010,BLUFFS AT OSSIPEE LAKE,"03845, Intervale, New Hampshire",03845,New Hampshire,Region 1,Community water system,258,OSSIPEE,Carroll,5,5,3,-71.132908,44.079064,-71.132908,44.079064,-71.338908,-70.926908,43.873064,44.285064
NH0158210,AROMA JOES,"528 Calef Hwy, Barrington, Town of, New Hampshire, 03825",03825,New Hampshire,Region 1,Transient non-community system,50,BARRINGTON,Strafford,2,0,2,-70.996197,43.211498,-70.996831,43.21157,-70.997197,-70.995197,43.210498,43.212498
NH1932060,MOONGATE FARM,"72 Portsmouth Ave, Stratham, Town of, New Hampshire, 03885",03885,New Hampshire,Region 1,Community water system,120,PLAISTOW,Rockingham,2,2,4,-70.918128,43.010418,-70.917231,43.01025,-70.919128,-70.917128,43.009418,43.011418
NH1935010,POLLARD ELEMENTARY SCH,"03054, Merrimack, New Hampshire",03054,New Hampshire,Region 1,Non-Transient non-community system,702,PLAISTOW,Rockingham,4,32,7,-71.496412,42.84014,-71.496412,42.84014,-71.580412,-71.412412,42.75614,42.92414
NH2539020,NORTHFIELD DRIVE IN THEATER,"981 Northfield Rd, Hinsdale, Town of, New Hampshire, 03451",03451,New Hampshire,Region 1,Transient non-community system,200,WINCHESTER,Cheshire,2,6,2,-72.451433,42.727827,-72.448661,42.72754,-72.452433,-72.450433,42.726827,42.728827
NH0778050,CONCORD ELKS LODGE 1210,"03234, Epsom, New Hampshire",03234,New Hampshire,Region 1,Transient non-community system,150,EPSOM,Merrimack,2,11,2,-71.385226,43.196843,-71.385226,43.196843,-71.508226,-71.262226,43.073843,43.319843
NH2285010,SURRY VILLAGE CHARTER SCH,"11 Village Rd, Surry, Town of, New Hampshire, 03431",03431,New Hampshire,Region 1,Non-Transient non-community system,65,SURRY,Cheshire,2,66,5,-72.321596,43.019033,-72.321596,43.019033,-72.331596,-72.311596,43.009033,43.029033
NH2517020,CAMP WILMOT,"5 Whites Pond Rd, Wilmot, Town of, New Hampshire, 03287",03287,New Hampshire,Region 1,Transient non-community system,100,WILMOT,Merrimack,2,4,2,-71.932298,43.49033,-71.932298,43.49033,-71.942298,-71.922298,43.48033,43.50033
NH0827040,STATE LINE CAMPGROUND,"850 NH Route 12 S, Fitzwilliam, New Hampshire, 03447",03447,New Hampshire,Region 1,Transient non-community system,250,FITZWILLIAM,Cheshire,2,5,2,-72.09583,42.734717,-72.09583,42.734717,-72.10583,-72.08583,42.724717,42.744717
