PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CA3901295,STOCKTON LIVESTOCK AUCTION,"92123, San Diego, California",92123,California,Region 9,Transient non-community system,50,,,2,2,9,-117.125092,32.804991,-117.125092,32.804991,-117.165092,-117.085092,32.764991,32.844991
CA5200551,WOODSON BRIDGE MHP,"974 NW Mahogany Ln, Silverdale, Washington, 98383",98383,California,Region 9,Community water system,120,,Tehama,6,29,5,-122.661695,47.653599,-122.661695,47.653599,-122.671695,-122.651695,47.643599,47.663599
CA5400972,OUTSIDE CREEK SCHOOL,"93277, Visalia, California",93277,California,Region 9,Non-Transient non-community system,125,,Tulare,2,10,11,-119.335638,36.29471,-119.335638,36.29471,-119.475638,-119.195638,36.15471,36.43471
CA5010033,"CITY OF MODESTO, DE GRAYSON","501 N Jefferson St, Modesto, California, 95354",95354,California,Region 9,Community water system,1219,MODESTO,,10,6,11,-121.008997,37.643674,-121.008997,37.643674,-121.018997,-120.998997,37.633674,37.653674
CA3303092,Mecca Arco Travel Center,"92202, Indio, California",92202,California,Region 9,Non-Transient non-community system,47,,Riverside,3,4,2,-116.217261,33.71577,-116.217261,33.71577,-116.222261,-116.212261,33.71077,33.72077
CA3901399,CHURCH OF JESUS CHRIST OF LDS,"3112 Loomis Rd, Stockton, California, 95205",95205,California,Region 9,Transient non-community system,25,,San Joaquin,2,1,23,-121.236133,37.930884,-121.235861,37.93024,-121.237133,-121.235133,37.929884,37.931884
CA3901421,VIEJO LTD,"94101, San Francisco, California",94101,California,Region 9,Non-Transient non-community system,163,,San Joaquin,2,7,26,-122.41679,37.777211,-122.41679,37.777211,-122.42179,-122.41179,37.772211,37.782211
CA1000569,HIGH SIERRA CAMP,"5700 Shady Grove Rd, Memphis, Tennessee, 38120",38120,California,Region 9,Transient non-community system,25,,Fresno,1,2,1,-89.872111,35.12307,-89.872111,35.12307,-89.882111,-89.862111,35.11307,35.13307
CA1510802,KERN VALLEY STATE PRISON,"93216, Delano, California",93216,California,Region 9,Community water system,6100,,Kern,5,9,2,-119.245282,35.770471,-119.245282,35.770471,-119.250282,-119.240282,35.765471,35.775471
CA3303104,Jack In The Box #5328,"9300 Balboa Ave, San Diego, California, 92123",92123,California,Region 9,Transient non-community system,100,,Riverside,3,0,2,-117.129604,32.822399,-117.129604,32.822399,-117.139604,-117.119604,32.812399,32.832399
CA1300624,GORDON S WELL #1,"301 W 28th St, National City, California, 91950",91950,California,Region 9,Transient non-community system,50,,Imperial,2,1,6,-117.103431,32.657668,-117.103431,32.657668,-117.113431,-117.093431,32.647668,32.667668
