PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
UTAH09054,RED CANYON RV PARK,"84726, Escalante, Utah",84726,Utah,Region 8,Transient non-community system,200,,Garfield,7,13,3,-111.602413,37.768647,-111.602413,37.768647,-112.116413,-111.088413,37.254647,38.282647
UTAH02002,BEAR RIVER WCD-BEAVER DAM,"Forest Bdy, Heber City, Utah, 84032",84032,Utah,Region 8,Community water system,65,,Box Elder,10,91,4,-110.929595,40.496235,-110.929595,40.496235,-110.951595,-110.907595,40.474235,40.518235
UTAH20022,LAKE HILL CAMPGROUND,"559 W Price River Dr, Price, Utah, 84501",84501,Utah,Region 8,Transient non-community system,120,,Sanpete,5,4,5,-110.819682,39.599484,-110.819682,39.599484,-110.829682,-110.809682,39.589484,39.609484
UTAH18004,BLUFFDALE WATER SYSTEM,"2222 W 14400 S, Bluffdale, Utah, 84065",84065,Utah,Region 8,Community water system,8200,,Salt Lake,4,64,6,-111.948713,40.489633,-111.948713,40.489633,-111.958713,-111.938713,40.479633,40.499633
UTAH25041,BALSAM CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,25,,Utah,4,7,8,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH25096,VIVIAN PARK HOMEOWNERS,"1485 Springdell Cir, Provo, Utah, 84604",84604,Utah,Region 8,Community water system,363,,Utah,8,123,7,-111.623217,40.328283,-111.623151,40.32803,-111.624217,-111.622217,40.327283,40.329283
UTAH18134,MOUNT AIR SUBDIVISION,"960 Kagie Cir, Centerville, Utah, 84014",84014,Utah,Region 8,Transient non-community system,68,,Salt Lake,3,8,3,-111.880476,40.928449,-111.880041,40.92857,-111.881476,-111.879476,40.927449,40.929449
UTAH14055,OAK MEADOWS SUBDIVISION,"84649, Oak City, Utah",84649,Utah,Region 8,Community water system,50,,Millard,4,15,5,-112.335631,39.376481,-112.335631,39.376481,-112.482631,-112.188631,39.229481,39.523481
UTAH20017,FERRON RESERVOIR CAMPGROUND,"559 W Price River Dr, Price, Utah, 84501",84501,Utah,Region 8,Transient non-community system,108,,Sanpete,3,5,5,-110.819682,39.599484,-110.819682,39.599484,-110.829682,-110.809682,39.589484,39.609484
UTAH22038,CHRISTMAS MEADOWS CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,27,,Summit,6,9,6,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH28002,FREMONT WATERWORKS CO,"84747, Loa, Utah",84747,Utah,Region 8,Community water system,240,,Wayne,5,3,7,-111.618069,38.455055,-111.618069,38.455055,-111.922069,-111.314069,38.151055,38.759055
UTAH25004,SPRING LAKE,"12895 S Spring Lake Rd, Payson, Utah, 84651",84651,Utah,Region 8,Community water system,475,,Utah,11,17,5,-111.752195,39.995807,-111.751911,39.99557,-111.753195,-111.751195,39.994807,39.996807
UTAH22001,CLUFF WARD PIPELINE CO,"501 E Chalk Creek Rd, Coalville, Utah, 84017",84017,Utah,Region 8,Community water system,180,,Summit,7,46,7,-111.377762,40.924057,-111.377771,40.92429,-111.378762,-111.376762,40.923057,40.925057
UTAH08045,STUART VISITOR CENTER,"559 W Price River Dr, Price, Utah, 84501",84501,Utah,Region 8,Transient non-community system,26,,Emery,4,2,1,-110.819682,39.599484,-110.819682,39.599484,-110.829682,-110.809682,39.589484,39.609484
UTAH20003,FOUNTAIN GREEN,"84632, Fountain Green, Utah",84632,Utah,Region 8,Community water system,940,,Sanpete,8,33,7,-111.640272,39.628475,-111.640272,39.628475,-111.768272,-111.512272,39.500475,39.756475
UTAH02066,BEAR RIVER WCD-TREMONTON,"Forest Bdy, Heber City, Utah, 84032",84032,Utah,Region 8,Community water system,0,,Box Elder,8,2,3,-110.929595,40.496235,-110.929595,40.496235,-110.951595,-110.907595,40.474235,40.518235
UTAH02017,HOWELL TOWN WATER SYSTEM,"84316, Howell, Utah",84316,Utah,Region 8,Community water system,260,,Box Elder,10,65,6,-112.435948,41.788534,-112.435948,41.788534,-112.501948,-112.369948,41.722534,41.854534
UTAH28005,LYMAN TOWN WATER SYSTEM,"84749, Lyman, Utah",84749,Utah,Region 8,Community water system,250,,Wayne,10,16,7,-111.589052,38.395231,-111.589052,38.395231,-111.659052,-111.519052,38.325231,38.465231
UTAH28003,HANKSVILLE TOWN WATER SYSTEM,"84734, Hanksville, Utah",84734,Utah,Region 8,Community water system,270,,Wayne,10,161,8,-110.711734,38.374265,-110.711734,38.374265,-111.538734,-109.884734,37.547265,39.201265
UTAH25011,FAIRFIELD CULINARY WATER,"84013, Cedar Fort, Utah",84013,Utah,Region 8,Community water system,35,,Utah,4,291,9,-112.099432,40.297874,-112.099432,40.297874,-112.621432,-111.577432,39.775874,40.819874
UTAH20012,FAIRVIEW CITY WATER SYSTEM,"84629, Indianola, Utah",84629,Utah,Region 8,Community water system,1500,,Sanpete,17,227,9,-111.437016,39.62977,-111.437016,39.62977,-112.105016,-110.769016,38.96177,40.29777
UTAH18010,HOLLIDAY WATER COMPANY,"1887 E 4500 S, Holladay, Utah, 84117",84117,Utah,Region 8,Community water system,15000,,Salt Lake,12,154,10,-111.838141,40.674298,-111.838141,40.67442,-111.839141,-111.837141,40.673298,40.675298
