PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NM3553601,SIERRA VISTA MUTUAL DOMESTIC ASSOCIATION,"87008, Cedar Crest, New Mexico",87008,New Mexico,Region 6,Community water system,300,CEDAR CREST,Bernalillo,6,10,9,-106.359615,35.123037,-106.359615,35.123037,-106.446615,-106.272615,35.036037,35.210037
NM3574529,VALLE ESCONDIDO HOMEOWNERS ASSOCIATION,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Community water system,300,TAOS,Taos,8,21,15,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3590608,INTREPID POTASH  EAST,"88220, Carlsbad, New Mexico",88220,New Mexico,Region 6,Non-Transient non-community system,345,CARLSBAD,Eddy,20,10,11,-104.235265,32.423494,-104.235265,32.423494,-104.851265,-103.619265,31.807494,33.039494
NM3591023,HUMMINGBIRD MUSIC CAMP,"87025, Jemez Springs, New Mexico",87025,New Mexico,Region 6,Transient non-community system,150,JEMEZ SPRINGS,Sandoval,6,21,7,-106.646802,35.87093,-106.646802,35.87093,-107.012802,-106.280802,35.50493,36.23693
NM3507229,RIO LUCIO MDWCA,"87553, Penasco, New Mexico",87553,New Mexico,Region 6,Community water system,500,PENASCO,Taos,6,8,13,-105.710632,36.189711,-105.710632,36.189711,-105.828632,-105.592632,36.071711,36.307711
NM3591929,TAOS VALLEY RV PARK,"87507, Santa Fe, New Mexico",87507,New Mexico,Region 6,Transient non-community system,40,TAOS,Taos,9,1,10,-106.028572,35.641741,-106.028572,35.641741,-106.250572,-105.806572,35.419741,35.863741
NM3523502,RANCHO GRANDE WATER ASSOCIATION INC,"87830, Reserve, New Mexico",87830,New Mexico,Region 6,Community water system,172,RESERVE,Catron,4,9,16,-108.758958,33.712388,-108.758958,33.712388,-109.233958,-108.283958,33.237388,34.187388
NM3500921,CEBOLLA MDWCA,"87518, Cebolla, New Mexico",87518,New Mexico,Region 6,Community water system,300,CEBOLLA,Rio Arriba,7,37,11,-106.485133,36.534201,-106.485133,36.534201,-106.490133,-106.480133,36.529201,36.539201
NM3598826,LITTLE EARTH SCHOOL,"87505, Santa Fe, New Mexico",87505,New Mexico,Region 6,Non-Transient non-community system,350,SANTA FE,Santa Fe,3,8,10,-105.942332,35.676137,-105.942332,35.676137,-106.084332,-105.800332,35.534137,35.818137
NM3500613,INTREPID POTASH  NORTH,"88220, Carlsbad, New Mexico",88220,New Mexico,Region 6,Non-Transient non-community system,40,HOBBS,Lea,4,7,12,-104.235265,32.423494,-104.235265,32.423494,-104.851265,-103.619265,31.807494,33.039494
NM3504926,RIO CHIQUITO MDWCA,"87522, Chimayo, New Mexico",87522,New Mexico,Region 6,Community water system,200,CHIMAYO,Santa Fe,7,17,12,-105.903242,36.002641,-105.903242,36.002641,-106.276242,-105.530242,35.629641,36.375641
NM3598426,SANGRE DE CRISTO RACQUET CLUB,"87505, Santa Fe, New Mexico",87505,New Mexico,Region 6,Transient non-community system,50,SANTA FE,Santa Fe,4,3,6,-105.942332,35.676137,-105.942332,35.676137,-106.084332,-105.800332,35.534137,35.818137
NM3590130,GRAN QUIVIRA - SALINAS PUEBLO MISSIONS,"87036, Mountainair, New Mexico",87036,New Mexico,Region 6,Transient non-community system,50,MOUNTAINAIR,Torrance,4,1,9,-106.240358,34.523688,-106.240358,34.523688,-106.592358,-105.888358,34.171688,34.875688
NM3513819,MAYHILL WATER SUPPLY COMPANY,"88339, Flying H, New Mexico",88339,New Mexico,Region 6,Community water system,80,MAYHILL,Otero,3,5,17,-105.622801,32.942973,-105.622801,32.942973,-106.362801,-104.882801,32.202973,33.682973
NM3515310,VAUGHN  DURAN WATER SYSTEM,"88353, Vaughn, New Mexico",88353,New Mexico,Region 6,Community water system,430,VAUGHN,Guadalupe,20,199,12,-105.213162,34.601611,-105.213162,34.601611,-105.665162,-104.761162,34.149611,35.053611
