PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IA1716304,OAKRIDGE HOMEOWNERS ASSOCIATION,"50428, Clear Lake, Iowa",50428,Iowa,Region 7,Community water system,32,CLEAR LAKE,Cerro Gordo,5,2,3,-93.378382,43.13692,-93.378382,43.13692,-93.507382,-93.249382,43.00792,43.26592
IA5307811,FAWN CREEK COUNTRY CLUB,"52205, Anamosa, Iowa",52205,Iowa,Region 7,Transient non-community system,50,ANAMOSA,Jones,6,6,5,-91.282077,42.109411,-91.282077,42.109411,-91.441077,-91.123077,41.950411,42.268411
IA1769930,LIME CREEK CONSERVATION AREA,"50401, Mason City, Iowa",50401,Iowa,Region 7,Transient non-community system,81,MASON CITY,Cerro Gordo,4,3,14,-93.201402,43.152931,-93.201402,43.152931,-93.348402,-93.054402,43.005931,43.299931
IA6527038,HASTINGS WATER SUPPLY,"50702, Washburn, Iowa",50702,Iowa,Region 7,Community water system,152,HASTINGS,Mills,6,25,12,-92.342645,42.484681,-92.342645,42.484681,-92.431645,-92.253645,42.395681,42.573681
IA7603045,FONDA WATER SUPPLY,"50540, Fonda, Iowa",50540,Iowa,Region 7,Community water system,648,FONDA,Pocahontas,12,2,9,-94.841831,42.58054,-94.841831,42.58054,-94.966831,-94.716831,42.45554,42.70554
IA2279003,STRAWBERRY POINT WATER SUPPLY,"52076, Strawberry Point, Iowa",52076,Iowa,Region 7,Community water system,1279,STRAWBERRY POINT,Clayton,11,5,5,-91.535712,42.68145,-91.535712,42.68145,-91.698712,-91.372712,42.51845,42.84445
IA9783060,SMITHLAND WATER SUPPLY,"51056, Smithland, Iowa",51056,Iowa,Region 7,Community water system,229,SMITHLAND,Woodbury,7,2,6,-95.932282,42.227705,-95.932282,42.227705,-96.035282,-95.829282,42.124705,42.330705
IA9630809,WASHINGTON PRAIRIE LUTHERAN CHURCH,"52101, Decorah, Iowa",52101,Iowa,Region 7,Transient non-community system,124,DECORAH,Winneshiek,6,15,14,-91.787316,43.302193,-91.787316,43.302193,-92.009316,-91.565316,43.080193,43.524193
IA9427082,DUNCOMBE WATER SUPPLY,"50532, Duncombe, Iowa",50532,Iowa,Region 7,Community water system,410,DUNCOMBE,Webster,9,2,7,-93.994496,42.468169,-93.994496,42.468169,-94.103496,-93.885496,42.359169,42.577169
IA4150014,KANAWHA WATER SUPPLY,"50447, Kanawha, Iowa",50447,Iowa,Region 7,Community water system,652,KANAWHA,Hancock,7,1,6,-93.793357,42.937452,-93.793357,42.937452,-93.950357,-93.636357,42.780452,43.094452
IA9147047,MARTENSDALE WATER SUPPLY,"50160, Martensdale, Iowa",50160,Iowa,Region 7,Community water system,465,MARTENSDALE,Warren,9,2,8,-93.739386,41.372112,-93.739386,41.372112,-93.747386,-93.731386,41.364112,41.380112
IA7622801,EVANGELICAL COVENANT CHURCH,"50575, Pomeroy, Iowa",50575,Iowa,Region 7,Transient non-community system,128,POMEROY,Pocahontas,9,3,3,-94.682462,42.54876,-94.682462,42.54876,-94.796462,-94.568462,42.43476,42.66276
IA5650201,TRI STATE GUN CLUB,"52632, Keokuk, Iowa",52632,Iowa,Region 7,Transient non-community system,30,MONTROSE,Lee,5,0,4,-91.383102,40.39932,-91.383102,40.39932,-91.567102,-91.199102,40.21532,40.58332
IA0680401,LAZY ACRES RV PARK,"50701, Waterloo, Iowa",50701,Iowa,Region 7,Transient non-community system,120,URBANA,Benton,6,2,6,-92.353441,42.49169,-92.353441,42.49169,-92.518441,-92.188441,42.32669,42.65669
IA6549201,TOBEY JACKS MINEOLA STEAK HOUSE,"51554, Mineola, Iowa",51554,Iowa,Region 7,Transient non-community system,102,MINEOLA,Mills,4,5,5,-95.694632,41.142441,-95.694632,41.142441,-95.698632,-95.690632,41.138441,41.146441
IA4260801,IOWA FALLS EVANGELICAL FREE CHURCH,"50126, Iowa Falls, Iowa",50126,Iowa,Region 7,Transient non-community system,102,IOWA FALLS,Hardin,4,7,9,-93.263168,42.523336,-93.263168,42.523336,-93.403168,-93.123168,42.383336,42.663336
IA5765101,PALO WATER SUPPLY,"52332, Shellsburg, Iowa",52332,Iowa,Region 7,Community water system,1026,PALO,Linn,11,4,1,-91.873812,42.092271,-91.873812,42.092271,-91.970812,-91.776812,41.995271,42.189271
IA0385401,SCENIC VIEW CAMPGROUND,"52170, Waterville, Iowa",52170,Iowa,Region 7,Transient non-community system,25,ROSSVILLE,Allamakee,6,13,4,-91.297779,43.20871,-91.297779,43.20871,-91.396779,-91.198779,43.10971,43.30771
IA5282310,MACBRIDE ESTATES DEVELOPMENT,"52333, Solon, Iowa",52333,Iowa,Region 7,Community water system,68,SOLON,Johnson,4,0,0,-91.493812,41.80448,-91.493812,41.80448,-91.657812,-91.329812,41.64048,41.96848
IA9303024,ALLERTON WATER WORKS,"50008, Allerton, Iowa",50008,Iowa,Region 7,Community water system,501,ALLERTON,Wayne,7,0,6,-93.36674,40.706714,-93.36674,40.706714,-93.55674,-93.17674,40.516714,40.896714
IA2038701,SIRWA #3 (OSCEOLA),"50801, Creston, Iowa",50801,Iowa,Region 7,Community water system,2260,OSCEOLA,Clarke,12,9,8,-94.365581,41.05744,-94.365581,41.05744,-94.566581,-94.164581,40.85644,41.25844
IA2570302,RIVER OAKS DEVELOPMENT,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,200,VAN METER,Dallas,9,28,7,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA1011001,BRANDON WATER SUPPLY,"52210, Brandon, Iowa",52210,Iowa,Region 7,Community water system,309,BRANDON,Buchanan,10,7,7,-92.001761,42.313791,-92.001761,42.313791,-92.086761,-91.916761,42.228791,42.398791
IA5349001,MORLEY MUNICIPAL WATER SUPPLY,"52312, Morley, Iowa",52312,Iowa,Region 7,Community water system,115,MORLEY,Jones,6,5,5,-91.245291,42.006701,-91.245291,42.006701,-91.251291,-91.239291,42.000701,42.012701
IA7700853,GOULD HEIGHTS WATER SERVICE COMPANY,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,1365,GRIMES,Polk,13,4,5,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA7709395,GREENWOOD ACRES WATER CO.,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,325,ANKENY,Polk,8,3,5,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA7709398,OAKWOOD PARK WATER INC.,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,201,ANKENY,Polk,10,9,6,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA2326104,EQUISTAR CHEMICALS  LP,"52732, Clinton, Iowa",52732,Iowa,Region 7,Non-Transient non-community system,225,CLINTON,Clinton,12,2,6,-90.193074,41.840752,-90.193074,41.840752,-90.394074,-89.992074,41.639752,42.041752
IA1528809,GRISWOLD GOLF AND COUNTRY CLUB,"51535, Griswold, Iowa",51535,Iowa,Region 7,Transient non-community system,43,LEWIS,Cass,6,24,5,-95.141171,41.23442,-95.141171,41.23442,-95.365171,-94.917171,41.01042,41.45842
IA4647201,SPRING VALLEY GOLF CLUB,"50558, Livermore, Iowa",50558,Iowa,Region 7,Transient non-community system,51,LIVERMORE,Kossuth,7,2,14,-94.183517,42.868268,-94.183517,42.868268,-94.286517,-94.080517,42.765268,42.971268
IA4830811,ST JOHNS LUTHERAN CHURCH (HOMESTEAD),"52361, Williamsburg, Iowa",52361,Iowa,Region 7,Transient non-community system,38,HOMESTEAD,Iowa,7,1,6,-92.010421,41.66266,-92.010421,41.66266,-92.205421,-91.815421,41.46766,41.85766
IA3383903,GOULDSBURG PARK,"52142, Fayette, Iowa",52142,Iowa,Region 7,Transient non-community system,30,FAYETTE,Fayette,7,5,11,-91.802452,42.8408,-91.802452,42.8408,-91.943452,-91.661452,42.6998,42.9818
IA8503039,AMES WATER TREATMENT PLANT,"50010, Ames, Iowa",50010,Iowa,Region 7,Community water system,50029,AMES,Story,44,5,6,-93.606936,42.034662,-93.606936,42.034662,-93.711936,-93.501936,41.929662,42.139662
IA2320850,WAPSI OAKS COUNTRY CLUB,"52729, Calamus, Iowa",52729,Iowa,Region 7,Transient non-community system,60,CALAMUS,Clinton,9,12,5,-90.758621,41.825725,-90.758621,41.825725,-90.870621,-90.646621,41.713725,41.937725
IA2258603,BREEZY POINTE SUBDIVISION,"52157, Mc Gregor, Iowa",52157,Iowa,Region 7,Community water system,110,MCGREGOR,Clayton,8,10,6,-91.179897,43.022748,-91.179897,43.022748,-91.329897,-91.029897,42.872748,43.172748
IA5731302,GADDIS ESTATES HOA,"52338, Swisher, Iowa",52338,Iowa,Region 7,Community water system,215,WALFORD,Linn,5,8,4,-91.69718,41.845626,-91.69718,41.845626,-91.78318,-91.61118,41.759626,41.931626
IA0510040,BRAYTON WATER SYSTEM,"50042, Brayton, Iowa",50042,Iowa,Region 7,Community water system,128,BRAYTON,Audubon,9,19,12,-94.926257,41.543924,-94.926257,41.543924,-95.075257,-94.777257,41.394924,41.692924
IA9666201,HARVEST FARM CAMPGROUND LLC,"52136, Cresco, Iowa",52136,Iowa,Region 7,Transient non-community system,129,KENDALLVILLE,Winneshiek,4,0,9,-92.117306,43.372442,-92.117306,43.372442,-92.322306,-91.912306,43.167442,43.577442
IA1037301,PINTS WATER ASSOCIATION,"50644, Independence, Iowa",50644,Iowa,Region 7,Community water system,87,INDEPENDENCE,Buchanan,5,6,5,-91.894381,42.4702,-91.894381,42.4702,-92.044381,-91.744381,42.3202,42.6202
IA1037201,THREE ELMS GOLF COURSE,"50644, Independence, Iowa",50644,Iowa,Region 7,Transient non-community system,28,INDEPENDENCE,Buchanan,5,8,14,-91.894381,42.4702,-91.894381,42.4702,-92.044381,-91.744381,42.3202,42.6202
IA0990808,HERITAGE UNITED METHODIST CHURCH,"50677, Waverly, Iowa",50677,Iowa,Region 7,Transient non-community system,200,WAVERLY,Bremer,4,6,12,-92.473871,42.727511,-92.473871,42.727511,-92.638871,-92.308871,42.562511,42.892511
IA3203301,OAK SHORES,"50598, Whittemore, Iowa",50598,Iowa,Region 7,Community water system,50,ARMSTRONG,Emmet,9,0,1,-94.423031,43.061475,-94.423031,43.061475,-94.530031,-94.316031,42.954475,43.168475
IA1031044,HAZLETON WATER SUPPLY,"50641, Hazleton, Iowa",50641,Iowa,Region 7,Community water system,823,HAZLETON,Buchanan,10,2,7,-91.903662,42.61559,-91.903662,42.61559,-92.013662,-91.793662,42.50559,42.72559
IA1716424,TWIN OAK CAMP GROUND,"50428, Clear Lake, Iowa",50428,Iowa,Region 7,Transient non-community system,32,CLEAR LAKE,Cerro Gordo,6,6,11,-93.378382,43.13692,-93.378382,43.13692,-93.507382,-93.249382,43.00792,43.26592
IA9433600,WOODLAND ACRES,"50501, Fort Dodge, Iowa",50501,Iowa,Region 7,Community water system,92,FORT DODGE,Webster,7,46,6,-94.181632,42.50691,-94.181632,42.50691,-94.392632,-93.970632,42.29591,42.71791
IA9609774,BARNEYS BAR AND GRILL,"52101, Decorah, Iowa",52101,Iowa,Region 7,Transient non-community system,35,BURR OAK,Winneshiek,6,21,14,-91.787316,43.302193,-91.787316,43.302193,-92.009316,-91.565316,43.080193,43.524193
