State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Utah,IRON,"Iron, Garfield, Beaver Task Force",UT0110700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,5,1,4,,
Utah,IRON,Enoch Police Department,UT0110800,201,55,146,217,60,157,2,1,1,0,0,0,4,1,3,0,0,0,106,25,81,55,15,40,267,63,204,15,5,10,428,103,325,37.764706,-113.03732
Utah,JUAB,Juab County Sheriff's Office,UT0120000,31,10,21,55,15,40,0,0,0,0,0,0,14,3,11,4,2,2,92,9,83,68,7,61,290,14,276,19,3,16,450,30,420,39.713564,-112.791208
Utah,JUAB,Nephi Police Department,UT0120100,44,20,24,75,27,48,2,0,2,0,0,0,8,2,6,2,1,1,181,18,163,70,13,57,705,95,610,24,5,19,956,126,830,39.71005,-111.83566
Utah,KANE,Kane County Sheriff's Office,UT0130000,176,87,89,211,104,107,2,1,1,0,0,0,8,4,4,0,0,0,51,15,36,52,20,32,137,32,105,33,16,17,240,67,173,37.04944,-112.5285
Utah,KANE,Kanab Police Department,UT0130200,130,60,70,139,61,78,4,1,3,0,0,0,7,1,6,0,0,0,55,15,40,44,13,31,383,71,312,9,1,8,482,99,383,37.0464,-112.525475
Utah,KANE,Big Water Police Department,UT0130500,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,5,0,5,0,0,0,10,0,10,37.275083,-111.815352
Utah,MILLARD,Millard County Sheriff's Office,UT0140000,352,162,190,445,194,251,15,6,9,0,0,0,58,19,39,2,1,1,346,74,272,213,61,152,1335,254,1081,82,27,55,1894,389,1505,39.09454,-113.525014
Utah,MORGAN,Morgan County Sheriff's Office,UT0150000,20,6,14,33,9,24,1,0,1,0,0,0,8,2,6,0,0,0,104,7,97,16,2,14,137,17,120,13,3,10,257,26,231,41.091027,-111.577885
Utah,PIUTE,Piute County Sheriff's Office,UT0160000,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,1,0,1,15,1,14,0,0,0,28,4,24,38.335881,-112.129375
Utah,RICH,Rich County Sheriff's Office,UT0170000,26,12,14,26,12,14,0,0,0,0,0,0,0,0,0,0,0,0,56,8,48,5,2,3,146,26,120,0,0,0,207,36,171,41.627598,-111.240227
Utah,SALT LAKE,Salt Lake County Unified Police Department,UT0180000,5130,1759,3371,8055,2176,5879,201,42,159,0,0,0,835,70,765,147,58,89,10246,524,9722,10452,360,10092,61277,6913,54364,1247,92,1155,81975,7797,74178,40.698353,-111.86546
Utah,SALT LAKE,Murray Police Department,UT0180200,1682,626,1056,2599,754,1845,60,14,46,0,0,0,210,20,190,16,5,11,3403,275,3128,3701,173,3528,20140,2122,18018,457,47,410,27244,2570,24674,40.667883,-111.92424
