PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AZ0407056,EPCOR WATER - PARADISE VALLEY/SCOTTSDALE,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,12000,PARADISE VALLEY,Maricopa,22,79,36,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407017,EPCOR WATER - CHAPARRAL CITY,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,26026,FOUNTAIN HILLS,Maricopa,15,414,39,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407532,EPCOR WATER - TIERRA DEL RIO,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,4688,PEORIA,Maricopa,8,3,5,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407531,EPCOR WATER - NORTH EAST AGUA FRIA,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,10087,PHOENIX,Maricopa,8,16,7,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0420529,CAROLANNE DRIVE HOA,"85741, Tucson, Arizona",85741,Arizona,Region 9,Community water system,72,TUCSON,Pima,5,89,17,-111.018082,32.338571,-111.018082,32.338571,-111.087082,-110.949082,32.269571,32.407571
AZ0420092,SIERRA COURT TRAILER PARK,"85714, Tucson, Arizona",85714,Arizona,Region 9,Community water system,96,TUCSON,Pima,5,87,15,-110.970042,32.172001,-110.970042,32.172001,-111.048042,-110.892042,32.094001,32.250001
AZ0407767,MARTORI FARMS / COURTHOUSE LLC,"85320, Aguila, Arizona",85320,Arizona,Region 9,Transient non-community system,25,HARQUAHALA VALLEY,Maricopa,3,6,4,-113.209982,33.837595,-113.209982,33.837595,-113.421982,-112.997982,33.625595,34.049595
AZ0413391,TURQUOISE TRIANGLE RV PARK,"86326, Cottonwood, Arizona",86326,Arizona,Region 9,Non-Transient non-community system,120,COTTONWOOD,Yavapai,4,257,15,-112.013951,34.739666,-112.013951,34.739666,-112.227951,-111.799951,34.525666,34.953666
AZ0402104,WHETSTONE VILLAGE MHP,"85616, Huachuca City, Arizona",85616,Arizona,Region 9,Community water system,50,UNKNOWN,Cochise,7,26,9,-110.349877,31.688855,-110.349877,31.688855,-110.584877,-110.114877,31.453855,31.923855
AZ0413245,CASTLE CREST MONTEZUMA,"86322, Camp Verde, Arizona",86322,Arizona,Region 9,Transient non-community system,200,CAMP VERDE,Yavapai,5,22,6,-111.857927,34.564026,-111.857927,34.564026,-112.062927,-111.652927,34.359026,34.769026
AZ0402345,NACO ESTATES,"85635, Sierra Vista, Arizona",85635,Arizona,Region 9,Community water system,75,NACO,Cochise,8,15,13,-110.289671,31.56077,-110.289671,31.56077,-110.542671,-110.036671,31.30777,31.81377
AZ0413303,INSCRIPTION CANYON RANCH WATER SYSTEM,"86302, Prescott, Arizona",86302,Arizona,Region 9,Community water system,314,PRESCOTT,Yavapai,12,86,7,-112.469152,34.539641,-112.469152,34.539641,-112.474152,-112.464152,34.534641,34.544641
AZ0407542,LOVE COMMUNITY CHURCH,"85085, Phoenix, Arizona",85085,Arizona,Region 9,Transient non-community system,70,PHOENIX,Maricopa,4,32,4,-112.107166,33.748167,-112.107166,33.748167,-112.219166,-111.995166,33.636167,33.860167
AZ0401004,EAGAR TOWN OF,"85925, Eagar, Arizona",85925,Arizona,Region 9,Community water system,4842,EAGAR,Apache,41,103,22,-109.291826,34.105656,-109.291826,34.105656,-109.744826,-108.838826,33.652656,34.558656
AZ0409086,SWEETWATER RANCH - TOWN OF TAYLOR,"85939, Taylor, Arizona",85939,Arizona,Region 9,Community water system,180,TAYLOR,Navajo,4,51,7,-110.090911,34.463961,-110.090911,34.463961,-110.213911,-109.967911,34.340961,34.586961
