PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AK2224175,HOMESTEADERS COMMUNITY CLUB,"99654, Wasilla, Alaska",99654,Alaska,Region 10,Transient non-community system,26,HOUSTON,Matanuska-Susitna Borough,3,13,6,-149.443726,61.58322,-149.443726,61.58322,-149.653726,-149.233726,61.37322,61.79322
AK2224523,FIRST PRESBYTERIAN CHURCH,"1375 E Bogard Rd, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,200,WASILLA,Matanuska-Susitna Borough,4,7,6,-149.415226,61.588517,-149.415901,61.58923,-149.416226,-149.414226,61.587517,61.589517
AK2260139,NAPASKIAK WEST WATER SYSTEM,"99559, Bethel, Alaska",99559,Alaska,Region 10,Community water system,200,NAPASKIAK,Bethel Census Area,5,275,6,-161.790509,60.784468,-161.790509,60.784468,-165.613509,-157.967509,56.961468,64.607468
AK2260804,NELSON LAGOON WATER SYSTEM,"99571, Adak, Alaska",99571,Alaska,Region 10,Community water system,60,NELSON LAGOON,Aleutians East Borough,5,700,7,-162.836705,55.099625,-162.836705,55.099625,-166.473705,-159.199705,51.462625,58.736625
AK2241062,SALMON CREEK TRAILER COURT,"99664, Seward, Alaska",99664,Alaska,Region 10,Community water system,125,SEWARD,Kenai Peninsula Borough,4,124,8,-149.38081,60.187185,-149.38081,60.187185,-150.82481,-147.93681,58.743185,61.631185
AK2241101,BAY VIEW TRAILER COURT,"99664, Seward, Alaska",99664,Alaska,Region 10,Community water system,51,SEWARD,Kenai Peninsula Borough,6,116,8,-149.38081,60.187185,-149.38081,60.187185,-150.82481,-147.93681,58.743185,61.631185
AK2360214,KOYUKUK SAFEWATER FACILITY,"99754, Koyukuk, Alaska",99754,Alaska,Region 10,Community water system,97,KOYUKUK,Yukon-Koyukuk Census Area,4,740,8,-157.703657,64.879039,-157.703657,64.879039,-157.800657,-157.606657,64.782039,64.976039
AK2390536,FIREWEED STATION & MIDNIGHT SUN RV PARK,"99755, Denali National Park, Alaska",99755,Alaska,Region 10,Transient non-community system,258,HEALY,Denali Borough,4,37,5,-148.892079,63.731698,-148.892079,63.731698,-153.001079,-144.783079,59.622698,67.840698
AK2240969,KENAI LNG FACILITY,"99611, Kenai, Alaska",99611,Alaska,Region 10,Non-Transient non-community system,29,KENAI,Kenai Peninsula Borough,9,35,6,-151.251236,60.557071,-151.251236,60.557071,-152.499236,-150.003236,59.309071,61.805071
AK2249245,NIKISKI REFINERY MODULAR OFFICES,"99611, Kenai, Alaska",99611,Alaska,Region 10,Non-Transient non-community system,71,NIKISKI,Kenai Peninsula Borough,2,0,0,-151.251236,60.557071,-151.251236,60.557071,-152.499236,-150.003236,59.309071,61.805071
AK2300159,MINTO COMMUNITY WATER SYSTEM,"99758, Minto, Alaska",99758,Alaska,Region 10,Community water system,205,MINTO,Yukon-Koyukuk Census Area,6,154,9,-149.348376,65.149828,-149.348376,65.149828,-151.029376,-147.667376,63.468828,66.830828
AK2263071,DILLINGHAM COURTHOUSE,"99576, Koliganek, Alaska",99576,Alaska,Region 10,Transient non-community system,219,DILLINGHAM,Dillingham Census Area,2,2,1,-158.458931,59.040954,-158.458931,59.040954,-158.956931,-157.960931,58.542954,59.538954
AK2226525,SUTTON GENERAL STORE,"99674, Chickaloon, Alaska",99674,Alaska,Region 10,Transient non-community system,28,SUTTON,Matanuska-Susitna Borough,4,12,6,-148.986722,61.709797,-148.986722,61.709797,-150.570722,-147.402722,60.125797,63.293797
AK2248836,SUNRISE INN,"99572, Cooper Lndg, Alaska",99572,Alaska,Region 10,Transient non-community system,54,COOPER LANDING,Kenai Peninsula Borough,4,1,7,-149.810592,60.494515,-149.810592,60.494515,-150.629592,-148.991592,59.675515,61.313515
