PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SC4650053,BGWC OLYMPIC ACRES (SC4650053),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,175,YORK,York,11,30,24,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650052,BGWC MIDDLESTREAM (SC4650052),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,90,CATAWBA,York,5,117,25,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650051,BGWC LESSLIEWOODS 2 (SC4650051),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,41,ROCK HILL,York,3,60,22,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650048,BGWC WINDY RUN (SC4650048),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,85,ROCK HILL,York,3,60,22,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650047,BGWC BROWN NEAL (SC4650047),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,52,YORK,York,3,65,26,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650046,BGWC VALLEYMERE MH (SC4650046),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,67,YORK,York,3,64,26,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650042,BGWC OLD FARM (SC4650042),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,50,CLOVER,York,3,61,26,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650041,BGWC KIMS ACRES (4650041),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,132,MCCONNELLS,York,5,42,23,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650040,BGWC HIDDEN LAKE (SC4650040),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,104,YORK,York,6,50,27,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC3680003,QLS-THE STATION 2 INC (SC3680003),"120 Westwoods Dr, Chapin, South Carolina, 29036",29036,South Carolina,Region 4,Transient non-community system,26,PROSPERITY,Newberry,3,0,3,-81.363596,34.166426,-81.363596,34.166426,-81.373596,-81.353596,34.156426,34.176426
SC4080005,QLS - ROSEWOOD MARKET (4080005),"120 Westwoods Dr, Chapin, South Carolina, 29036",29036,South Carolina,Region 4,Transient non-community system,26,COLUMBIA,Richland,3,0,6,-81.363596,34.166426,-81.363596,34.166426,-81.373596,-81.353596,34.156426,34.176426
SC4660003,PECAN GROVE COMMONS (4660003),"29730, Rock Hill, South Carolina",29730,South Carolina,Region 4,Community water system,58,ROCK HILL,York,5,15,26,-81.015228,34.920137,-81.015228,34.920137,-81.181228,-80.849228,34.754137,35.086137
SC4650019,LOST COLONY S/D (4650019),"133 Manteo Dr, Rock Hill, South Carolina, 29730",29730,South Carolina,Region 4,Community water system,80,ROCK HILL,York,3,11,28,-81.050708,34.858104,-81.050661,34.8578,-81.051708,-81.049708,34.857104,34.859104
SC0270928,LITTLE COUNTRY STORE (SC0270928),"500 Middleton Dr, Windsor, South Carolina, 29856",29856,South Carolina,Region 4,Transient non-community system,50,WINDSOR,Aiken,2,7,6,-81.513851,33.481542,-81.513151,33.48206,-81.514851,-81.512851,33.480542,33.482542
SC1410002,MANNING TOWN OF (1410002),"29102, Manning, South Carolina",29102,South Carolina,Region 4,Community water system,5908,MANNING,Clarendon,14,12,40,-80.211681,33.693791,-80.211681,33.693791,-80.457681,-79.965681,33.447791,33.939791
SC2070904,LONGTOWN CORNER STORE (2070904),"29130, Ridgeway, South Carolina",29130,South Carolina,Region 4,Transient non-community system,100,RIDGEWAY,Fairfield,3,11,7,-80.960521,34.30549,-80.960521,34.30549,-81.219521,-80.701521,34.04649,34.56449
SC0770927,SHELDON CONVENIENCE STORE (0770927),"32 Horse Tail Rd, Yemassee, South Carolina, 29945",29945,South Carolina,Region 4,Transient non-community system,50,SHELDON,Beaufort,2,12,11,-80.74072,32.641771,-80.740211,32.6421,-80.74172,-80.73972,32.640771,32.642771
SC4420001,MEANSVILLE RILEY W/D (4420001),"29379, Union, South Carolina",29379,South Carolina,Region 4,Community water system,7402,UNION,Union,13,15,38,-81.626041,34.711991,-81.626041,34.711991,-81.815041,-81.437041,34.522991,34.900991
SC1270213,GREAT FALLS MART (1270213),"1715 Cavendale Dr, Rock Hill, South Carolina, 29732",29732,South Carolina,Region 4,Transient non-community system,100,RICHBURG,Chester,4,14,18,-81.064594,34.948065,-81.064841,34.94772,-81.065594,-81.063594,34.947065,34.949065
SC1470910,RIKKI-DS (SC1470910),"29440, Georgetown, South Carolina",29440,South Carolina,Region 4,Transient non-community system,40,MANNING,Clarendon,2,0,10,-79.290189,33.374319,-79.290189,33.374319,-79.695189,-78.885189,32.969319,33.779319
SC4510007,WCWSA (SC4510007),"29556, Kingstree, South Carolina",29556,South Carolina,Region 4,Community water system,6834,KINGSTREE,Williamsburg,13,1,13,-79.821602,33.672409,-79.821602,33.672409,-80.031602,-79.611602,33.462409,33.882409
