State,County,Farms with direct sales (%) 2012 (PCT_LOCLFARM12),Units,FIPS,FID
Arkansas,Howard,1.4492753623188406,Percent,5061.0,191
Arkansas,Independence,3.1904287138584246,Percent,5063.0,200
Arkansas,Izard,2.0537124802527646,Percent,5065.0,203
Arkansas,Jackson,2.517162471395881,Percent,5067.0,209
Arkansas,Jefferson,3.8288288288288284,Percent,5069.0,213
Arkansas,Johnson,3.3653846153846154,Percent,5071.0,218
Arkansas,Lafayette,2.2813688212927756,Percent,5073.0,222
Arkansas,Lawrence,0.5366726296958855,Percent,5075.0,230
Arkansas,Lee,2.727272727272727,Percent,5077.0,237
Arkansas,Lincoln,0.7957559681697612,Percent,5079.0,244
Arkansas,Little River,3.3482142857142856,Percent,5081.0,251
Arkansas,Logan,2.063983488132095,Percent,5083.0,258
Arkansas,Lonoke,5.084745762711865,Percent,5085.0,268
Arkansas,Madison,3.52,Percent,5087.0,277
Arkansas,Marion,4.742268041237113,Percent,5089.0,282
Arkansas,Miller,4.190476190476191,Percent,5091.0,287
Arkansas,Mississippi,1.440922190201729,Percent,5093.0,294
Arkansas,Monroe,0.0,Percent,5095.0,300
Arkansas,Montgomery,2.2271714922048997,Percent,5097.0,304
Arkansas,Nevada,2.849002849002849,Percent,5099.0,307
Arkansas,Newton,2.1604938271604937,Percent,5101.0,311
Arkansas,Ouachita,6.593406593406594,Percent,5103.0,316
Arkansas,Perry,5.011933174224343,Percent,5105.0,318
Arkansas,Phillips,1.773049645390071,Percent,5107.0,322
Arkansas,Pike,2.8901734104046244,Percent,5109.0,327
Arkansas,Poinsett,1.2594458438287155,Percent,5111.0,333
Arkansas,Polk,2.015677491601344,Percent,5113.0,337
Arkansas,Pope,3.172978505629478,Percent,5115.0,340
Arkansas,Prairie,0.6741573033707865,Percent,5117.0,345
Arkansas,Pulaski,9.112709832134293,Percent,5119.0,350
Arkansas,Randolph,1.6491754122938531,Percent,5121.0,353
Arkansas,St. Francis,4.294478527607362,Percent,5123.0,357
Arkansas,Saline,8.808290155440414,Percent,5125.0,360
Arkansas,Scott,1.6611295681063125,Percent,5127.0,364
Arkansas,Searcy,2.871621621621622,Percent,5129.0,372
Arkansas,Sebastian,2.857142857142857,Percent,5131.0,378
Arkansas,Sevier,1.289134438305709,Percent,5133.0,390
Arkansas,Sharp,1.3888888888888888,Percent,5135.0,394
Arkansas,Stone,3.0592734225621414,Percent,5137.0,399
Arkansas,Union,6.785714285714286,Percent,5139.0,403
Arkansas,Van Buren,2.385008517887564,Percent,5141.0,407
Arkansas,Washington,5.235811350919264,Percent,5143.0,417
Arkansas,White,3.7037037037037033,Percent,5145.0,428
Arkansas,Woodruff,2.3041474654377883,Percent,5147.0,435
Arkansas,Yell,1.2594458438287155,Percent,5149.0,438
California,Alameda,9.955752212389381,Percent,6001.0,457
California,Alpine,0.0,Percent,6003.0,461
California,Amador,11.279826464208242,Percent,6005.0,472
California,Butte,10.359922178988327,Percent,6007.0,486
California,Calaveras,16.89291101055807,Percent,6009.0,489
California,Colusa,3.8363171355498724,Percent,6011.0,497
California,Contra Costa,13.621262458471762,Percent,6013.0,503
California,Del Norte,24.793388429752067,Percent,6015.0,511
California,El Dorado,22.017673048600884,Percent,6017.0,522
California,Fresno,6.739398205173323,Percent,6019.0,527
California,Glenn,6.7887109077040435,Percent,6021.0,537
California,Humboldt,21.827956989247312,Percent,6023.0,551
California,Imperial,4.98812351543943,Percent,6025.0,557
California,Inyo,18.4,Percent,6027.0,562
California,Kern,6.9143446852425186,Percent,6029.0,84
California,Kings,5.871212121212121,Percent,6031.0,94
California,Lake,15.871121718377088,Percent,6033.0,100
California,Lassen,16.964285714285715,Percent,6035.0,104
California,Los Angeles,16.228748068006183,Percent,6037.0,139
California,Madera,4.11413404114134,Percent,6039.0,153
California,Marin,20.43343653250774,Percent,6041.0,168
California,Mariposa,10.164835164835164,Percent,6043.0,178
California,Mendocino,17.950819672131146,Percent,6045.0,190
California,Merced,4.424778761061947,Percent,6047.0,204
California,Modoc,7.780320366132723,Percent,6049.0,207
California,Mono,2.7777777777777777,Percent,6051.0,214
California,Monterey,7.20949957591179,Percent,6053.0,228
California,Napa,5.756676557863502,Percent,6055.0,236
California,Nevada,25.471698113207548,Percent,6057.0,243
California,Orange,20.833333333333336,Percent,6059.0,257
California,Placer,22.5830258302583,Percent,6061.0,266
California,Plumas,17.73049645390071,Percent,6063.0,275
California,Riverside,11.461512377076975,Percent,6065.0,281
California,Sacramento,17.60355029585799,Percent,6067.0,289
