State,County,Direct farm sales per capita (% change) 2007 - 12 (PCH_PC_DIRSALES_07_12),Units,FIPS,FID
Arkansas,Ouachita,-1.9720580706586617,% change,5103.0,316
Arkansas,Perry,17.58188039758839,% change,5105.0,318
Arkansas,Phillips,182.19672198855932,% change,5107.0,322
Arkansas,Pike,nan,% change,5109.0,327
Arkansas,Poinsett,990.1272704806622,% change,5111.0,333
Arkansas,Polk,-54.89471709807376,% change,5113.0,337
Arkansas,Pope,-38.67538240022306,% change,5115.0,340
Arkansas,Prairie,-90.38147431764455,% change,5117.0,345
Arkansas,Pulaski,-44.323226662279176,% change,5119.0,350
Arkansas,Randolph,23.953790060599033,% change,5121.0,353
Arkansas,St. Francis,188.37073147417976,% change,5123.0,357
Arkansas,Saline,-10.480068005905778,% change,5125.0,360
Arkansas,Scott,25.982426767381796,% change,5127.0,364
Arkansas,Searcy,-59.81486635151111,% change,5129.0,372
Arkansas,Sebastian,-60.84142995674663,% change,5131.0,378
Arkansas,Sevier,-85.12221138164027,% change,5133.0,390
Arkansas,Sharp,-74.20188335388288,% change,5135.0,394
Arkansas,Stone,-2.9673119644557344,% change,5137.0,399
Arkansas,Union,-2.6605023922067663,% change,5139.0,403
Arkansas,Van Buren,-43.399168399168396,% change,5141.0,407
Arkansas,Washington,-26.16167305338859,% change,5143.0,417
Arkansas,White,-22.532167797954955,% change,5145.0,428
Arkansas,Woodruff,nan,% change,5147.0,435
Arkansas,Yell,-71.94541591808776,% change,5149.0,438
California,Alameda,12.371512572151241,% change,6001.0,457
California,Alpine,nan,% change,6003.0,461
California,Amador,47.88104695649374,% change,6005.0,472
California,Butte,-42.07302927344867,% change,6007.0,486
California,Calaveras,87.78633035839287,% change,6009.0,489
California,Colusa,-69.59450558963042,% change,6011.0,497
California,Contra Costa,-11.815900993971763,% change,6013.0,503
California,Del Norte,83.7367052065321,% change,6015.0,511
California,El Dorado,-30.99008912914324,% change,6017.0,522
California,Fresno,-0.6900632165941835,% change,6019.0,527
California,Glenn,-68.09518425220367,% change,6021.0,537
California,Humboldt,44.607073543401256,% change,6023.0,551
California,Imperial,-67.9404911545488,% change,6025.0,557
California,Inyo,nan,% change,6027.0,562
California,Kern,-4.205997674229164,% change,6029.0,84
California,Kings,96.44304454344008,% change,6031.0,94
California,Lake,75.06401377733616,% change,6033.0,100
California,Lassen,58.955388213163204,% change,6035.0,104
California,Los Angeles,-34.91022186713501,% change,6037.0,139
California,Madera,-28.750624229094118,% change,6039.0,153
California,Marin,6.650021770480234,% change,6041.0,168
California,Mariposa,121.30902981085003,% change,6043.0,178
California,Mendocino,28.343486152525333,% change,6045.0,190
California,Merced,-23.068747902582917,% change,6047.0,204
California,Modoc,204.1705270986568,% change,6049.0,207
California,Mono,nan,% change,6051.0,214
California,Monterey,-15.78726078629383,% change,6053.0,228
California,Napa,14.531147089544321,% change,6055.0,236
California,Nevada,132.65932310019716,% change,6057.0,243
California,Orange,-74.77923179395992,% change,6059.0,257
California,Placer,-12.769112128751603,% change,6061.0,266
California,Plumas,167.34709717479043,% change,6063.0,275
