State,County,WIC-authorized stores per 1000 pop 2011 (WICSPTH11),Units,FIPS,FID
Arkansas,Newton,0.12103606760501862,"# per 1,000 pop",5101,311
Arkansas,Ouachita,0.27198198437690735,"# per 1,000 pop",5103,316
Arkansas,Perry,0.09636696428060532,"# per 1,000 pop",5105,318
Arkansas,Phillips,0.2335684597492218,"# per 1,000 pop",5107,322
Arkansas,Pike,0.3559035360813141,"# per 1,000 pop",5109,327
Arkansas,Poinsett,0.24544896185398102,"# per 1,000 pop",5111,333
Arkansas,Polk,0.19457145035266876,"# per 1,000 pop",5113,337
Arkansas,Pope,0.1435956358909607,"# per 1,000 pop",5115,340
Arkansas,Prairie,0.46527859568595886,"# per 1,000 pop",5117,345
Arkansas,Pulaski,0.1059480831027031,"# per 1,000 pop",5119,350
Arkansas,Randolph,0.11129041016101837,"# per 1,000 pop",5121,353
Arkansas,St. Francis,0.21436993777751923,"# per 1,000 pop",5123,357
Arkansas,Saline,0.09129001945257187,"# per 1,000 pop",5125,360
Arkansas,Scott,0.1779676079750061,"# per 1,000 pop",5127,364
Arkansas,Searcy,0.2478007674217224,"# per 1,000 pop",5129,372
Arkansas,Sebastian,0.11808513104915619,"# per 1,000 pop",5131,378
Arkansas,Sevier,0.1742463856935501,"# per 1,000 pop",5133,390
Arkansas,Sharp,0.23160210251808167,"# per 1,000 pop",5135,394
Arkansas,Stone,0.24001920223236084,"# per 1,000 pop",5137,399
Arkansas,Union,0.1449345350265503,"# per 1,000 pop",5139,403
Arkansas,Van Buren,0.2327069640159607,"# per 1,000 pop",5141,407
Arkansas,Washington,0.12497716397047043,"# per 1,000 pop",5143,417
Arkansas,White,0.15371805429458618,"# per 1,000 pop",5145,428
Arkansas,Woodruff,0.41806021332740784,"# per 1,000 pop",5147,435
Arkansas,Yell,0.1365809291601181,"# per 1,000 pop",5149,438
California,Alameda,0.11626403033733368,"# per 1,000 pop",6001,457
California,Alpine,0,"# per 1,000 pop",6003,461
California,Amador,0.23975704610347748,"# per 1,000 pop",6005,472
California,Butte,0.13184694945812225,"# per 1,000 pop",6007,486
California,Calaveras,0.24357838928699493,"# per 1,000 pop",6009,489
California,Colusa,0.42200028896331787,"# per 1,000 pop",6011,497
California,Contra Costa,0.11450539529323578,"# per 1,000 pop",6013,503
California,Del Norte,0.24611489474773407,"# per 1,000 pop",6015,511
California,El Dorado,0.1050199568271637,"# per 1,000 pop",6017,522
California,Fresno,0.301230788230896,"# per 1,000 pop",6019,527
California,Glenn,0.284252405166626,"# per 1,000 pop",6021,537
California,Humboldt,0.19228635728359222,"# per 1,000 pop",6023,551
California,Imperial,0.18769943714141846,"# per 1,000 pop",6025,557
California,Inyo,0.2174740433692932,"# per 1,000 pop",6027,562
California,Kern,0.2711816430091858,"# per 1,000 pop",6029,84
California,Kings,0.16459713876247406,"# per 1,000 pop",6031,94
California,Lake,0.23347394168376923,"# per 1,000 pop",6033,100
California,Lassen,0.17524388432502747,"# per 1,000 pop",6035,104
California,Los Angeles,0.15987077355384827,"# per 1,000 pop",6037,139
California,Madera,0.22412361204624176,"# per 1,000 pop",6039,153
California,Marin,0.07831988483667374,"# per 1,000 pop",6041,168
California,Mariposa,0.11008366197347641,"# per 1,000 pop",6043,178
California,Mendocino,0.22900588810443878,"# per 1,000 pop",6045,190
California,Merced,0.2737792730331421,"# per 1,000 pop",6047,204
California,Modoc,0.42052143812179565,"# per 1,000 pop",6049,207
California,Mono,0.13866740465164185,"# per 1,000 pop",6051,214
California,Monterey,0.19736436009407043,"# per 1,000 pop",6053,228
California,Napa,0.1669691503047943,"# per 1,000 pop",6055,236
California,Nevada,0.10132019966840744,"# per 1,000 pop",6057,243
California,Orange,0.14094354212284088,"# per 1,000 pop",6059,257
California,Placer,0.10384158045053482,"# per 1,000 pop",6061,266
California,Plumas,0.3043367862701416,"# per 1,000 pop",6063,275
California,Riverside,0.12352856993675232,"# per 1,000 pop",6065,281
California,Sacramento,0.1199660450220108,"# per 1,000 pop",6067,289
California,San Benito,0.16076596081256866,"# per 1,000 pop",6069,295
California,San Bernardino,0.1305166333913803,"# per 1,000 pop",6071,302
California,San Diego,0.16000652313232422,"# per 1,000 pop",6073,315
California,San Francisco,0.07723645865917206,"# per 1,000 pop",6075,331
California,San Joaquin,0.15553264319896698,"# per 1,000 pop",6077,339
California,San Luis Obispo,0.12174875289201736,"# per 1,000 pop",6079,351
California,San Mateo,0.10159197449684143,"# per 1,000 pop",6081,368
California,Santa Barbara,0.12926547229290009,"# per 1,000 pop",6083,391
California,Santa Clara,0.08939578384160995,"# per 1,000 pop",6085,406
California,Santa Cruz,0.10193218290805817,"# per 1,000 pop",6087,415
California,Shasta,0.13515643775463104,"# per 1,000 pop",6089,431
California,Sierra,0.32268473505973816,"# per 1,000 pop",6091,439
California,Siskiyou,0.3138309717178345,"# per 1,000 pop",6093,446
California,Solano,0.1104959100484848,"# per 1,000 pop",6095,453
California,Sonoma,0.13950921595096588,"# per 1,000 pop",6097,463
California,Stanislaus,0.22024133801460266,"# per 1,000 pop",6099,473
California,Sutter,0.11642059683799744,"# per 1,000 pop",6101,483
California,Tehama,0.12631046772003174,"# per 1,000 pop",6103,492
California,Trinity,0.21928220987319946,"# per 1,000 pop",6105,500
California,Tulare,0.22154390811920166,"# per 1,000 pop",6107,501
California,Tuolumne,0.1459188312292099,"# per 1,000 pop",6109,513
California,Ventura,0.1421351134777069,"# per 1,000 pop",6111,521
California,Yolo,0.1584479957818985,"# per 1,000 pop",6113,525
California,Yuba,0.26209789514541626,"# per 1,000 pop",6115,541
Colorado,Adams,0.07961026579141617,"# per 1,000 pop",8001,545
Colorado,Alamosa,0.2481081783771515,"# per 1,000 pop",8003,549
Colorado,Arapahoe,0.06827756017446518,"# per 1,000 pop",8005,558
Colorado,Archuleta,0.16636167466640472,"# per 1,000 pop",8007,560
Colorado,Baca,0.5295208096504211,"# per 1,000 pop",8009,563
Colorado,Bent,0.157753586769104,"# per 1,000 pop",8011,564
Colorado,Boulder,0.06314453482627869,"# per 1,000 pop",8013,570
Colorado,Broomfield,0.1217772513628006,"# per 1,000 pop",8014,577
Colorado,Chaffee,0.1663893461227417,"# per 1,000 pop",8015,582
Colorado,Cheyenne,1.0741138458251953,"# per 1,000 pop",8017,587
Colorado,Clear Creek,0.1110987663269043,"# per 1,000 pop",8019,591
Colorado,Conejos,0.2412836253643036,"# per 1,000 pop",8021,596
Colorado,Costilla,0.2745743989944458,"# per 1,000 pop",8023,599
Colorado,Crowley,0.17001019418239594,"# per 1,000 pop",8025,605
Colorado,Custer,0.23651844263076782,"# per 1,000 pop",8027,610
Colorado,Delta,0.1645278036594391,"# per 1,000 pop",8029,617
Colorado,Denver,0.05318180099129677,"# per 1,000 pop",8031,628
Colorado,Dolores,0.4892368018627167,"# per 1,000 pop",8033,636
Colorado,Douglas,0.04786112159490585,"# per 1,000 pop",8035,644
Colorado,Eagle,0.15363343060016632,"# per 1,000 pop",8037,648
Colorado,Elbert,0.08629617094993591,"# per 1,000 pop",8039,655
Colorado,El Paso,0.06278251856565475,"# per 1,000 pop",8041,661
Colorado,Fremont,0.10553198307752609,"# per 1,000 pop",8043,664
Colorado,Garfield,0.12485507875680923,"# per 1,000 pop",8045,667
Colorado,Gilpin,0,"# per 1,000 pop",8047,672
Colorado,Grand,0.2060156613588333,"# per 1,000 pop",8049,677
Colorado,Gunnison,0.13053126633167267,"# per 1,000 pop",8051,682
Colorado,Hinsdale,0,"# per 1,000 pop",8053,688
