State,County,National School Lunch Program participants (% children) 2012 (PCT_NSLP12),Units,FIPS,FID
Colorado,Clear Creek,44.34082798339872,Percent,8019,591
Colorado,Conejos,44.34082798339872,Percent,8021,596
Colorado,Costilla,44.34082798339872,Percent,8023,599
Colorado,Crowley,44.34082798339872,Percent,8025,605
Colorado,Custer,44.34082798339872,Percent,8027,610
Colorado,Delta,44.34082798339872,Percent,8029,617
Colorado,Denver,44.34082798339872,Percent,8031,628
Colorado,Dolores,44.34082798339872,Percent,8033,636
Colorado,Douglas,44.34082798339872,Percent,8035,644
Colorado,Eagle,44.34082798339872,Percent,8037,648
Colorado,Elbert,44.34082798339872,Percent,8039,655
Colorado,El Paso,44.34082798339872,Percent,8041,661
Colorado,Fremont,44.34082798339872,Percent,8043,664
Colorado,Garfield,44.34082798339872,Percent,8045,667
Colorado,Gilpin,44.34082798339872,Percent,8047,672
Colorado,Grand,44.34082798339872,Percent,8049,677
Colorado,Gunnison,44.34082798339872,Percent,8051,682
Colorado,Hinsdale,44.34082798339872,Percent,8053,688
Colorado,Huerfano,44.34082798339872,Percent,8055,693
Colorado,Jackson,44.34082798339872,Percent,8057,701
Colorado,Jefferson,44.34082798339872,Percent,8059,706
Colorado,Kiowa,44.34082798339872,Percent,8061,711
Colorado,Kit Carson,44.34082798339872,Percent,8063,716
Colorado,Lake,44.34082798339872,Percent,8065,721
Colorado,La Plata,44.34082798339872,Percent,8067,727
Colorado,Larimer,44.34082798339872,Percent,8069,734
Colorado,Las Animas,44.34082798339872,Percent,8071,741
Colorado,Lincoln,44.34082798339872,Percent,8073,747
Colorado,Logan,44.34082798339872,Percent,8075,749
Colorado,Mesa,44.34082798339872,Percent,8077,751
Colorado,Mineral,44.34082798339872,Percent,8079,757
Colorado,Moffat,44.34082798339872,Percent,8081,758
Colorado,Montezuma,44.34082798339872,Percent,8083,766
Colorado,Montrose,44.34082798339872,Percent,8085,769
Colorado,Morgan,44.34082798339872,Percent,8087,775
Colorado,Otero,44.34082798339872,Percent,8089,777
Colorado,Ouray,44.34082798339872,Percent,8091,780
Colorado,Park,44.34082798339872,Percent,8093,782
Colorado,Phillips,44.34082798339872,Percent,8095,785
Colorado,Pitkin,44.34082798339872,Percent,8097,789
Colorado,Prowers,44.34082798339872,Percent,8099,792
Colorado,Pueblo,44.34082798339872,Percent,8101,795
Colorado,Rio Blanco,44.34082798339872,Percent,8103,799
Colorado,Rio Grande,44.34082798339872,Percent,8105,802
Colorado,Routt,44.34082798339872,Percent,8107,809
Colorado,Saguache,44.34082798339872,Percent,8109,811
Colorado,San Juan,44.34082798339872,Percent,8111,347
