State,County,Low income & low access to store (%) 2010 (PCT_LACCESS_LOWI10),Units,FIPS,FID
Colorado,Las Animas,14.948767181548591,Percent,8071,741
Colorado,Lincoln,6.761744394746351,Percent,8073,747
Colorado,Logan,6.145170173311594,Percent,8075,749
Colorado,Mesa,8.802937269540632,Percent,8077,751
Colorado,Mineral,22.52921567928076,Percent,8079,757
Colorado,Moffat,6.559300416485227,Percent,8081,758
Colorado,Montezuma,7.7187066992649305,Percent,8083,766
Colorado,Montrose,8.326390710800876,Percent,8085,769
Colorado,Morgan,5.3296638231793025,Percent,8087,775
Colorado,Otero,16.344030921091658,Percent,8089,777
Colorado,Ouray,1.619330454741693,Percent,8091,780
Colorado,Park,11.702824893881525,Percent,8093,782
Colorado,Phillips,9.187706721878929,Percent,8095,785
Colorado,Pitkin,1.5717911592139082,Percent,8097,789
Colorado,Prowers,15.006216342254719,Percent,8099,792
Colorado,Pueblo,16.00125685690406,Percent,8101,795
Colorado,Rio Blanco,2.3286922799130365,Percent,8103,799
Colorado,Rio Grande,2.3242949044850025,Percent,8105,802
Colorado,Routt,5.058760663079289,Percent,8107,809
Colorado,Saguache,51.45547256040635,Percent,8109,811
Colorado,San Juan,19.399857703405722,Percent,8111,347
Colorado,San Miguel,1.33770173618794,Percent,8113,359
Colorado,Sedgwick,4.538972899709457,Percent,8115,366
Colorado,Summit,6.1282219948495396,Percent,8117,373
Colorado,Teller,4.651684854744497,Percent,8119,375
Colorado,Washington,19.10014696219188,Percent,8121,377
Colorado,Weld,4.779470203912746,Percent,8123,382
Colorado,Yuma,6.817474355903405,Percent,8125,385
Connecticut,Fairfield,2.563960775373161,Percent,9001,410
Connecticut,Hartford,4.221226142786018,Percent,9003,432
Connecticut,Litchfield,1.7077812825690815,Percent,9005,443
Connecticut,Middlesex,4.657368589456433,Percent,9007,450
Connecticut,New Haven,4.01070622579445,Percent,9009,466
Connecticut,New London,4.399497356099031,Percent,9011,517
Connecticut,Tolland,8.511295769699064,Percent,9013,524
Connecticut,Windham,6.169939182486802,Percent,9015,529
Delaware,Kent,4.833615551018372,Percent,10001,532
Delaware,New Castle,6.496616595223305,Percent,10003,536
Delaware,Sussex,4.910970054442152,Percent,10005,609
District of Columbia,District of Columbia,0.9580129569347541,Percent,11001,630
Florida,Alachua,7.18342090834456,Percent,12001,639
Florida,Baker,12.81650800078953,Percent,12003,641
Florida,Bay,9.63567512591826,Percent,12005,658
Florida,Bradford,2.2922946465775142,Percent,12007,665
