State,County,WIC redemptions per WIC-authorized stores 2011 (REDEMP_WICS11),Units,FIPS,FID
Colorado,Boulder,115543.8359375,Dollars/store,8013,570
Colorado,Broomfield,52256.24609375,Dollars/store,8014,577
Colorado,Chaffee,52979.20703125,Dollars/store,8015,582
Colorado,Cheyenne,8390.4501953125,Dollars/store,8017,587
Colorado,Clear Creek,33405.421875,Dollars/store,8019,591
Colorado,Conejos,53416.42578125,Dollars/store,8021,596
Colorado,Costilla,12424.9501953125,Dollars/store,8023,599
Colorado,Crowley,54822.94921875,Dollars/store,8025,605
Colorado,Custer,28999.310546875,Dollars/store,8027,610
Colorado,Delta,68864.125,Dollars/store,8029,617
Colorado,Denver,237338.109375,Dollars/store,8031,628
Colorado,Dolores,9985.6298828125,Dollars/store,8033,636
Colorado,Douglas,59434.46484375,Dollars/store,8035,644
Colorado,Eagle,72745.5546875,Dollars/store,8037,648
Colorado,Elbert,30569.66015625,Dollars/store,8039,655
Colorado,El Paso,255871.515625,Dollars/store,8041,661
Colorado,Fremont,116191.78125,Dollars/store,8043,664
Colorado,Garfield,125178.4296875,Dollars/store,8045,667
Colorado,Gilpin,0,Dollars/store,8047,672
Colorado,Grand,37101.296875,Dollars/store,8049,677
Colorado,Gunnison,63600.96875,Dollars/store,8051,682
Colorado,Hinsdale,0,Dollars/store,8053,688
Colorado,Huerfano,40358.53125,Dollars/store,8055,693
Colorado,Jackson,15064.0498046875,Dollars/store,8057,701
Colorado,Jefferson,137765.484375,Dollars/store,8059,706
Colorado,Kiowa,6243.509765625,Dollars/store,8061,711
Colorado,Kit Carson,47603.89453125,Dollars/store,8063,716
Colorado,Lake,120288.2578125,Dollars/store,8065,721
Colorado,La Plata,94061.421875,Dollars/store,8067,727
Colorado,Larimer,121846.609375,Dollars/store,8069,734
Colorado,Las Animas,77303.9375,Dollars/store,8071,741
Colorado,Lincoln,41462.62890625,Dollars/store,8073,747
Colorado,Logan,118521.8828125,Dollars/store,8075,749
Colorado,Mesa,132712.453125,Dollars/store,8077,751
Colorado,Mineral,0,Dollars/store,8079,757
Colorado,Moffat,74122.6484375,Dollars/store,8081,758
Colorado,Montezuma,23167.5703125,Dollars/store,8083,766
Colorado,Montrose,111839.90625,Dollars/store,8085,769
