State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
Arkansas,Grant,nan,"Acres/1,000 pop",5053.0,155
Arkansas,Greene,0.0694959229058562,"Acres/1,000 pop",5055.0,162
Arkansas,Hempstead,2.459859564381233,"Acres/1,000 pop",5057.0,172
Arkansas,Hot Spring,0.839001588110149,"Acres/1,000 pop",5059.0,184
Arkansas,Howard,0.2922481186527362,"Acres/1,000 pop",5061.0,191
Arkansas,Independence,0.9204862333161871,"Acres/1,000 pop",5063.0,200
Arkansas,Izard,2.14560520864161,"Acres/1,000 pop",5065.0,203
Arkansas,Jackson,nan,"Acres/1,000 pop",5067.0,209
Arkansas,Jefferson,0.5092673251403835,"Acres/1,000 pop",5069.0,213
Arkansas,Johnson,1.042430794177831,"Acres/1,000 pop",5071.0,218
Arkansas,Lafayette,nan,"Acres/1,000 pop",5073.0,222
Arkansas,Lawrence,nan,"Acres/1,000 pop",5075.0,230
Arkansas,Lee,nan,"Acres/1,000 pop",5077.0,237
Arkansas,Lincoln,nan,"Acres/1,000 pop",5079.0,244
Arkansas,Little River,nan,"Acres/1,000 pop",5081.0,251
Arkansas,Logan,0.5452810469396101,"Acres/1,000 pop",5083.0,258
Arkansas,Lonoke,nan,"Acres/1,000 pop",5085.0,268
Arkansas,Madison,1.7913121361397224,"Acres/1,000 pop",5087.0,277
Arkansas,Marion,0.24077529645458376,"Acres/1,000 pop",5089.0,282
Arkansas,Miller,nan,"Acres/1,000 pop",5091.0,287
Arkansas,Mississippi,6.278814489571899,"Acres/1,000 pop",5093.0,294
Arkansas,Monroe,0.0,"Acres/1,000 pop",5095.0,300
Arkansas,Montgomery,nan,"Acres/1,000 pop",5097.0,304
Arkansas,Nevada,11.338123035473732,"Acres/1,000 pop",5099.0,307
Arkansas,Newton,0.7420232500618352,"Acres/1,000 pop",5101.0,311
Arkansas,Ouachita,nan,"Acres/1,000 pop",5103.0,316
Arkansas,Perry,nan,"Acres/1,000 pop",5105.0,318
Arkansas,Phillips,1.349202524936154,"Acres/1,000 pop",5107.0,322
Arkansas,Pike,nan,"Acres/1,000 pop",5109.0,327
Arkansas,Poinsett,0.12356357345854442,"Acres/1,000 pop",5111.0,333
Arkansas,Polk,1.1743406566521504,"Acres/1,000 pop",5113.0,337
Arkansas,Pope,nan,"Acres/1,000 pop",5115.0,340
Arkansas,Prairie,nan,"Acres/1,000 pop",5117.0,345
Arkansas,Pulaski,0.5270139645846617,"Acres/1,000 pop",5119.0,350
Arkansas,Randolph,0.44807886187969087,"Acres/1,000 pop",5121.0,353
Arkansas,St. Francis,8.208473725715105,"Acres/1,000 pop",5123.0,357
Arkansas,Saline,0.3042369468927565,"Acres/1,000 pop",5125.0,360
Arkansas,Scott,0.0,"Acres/1,000 pop",5127.0,364
Arkansas,Searcy,nan,"Acres/1,000 pop",5129.0,372
Arkansas,Sebastian,nan,"Acres/1,000 pop",5131.0,378
Arkansas,Sevier,0.0,"Acres/1,000 pop",5133.0,390
Arkansas,Sharp,2.8712059064807223,"Acres/1,000 pop",5135.0,394
Arkansas,Stone,nan,"Acres/1,000 pop",5137.0,399
Arkansas,Union,1.1989820886757365,"Acres/1,000 pop",5139.0,403
Arkansas,Van Buren,0.81547064305685,"Acres/1,000 pop",5141.0,407
Arkansas,Washington,nan,"Acres/1,000 pop",5143.0,417
Arkansas,White,nan,"Acres/1,000 pop",5145.0,428
Arkansas,Woodruff,nan,"Acres/1,000 pop",5147.0,435
Arkansas,Yell,nan,"Acres/1,000 pop",5149.0,438
California,Alameda,nan,"Acres/1,000 pop",6001.0,457
California,Alpine,0.0,"Acres/1,000 pop",6003.0,461
California,Amador,0.8895118466805036,"Acres/1,000 pop",6005.0,472
