State,County,Direct farm sales per capita 2007 (PC_DIRSALES07),Units,FIPS,FID
California,Tulare,27.661439332922725,Dollars,6107.0,501
California,Tuolumne,3.3901915191962937,Dollars,6109.0,513
California,Ventura,5.626060120470934,Dollars,6111.0,521
California,Yolo,32.54107513159994,Dollars,6113.0,525
California,Yuba,9.185850963101144,Dollars,6115.0,541
Colorado,Adams,5.436011410813333,Dollars,8001.0,545
Colorado,Alamosa,7.312252964426878,Dollars,8003.0,549
Colorado,Arapahoe,0.32654476891884165,Dollars,8005.0,558
Colorado,Archuleta,16.14744739846681,Dollars,8007.0,560
Colorado,Baca,5.949301603724781,Dollars,8009.0,563
Colorado,Bent,11.548556430446194,Dollars,8011.0,564
Colorado,Boulder,2.4875794981699766,Dollars,8013.0,570
Colorado,Broomfield,0.0,Dollars,8014.0,577
Colorado,Chaffee,1.1509466536226045,Dollars,8015.0,582
Colorado,Cheyenne,17.713365539452496,Dollars,8017.0,587
Colorado,Clear Creek,nan,Dollars,8019.0,591
Colorado,Conejos,4.259462090787392,Dollars,8021.0,596
Colorado,Costilla,0.5606952621250351,Dollars,8023.0,599
Colorado,Crowley,10.640066500415628,Dollars,8025.0,605
Colorado,Custer,5.836575875486381,Dollars,8027.0,610
Colorado,Delta,50.76192689485741,Dollars,8029.0,617
Colorado,Denver,nan,Dollars,8031.0,628
Colorado,Dolores,9.090909090909092,Dollars,8033.0,636
Colorado,Douglas,1.2725646294404085,Dollars,8035.0,644
Colorado,Eagle,1.0039555850049193,Dollars,8037.0,648
Colorado,Elbert,36.425319167931434,Dollars,8039.0,655
Colorado,El Paso,1.182720017451085,Dollars,8041.0,661
Colorado,Fremont,4.3442151664217725,Dollars,8043.0,664
Colorado,Garfield,5.454477528299772,Dollars,8045.0,667
Colorado,Gilpin,0.6131207847946045,Dollars,8047.0,672
Colorado,Grand,2.2368237103313295,Dollars,8049.0,677
Colorado,Gunnison,4.852755434421326,Dollars,8051.0,682
Colorado,Hinsdale,nan,Dollars,8053.0,688
Colorado,Huerfano,nan,Dollars,8055.0,693
Colorado,Jackson,8.528784648187633,Dollars,8057.0,701
Colorado,Jefferson,0.21908475913059547,Dollars,8059.0,706
Colorado,Kiowa,23.404255319148938,Dollars,8061.0,711
Colorado,Kit Carson,6.286145335680161,Dollars,8063.0,716
Colorado,Lake,1.0822510822510822,Dollars,8065.0,721
Colorado,La Plata,6.627079828952435,Dollars,8067.0,727
Colorado,Larimer,2.928922939268538,Dollars,8069.0,734
Colorado,Las Animas,2.6693784161688066,Dollars,8071.0,741
Colorado,Lincoln,7.4762946754194015,Dollars,8073.0,747
Colorado,Logan,11.91174479989171,Dollars,8075.0,749
Colorado,Mesa,33.915687708880185,Dollars,8077.0,751
Colorado,Mineral,0.0,Dollars,8079.0,757
Colorado,Moffat,31.315552891819,Dollars,8081.0,758
Colorado,Montezuma,12.362364351870255,Dollars,8083.0,766
Colorado,Montrose,15.249666019711139,Dollars,8085.0,769
Colorado,Morgan,54.388178050099114,Dollars,8087.0,775
Colorado,Otero,2.3957834211787254,Dollars,8089.0,777
Colorado,Ouray,14.117647058823529,Dollars,8091.0,780
Colorado,Park,3.3444816053511706,Dollars,8093.0,782
Colorado,Phillips,12.791228871630882,Dollars,8095.0,785
Colorado,Pitkin,1.0749968382445934,Dollars,8097.0,789
Colorado,Prowers,0.3925879396984925,Dollars,8099.0,792
Colorado,Pueblo,3.2361833665332225,Dollars,8101.0,795
Colorado,Rio Blanco,2.6675035305193786,Dollars,8103.0,799
Colorado,Rio Grande,60.49611879851502,Dollars,8105.0,802
Colorado,Routt,3.0234315948601664,Dollars,8107.0,809
Colorado,Saguache,nan,Dollars,8109.0,811
Colorado,San Juan,0.0,Dollars,8111.0,347
Colorado,San Miguel,10.652827096421742,Dollars,8113.0,359
Colorado,Sedgwick,2.5,Dollars,8115.0,366
Colorado,Summit,0.9021538924181484,Dollars,8117.0,373
Colorado,Teller,1.5854141894569957,Dollars,8119.0,375
Colorado,Washington,18.840876510342003,Dollars,8121.0,377
Colorado,Weld,9.268296787439207,Dollars,8123.0,382
Colorado,Yuma,16.44871270944013,Dollars,8125.0,385
Connecticut,Fairfield,3.9743821156147425,Dollars,9001.0,410
Connecticut,Hartford,10.551151548587526,Dollars,9003.0,432
Connecticut,Litchfield,11.487048760704917,Dollars,9005.0,443
Connecticut,Middlesex,29.056412943477387,Dollars,9007.0,450
Connecticut,New Haven,4.060459373147547,Dollars,9009.0,466
Connecticut,New London,11.504826928831895,Dollars,9011.0,517
Connecticut,Tolland,8.182048918633699,Dollars,9013.0,524
Connecticut,Windham,17.894305891985944,Dollars,9015.0,529
Delaware,Kent,9.00181205307562,Dollars,10001.0,532
Delaware,New Castle,0.6351839111873415,Dollars,10003.0,536
Delaware,Sussex,9.51795967418881,Dollars,10005.0,609
District of Columbia,District of Columbia,nan,Dollars,11001.0,630
Florida,Alachua,2.797865545872221,Dollars,12001.0,639
Florida,Baker,1.449717686555776,Dollars,12003.0,641
Florida,Bay,0.2116786113883093,Dollars,12005.0,658
Florida,Bradford,4.9262792714657415,Dollars,12007.0,665
Florida,Brevard,0.5095244006603437,Dollars,12009.0,686
Florida,Broward,0.04474597939941598,Dollars,12011.0,695
Florida,Calhoun,3.515679932498945,Dollars,12013.0,699
Florida,Charlotte,0.32552490891562647,Dollars,12015.0,743
Florida,Citrus,0.5745740349284265,Dollars,12017.0,843
Florida,Clay,0.23337096213963182,Dollars,12019.0,852
Florida,Collier,5.676812843272261,Dollars,12021.0,894
Florida,Columbia,1.336256080715873,Dollars,12023.0,903
Florida,DeSoto,8.309928482497032,Dollars,12027.0,906
Florida,Dixie,1.1813716346452776,Dollars,12029.0,918
Florida,Duval,0.07167759652093397,Dollars,12031.0,924
Florida,Escambia,1.3618343404182345,Dollars,12033.0,931
Florida,Flagler,0.08838216447920809,Dollars,12035.0,935
Florida,Franklin,nan,Dollars,12037.0,937
