State,County,Direct farm sales (%) 2007 (PCT_LOCLSALE07),Units,FIPS,FID
Colorado,Rio Grande,0.8399718837863168,Percent,8105.0,802
Colorado,Routt,0.19932580976110217,Percent,8107.0,809
Colorado,Saguache,nan,Percent,8109.0,811
Colorado,San Juan,nan,Percent,8111.0,347
Colorado,San Miguel,2.328358208955224,Percent,8113.0,359
Colorado,Sedgwick,0.008537643894873145,Percent,8115.0,366
Colorado,Summit,2.187784867821331,Percent,8117.0,373
Colorado,Teller,3.367633302151544,Percent,8119.0,375
Colorado,Washington,0.07067517841641507,Percent,8121.0,377
Colorado,Weld,0.1431382027611444,Percent,8123.0,382
Colorado,Yuma,0.022631717297519928,Percent,8125.0,385
Connecticut,Fairfield,9.566849939654016,Percent,9001.0,410
Connecticut,Hartford,6.986719767633363,Percent,9003.0,432
Connecticut,Litchfield,4.599519169935467,Percent,9005.0,443
Connecticut,Middlesex,8.553799795526698,Percent,9007.0,450
Connecticut,New Haven,3.843722622070908,Percent,9009.0,466
Connecticut,New London,2.8291601555402117,Percent,9011.0,517
Connecticut,Tolland,3.2603199105740823,Percent,9013.0,524
Connecticut,Windham,5.284501649832498,Percent,9015.0,529
Delaware,Kent,0.7357078401189022,Percent,10001.0,532
Delaware,New Castle,0.7373695381047196,Percent,10003.0,536
Delaware,Sussex,0.20990833296032,Percent,10005.0,609
District of Columbia,District of Columbia,nan,Percent,11001.0,630
Florida,Alachua,0.7374262845227364,Percent,12001.0,639
Florida,Baker,nan,Percent,12003.0,641
Florida,Bay,0.6959634122091867,Percent,12005.0,658
Florida,Bradford,1.0203348422792269,Percent,12007.0,665
Florida,Brevard,0.5890921554346429,Percent,12009.0,686
Florida,Broward,0.1530997733328031,Percent,12011.0,695
Florida,Calhoun,0.30814741772463944,Percent,12013.0,699
Florida,Charlotte,0.07931302716471181,Percent,12015.0,743
Florida,Citrus,0.5629691409507923,Percent,12017.0,843
Florida,Clay,nan,Percent,12019.0,852
Florida,Collier,0.6401933850270065,Percent,12021.0,894
Florida,Columbia,nan,Percent,12023.0,903
Florida,DeSoto,0.130497253646648,Percent,12027.0,906
Florida,Dixie,0.22735431374895296,Percent,12029.0,918
