State,County,Greenhouse veg and fresh herb sq feet 2007 (GHVEG_SQFT07),Units,FIPS,FID
California,Riverside,nan,Sq ft,6065.0,281
California,Sacramento,8000.0,Sq ft,6067.0,289
California,San Benito,nan,Sq ft,6069.0,295
California,San Bernardino,80028.0,Sq ft,6071.0,302
California,San Diego,541749.0,Sq ft,6073.0,315
California,San Francisco,0.0,Sq ft,6075.0,331
California,San Joaquin,nan,Sq ft,6077.0,339
California,San Luis Obispo,69805.0,Sq ft,6079.0,351
California,San Mateo,nan,Sq ft,6081.0,368
California,Santa Barbara,nan,Sq ft,6083.0,391
California,Santa Clara,124000.0,Sq ft,6085.0,406
California,Santa Cruz,785600.0,Sq ft,6087.0,415
California,Shasta,nan,Sq ft,6089.0,431
California,Sierra,0.0,Sq ft,6091.0,439
California,Siskiyou,nan,Sq ft,6093.0,446
California,Solano,nan,Sq ft,6095.0,453
California,Sonoma,26900.0,Sq ft,6097.0,463
California,Stanislaus,nan,Sq ft,6099.0,473
California,Sutter,nan,Sq ft,6101.0,483
California,Tehama,nan,Sq ft,6103.0,492
California,Trinity,0.0,Sq ft,6105.0,500
California,Tulare,nan,Sq ft,6107.0,501
California,Tuolumne,nan,Sq ft,6109.0,513
California,Ventura,nan,Sq ft,6111.0,521
California,Yolo,nan,Sq ft,6113.0,525
California,Yuba,0.0,Sq ft,6115.0,541
Colorado,Adams,nan,Sq ft,8001.0,545
Colorado,Alamosa,0.0,Sq ft,8003.0,549
Colorado,Arapahoe,nan,Sq ft,8005.0,558
Colorado,Archuleta,0.0,Sq ft,8007.0,560
Colorado,Baca,0.0,Sq ft,8009.0,563
Colorado,Bent,0.0,Sq ft,8011.0,564
Colorado,Boulder,28800.0,Sq ft,8013.0,570
Colorado,Broomfield,0.0,Sq ft,8014.0,577
Colorado,Chaffee,0.0,Sq ft,8015.0,582
Colorado,Cheyenne,0.0,Sq ft,8017.0,587
Colorado,Clear Creek,0.0,Sq ft,8019.0,591
Colorado,Conejos,0.0,Sq ft,8021.0,596
Colorado,Costilla,0.0,Sq ft,8023.0,599
Colorado,Crowley,0.0,Sq ft,8025.0,605
Colorado,Custer,nan,Sq ft,8027.0,610
Colorado,Delta,22030.0,Sq ft,8029.0,617
Colorado,Denver,0.0,Sq ft,8031.0,628
Colorado,Dolores,0.0,Sq ft,8033.0,636
Colorado,Douglas,0.0,Sq ft,8035.0,644
Colorado,Eagle,nan,Sq ft,8037.0,648
Colorado,Elbert,0.0,Sq ft,8039.0,655
Colorado,El Paso,0.0,Sq ft,8041.0,661
Colorado,Fremont,nan,Sq ft,8043.0,664
Colorado,Garfield,nan,Sq ft,8045.0,667
Colorado,Gilpin,0.0,Sq ft,8047.0,672
Colorado,Grand,nan,Sq ft,8049.0,677
Colorado,Gunnison,980.0,Sq ft,8051.0,682
Colorado,Hinsdale,0.0,Sq ft,8053.0,688
Colorado,Huerfano,0.0,Sq ft,8055.0,693
Colorado,Jackson,0.0,Sq ft,8057.0,701
Colorado,Jefferson,nan,Sq ft,8059.0,706
Colorado,Kiowa,0.0,Sq ft,8061.0,711
Colorado,Kit Carson,0.0,Sq ft,8063.0,716
Colorado,Lake,0.0,Sq ft,8065.0,721
Colorado,La Plata,nan,Sq ft,8067.0,727
Colorado,Larimer,nan,Sq ft,8069.0,734
Colorado,Las Animas,0.0,Sq ft,8071.0,741
Colorado,Lincoln,0.0,Sq ft,8073.0,747
Colorado,Logan,0.0,Sq ft,8075.0,749
Colorado,Mesa,20400.0,Sq ft,8077.0,751
Colorado,Mineral,0.0,Sq ft,8079.0,757
Colorado,Moffat,0.0,Sq ft,8081.0,758
Colorado,Montezuma,7520.0,Sq ft,8083.0,766
Colorado,Montrose,nan,Sq ft,8085.0,769
Colorado,Morgan,48900.0,Sq ft,8087.0,775
Colorado,Otero,nan,Sq ft,8089.0,777
Colorado,Ouray,0.0,Sq ft,8091.0,780
Colorado,Park,0.0,Sq ft,8093.0,782
Colorado,Phillips,0.0,Sq ft,8095.0,785
Colorado,Pitkin,0.0,Sq ft,8097.0,789
Colorado,Prowers,0.0,Sq ft,8099.0,792
Colorado,Pueblo,nan,Sq ft,8101.0,795
Colorado,Rio Blanco,0.0,Sq ft,8103.0,799
Colorado,Rio Grande,0.0,Sq ft,8105.0,802
Colorado,Routt,nan,Sq ft,8107.0,809
Colorado,Saguache,0.0,Sq ft,8109.0,811
Colorado,San Juan,0.0,Sq ft,8111.0,347
Colorado,San Miguel,nan,Sq ft,8113.0,359
Colorado,Sedgwick,0.0,Sq ft,8115.0,366
Colorado,Summit,0.0,Sq ft,8117.0,373
Colorado,Teller,nan,Sq ft,8119.0,375
Colorado,Washington,0.0,Sq ft,8121.0,377
Colorado,Weld,nan,Sq ft,8123.0,382
Colorado,Yuma,0.0,Sq ft,8125.0,385
Connecticut,Fairfield,164920.0,Sq ft,9001.0,410
Connecticut,Hartford,44218.0,Sq ft,9003.0,432
Connecticut,Litchfield,62028.0,Sq ft,9005.0,443
Connecticut,Middlesex,nan,Sq ft,9007.0,450
Connecticut,New Haven,53560.0,Sq ft,9009.0,466
Connecticut,New London,29804.0,Sq ft,9011.0,517
Connecticut,Tolland,10360.0,Sq ft,9013.0,524
Connecticut,Windham,nan,Sq ft,9015.0,529
Delaware,Kent,nan,Sq ft,10001.0,532
Delaware,New Castle,nan,Sq ft,10003.0,536
Delaware,Sussex,67429.0,Sq ft,10005.0,609
District of Columbia,District of Columbia,nan,Sq ft,11001.0,630
Florida,Alachua,4432.0,Sq ft,12001.0,639
Florida,Baker,0.0,Sq ft,12003.0,641
Florida,Bay,0.0,Sq ft,12005.0,658
Florida,Bradford,600.0,Sq ft,12007.0,665
Florida,Brevard,0.0,Sq ft,12009.0,686
Florida,Broward,nan,Sq ft,12011.0,695
Florida,Calhoun,nan,Sq ft,12013.0,699
Florida,Charlotte,0.0,Sq ft,12015.0,743
Florida,Citrus,0.0,Sq ft,12017.0,843
Florida,Clay,0.0,Sq ft,12019.0,852
Florida,Collier,0.0,Sq ft,12021.0,894
Florida,Columbia,0.0,Sq ft,12023.0,903
Florida,DeSoto,0.0,Sq ft,12027.0,906
Florida,Dixie,0.0,Sq ft,12029.0,918
Florida,Duval,nan,Sq ft,12031.0,924
Florida,Escambia,0.0,Sq ft,12033.0,931
Florida,Flagler,0.0,Sq ft,12035.0,935
Florida,Franklin,0.0,Sq ft,12037.0,937
Florida,Gadsden,nan,Sq ft,12039.0,938
Florida,Gilchrist,0.0,Sq ft,12041.0,939
Florida,Glades,nan,Sq ft,12043.0,940
Florida,Gulf,0.0,Sq ft,12045.0,941
Florida,Hamilton,0.0,Sq ft,12047.0,942
Florida,Hardee,0.0,Sq ft,12049.0,943
Florida,Hendry,nan,Sq ft,12051.0,944
Florida,Hernando,0.0,Sq ft,12053.0,945
Florida,Highlands,nan,Sq ft,12055.0,946
Florida,Hillsborough,338280.0,Sq ft,12057.0,947
Florida,Holmes,0.0,Sq ft,12059.0,948
Florida,Indian River,nan,Sq ft,12061.0,949
Florida,Jackson,nan,Sq ft,12063.0,950
Florida,Jefferson,0.0,Sq ft,12065.0,951
Florida,Lafayette,0.0,Sq ft,12067.0,952
Florida,Lake,0.0,Sq ft,12069.0,953
Florida,Lee,nan,Sq ft,12071.0,954
Florida,Leon,0.0,Sq ft,12073.0,955
Florida,Levy,0.0,Sq ft,12075.0,956
Florida,Liberty,0.0,Sq ft,12077.0,957
Florida,Madison,0.0,Sq ft,12079.0,958
Florida,Manatee,nan,Sq ft,12081.0,959
Florida,Marion,3100.0,Sq ft,12083.0,960
Florida,Martin,613540.0,Sq ft,12085.0,961
Florida,Miami-Dade,41200.0,Sq ft,12086.0,962
Florida,Monroe,0.0,Sq ft,12087.0,963
Florida,Nassau,0.0,Sq ft,12089.0,964
Florida,Okaloosa,nan,Sq ft,12091.0,965
Florida,Okeechobee,nan,Sq ft,12093.0,966
Florida,Orange,6120.0,Sq ft,12095.0,967
Florida,Osceola,0.0,Sq ft,12097.0,968
Florida,Palm Beach,nan,Sq ft,12099.0,969
Florida,Pasco,0.0,Sq ft,12101.0,970
Florida,Pinellas,0.0,Sq ft,12103.0,971
Florida,Polk,7208.0,Sq ft,12105.0,972
Florida,Putnam,0.0,Sq ft,12107.0,973
Florida,St. Johns,nan,Sq ft,12109.0,974
Florida,St. Lucie,0.0,Sq ft,12111.0,975
Florida,Santa Rosa,0.0,Sq ft,12113.0,976
Florida,Sarasota,0.0,Sq ft,12115.0,977
Florida,Seminole,nan,Sq ft,12117.0,978
Florida,Sumter,nan,Sq ft,12119.0,979
Florida,Suwannee,351400.0,Sq ft,12121.0,980
Florida,Taylor,0.0,Sq ft,12123.0,981
Florida,Union,nan,Sq ft,12125.0,982
Florida,Volusia,1080.0,Sq ft,12127.0,983
Florida,Wakulla,nan,Sq ft,12129.0,984
Florida,Walton,nan,Sq ft,12131.0,985
Florida,Washington,0.0,Sq ft,12133.0,986
Georgia,Appling,0.0,Sq ft,13001.0,987
Georgia,Atkinson,0.0,Sq ft,13003.0,988
Georgia,Bacon,0.0,Sq ft,13005.0,989
Georgia,Baker,0.0,Sq ft,13007.0,990
Georgia,Baldwin,0.0,Sq ft,13009.0,991
Georgia,Banks,0.0,Sq ft,13011.0,992
Georgia,Barrow,108000.0,Sq ft,13013.0,993
Georgia,Bartow,nan,Sq ft,13015.0,994
Georgia,Ben Hill,0.0,Sq ft,13017.0,995
Georgia,Berrien,0.0,Sq ft,13019.0,996
Georgia,Bibb,0.0,Sq ft,13021.0,997
Georgia,Bleckley,0.0,Sq ft,13023.0,998
Georgia,Brantley,nan,Sq ft,13025.0,999
Georgia,Brooks,0.0,Sq ft,13027.0,565
Georgia,Bryan,0.0,Sq ft,13029.0,573
Georgia,Bulloch,0.0,Sq ft,13031.0,579
Georgia,Burke,0.0,Sq ft,13033.0,583
Georgia,Butts,0.0,Sq ft,13035.0,588
Georgia,Calhoun,0.0,Sq ft,13037.0,592
Georgia,Camden,0.0,Sq ft,13039.0,603
Georgia,Candler,0.0,Sq ft,13043.0,616
Georgia,Carroll,nan,Sq ft,13045.0,620
