State,County,WIC redemptions per capita 2011 (PC_WIC_REDEMP11),Units,FIPS,FID
Alaska,Hoonah-Angoon,nan,Dollars/capita,2105,476
Alaska,Juneau,12.171093940734863,Dollars/capita,2110,482
Alaska,Kenai Peninsula,17.649709701538086,Dollars/capita,2122,494
Alaska,Ketchikan Gateway,nan,Dollars/capita,2130,514
Alaska,Kodiak Island,nan,Dollars/capita,2150,533
Alaska,Lake and Peninsula,nan,Dollars/capita,2164,544
Alaska,Matanuska-Susitna,17.268110275268555,Dollars/capita,2170,556
Alaska,Nome,81.23099517822266,Dollars/capita,2180,571
Alaska,North Slope,53.7893180847168,Dollars/capita,2185,614
Alaska,Northwest Arctic,124.9030532836914,Dollars/capita,2188,638
Alaska,Petersburg,nan,Dollars/capita,2195,645
Alaska,Prince of Wales-Hyder,29.301536560058594,Dollars/capita,2198,669
Alaska,Sitka,nan,Dollars/capita,2220,679
Alaska,Skagway,nan,Dollars/capita,2230,683
Alaska,Southeast Fairbanks,nan,Dollars/capita,2240,690
Alaska,Valdez-Cordova,20.268945693969727,Dollars/capita,2261,710
Alaska,Wade Hampton,nan,Dollars/capita,2270,725
Alaska,Wrangell,nan,Dollars/capita,2275,733
Alaska,Yakutat,nan,Dollars/capita,2282,744
Alaska,Yukon-Koyukuk,27.077606201171875,Dollars/capita,2290,753
Arizona,Apache,33.114952087402344,Dollars/capita,4001,761
Arizona,Cochise,19.144315719604492,Dollars/capita,4003,763
Arizona,Coconino,12.19340991973877,Dollars/capita,4005,771
Arizona,Gila,25.14794921875,Dollars/capita,4007,787
Arizona,Graham,6.096811771392822,Dollars/capita,4009,0
Arizona,Greenlee,nan,Dollars/capita,4011,1
Arizona,La Paz,22.876794815063477,Dollars/capita,4012,3
Arizona,Maricopa,17.106855392456055,Dollars/capita,4013,9
Arizona,Mohave,18.79691505432129,Dollars/capita,4015,15
Arizona,Navajo,23.44764518737793,Dollars/capita,4017,17
Arizona,Pima,13.469428062438965,Dollars/capita,4019,21
Arizona,Pinal,14.99526596069336,Dollars/capita,4021,26
Arizona,Santa Cruz,33.946311950683594,Dollars/capita,4023,32
Arizona,Yavapai,10.673295974731445,Dollars/capita,4025,35
Arizona,Yuma,27.87405014038086,Dollars/capita,4027,42
Arkansas,Arkansas,29.631908416748047,Dollars/capita,5001,46
Arkansas,Ashley,26.89312171936035,Dollars/capita,5003,50
Arkansas,Baxter,16.475013732910156,Dollars/capita,5005,54
Arkansas,Benton,16.74740219116211,Dollars/capita,5007,59
Arkansas,Boone,22.98123550415039,Dollars/capita,5009,62
Arkansas,Bradley,nan,Dollars/capita,5011,68
Arkansas,Calhoun,nan,Dollars/capita,5013,72
Arkansas,Carroll,19.387941360473633,Dollars/capita,5015,74
Arkansas,Chicot,37.79764175415039,Dollars/capita,5017,77
Arkansas,Clark,20.915374755859375,Dollars/capita,5019,86
Arkansas,Clay,nan,Dollars/capita,5021,93
Arkansas,Cleburne,nan,Dollars/capita,5023,97
Arkansas,Cleveland,nan,Dollars/capita,5025,103
Arkansas,Columbia,23.261211395263672,Dollars/capita,5027,107
Arkansas,Conway,nan,Dollars/capita,5029,109
Arkansas,Craighead,23.424081802368164,Dollars/capita,5031,114
Arkansas,Crawford,19.644468307495117,Dollars/capita,5033,115
Arkansas,Crittenden,36.53099060058594,Dollars/capita,5035,119
Arkansas,Cross,24.755348205566406,Dollars/capita,5037,124
Arkansas,Dallas,nan,Dollars/capita,5039,128
Arkansas,Desha,nan,Dollars/capita,5041,130
Arkansas,Drew,nan,Dollars/capita,5043,136
Arkansas,Faulkner,15.218512535095215,Dollars/capita,5045,141
Arkansas,Franklin,nan,Dollars/capita,5047,144
Arkansas,Fulton,nan,Dollars/capita,5049,146
Arkansas,Garland,19.18285369873047,Dollars/capita,5051,151
Arkansas,Grant,nan,Dollars/capita,5053,155
Arkansas,Greene,25.915369033813477,Dollars/capita,5055,162
Arkansas,Hempstead,37.33917999267578,Dollars/capita,5057,172
Arkansas,Hot Spring,19.35304832458496,Dollars/capita,5059,184
Arkansas,Howard,41.121498107910156,Dollars/capita,5061,191
Arkansas,Independence,27.608510971069336,Dollars/capita,5063,200
Arkansas,Izard,14.580448150634766,Dollars/capita,5065,203
Arkansas,Jackson,20.275230407714844,Dollars/capita,5067,209
Arkansas,Jefferson,25.233028411865234,Dollars/capita,5069,213
Arkansas,Johnson,nan,Dollars/capita,5071,218
Arkansas,Lafayette,nan,Dollars/capita,5073,222
Arkansas,Lawrence,22.447893142700195,Dollars/capita,5075,230
Arkansas,Lee,nan,Dollars/capita,5077,237
Arkansas,Lincoln,nan,Dollars/capita,5079,244
Arkansas,Little River,nan,Dollars/capita,5081,251
Arkansas,Logan,nan,Dollars/capita,5083,258
Arkansas,Lonoke,17.736392974853516,Dollars/capita,5085,268
Arkansas,Madison,nan,Dollars/capita,5087,277
Arkansas,Marion,17.996145248413086,Dollars/capita,5089,282
Arkansas,Miller,24.160663604736328,Dollars/capita,5091,287
Arkansas,Mississippi,32.689109802246094,Dollars/capita,5093,294
Arkansas,Monroe,nan,Dollars/capita,5095,300
Arkansas,Montgomery,nan,Dollars/capita,5097,304
Arkansas,Nevada,nan,Dollars/capita,5099,307
Arkansas,Newton,nan,Dollars/capita,5101,311
Arkansas,Ouachita,27.01530647277832,Dollars/capita,5103,316
Arkansas,Perry,nan,Dollars/capita,5105,318
Arkansas,Phillips,36.908531188964844,Dollars/capita,5107,322
Arkansas,Pike,30.442102432250977,Dollars/capita,5109,327
Arkansas,Poinsett,35.20658874511719,Dollars/capita,5111,333
Arkansas,Polk,22.99835968017578,Dollars/capita,5113,337
Arkansas,Pope,27.42446517944336,Dollars/capita,5115,340
Arkansas,Prairie,6.709802150726318,Dollars/capita,5117,345
Arkansas,Pulaski,19.519798278808594,Dollars/capita,5119,350
Arkansas,Randolph,nan,Dollars/capita,5121,353
Arkansas,St. Francis,32.11102294921875,Dollars/capita,5123,357
Arkansas,Saline,15.444114685058594,Dollars/capita,5125,360
Arkansas,Scott,nan,Dollars/capita,5127,364
Arkansas,Searcy,nan,Dollars/capita,5129,372
Arkansas,Sebastian,28.968441009521484,Dollars/capita,5131,378
Arkansas,Sevier,nan,Dollars/capita,5133,390
Arkansas,Sharp,24.940399169921875,Dollars/capita,5135,394
Arkansas,Stone,nan,Dollars/capita,5137,399
Arkansas,Union,23.481645584106445,Dollars/capita,5139,403
Arkansas,Van Buren,21.867219924926758,Dollars/capita,5141,407
Arkansas,Washington,22.031845092773438,Dollars/capita,5143,417
Arkansas,White,20.107051849365234,Dollars/capita,5145,428
Arkansas,Woodruff,nan,Dollars/capita,5147,435
Arkansas,Yell,nan,Dollars/capita,5149,438
California,Alameda,17.21495819091797,Dollars/capita,6001,457
California,Alpine,nan,Dollars/capita,6003,461
California,Amador,10.88301944732666,Dollars/capita,6005,472
California,Butte,21.938385009765625,Dollars/capita,6007,486
California,Calaveras,10.365581512451172,Dollars/capita,6009,489
California,Colusa,45.46961975097656,Dollars/capita,6011,497
California,Contra Costa,15.349586486816406,Dollars/capita,6013,503
California,Del Norte,30.09439468383789,Dollars/capita,6015,511
California,El Dorado,10.106402397155762,Dollars/capita,6017,522
California,Fresno,47.893104553222656,Dollars/capita,6019,527
California,Glenn,38.997291564941406,Dollars/capita,6021,537
California,Humboldt,19.370201110839844,Dollars/capita,6023,551
California,Imperial,32.9696159362793,Dollars/capita,6025,557
California,Inyo,22.16509246826172,Dollars/capita,6027,562
California,Kern,45.78793716430664,Dollars/capita,6029,84
California,Kings,37.198753356933594,Dollars/capita,6031,94
California,Lake,27.870338439941406,Dollars/capita,6033,100
California,Lassen,14.809406280517578,Dollars/capita,6035,104
California,Los Angeles,35.22944259643555,Dollars/capita,6037,139
California,Madera,47.96717071533203,Dollars/capita,6039,153
California,Marin,7.719608783721924,Dollars/capita,6041,168
California,Mariposa,nan,Dollars/capita,6043,178
California,Mendocino,24.24371910095215,Dollars/capita,6045,190
California,Merced,48.09142303466797,Dollars/capita,6047,204
California,Modoc,23.325363159179688,Dollars/capita,6049,207
California,Mono,nan,Dollars/capita,6051,214
California,Monterey,34.026832580566406,Dollars/capita,6053,228
California,Napa,21.38947868347168,Dollars/capita,6055,236
California,Nevada,9.048659324645996,Dollars/capita,6057,243
California,Orange,22.282611846923828,Dollars/capita,6059,257
California,Placer,8.282721519470215,Dollars/capita,6061,266
California,Plumas,15.67007064819336,Dollars/capita,6063,275
California,Riverside,27.94316291809082,Dollars/capita,6065,281
California,Sacramento,24.82186508178711,Dollars/capita,6067,289
California,San Benito,29.574167251586914,Dollars/capita,6069,295
California,San Bernardino,33.023494720458984,Dollars/capita,6071,302
California,San Diego,26.445186614990234,Dollars/capita,6073,315
California,San Francisco,9.284821510314941,Dollars/capita,6075,331
California,San Joaquin,32.927555084228516,Dollars/capita,6077,339
California,San Luis Obispo,11.325523376464844,Dollars/capita,6079,351
California,San Mateo,14.786799430847168,Dollars/capita,6081,368
California,Santa Barbara,28.994342803955078,Dollars/capita,6083,391
California,Santa Clara,14.306365013122559,Dollars/capita,6085,406
California,Santa Cruz,25.381790161132812,Dollars/capita,6087,415
California,Shasta,23.277713775634766,Dollars/capita,6089,431
California,Sierra,nan,Dollars/capita,6091,439
California,Siskiyou,20.60045051574707,Dollars/capita,6093,446
California,Solano,17.128643035888672,Dollars/capita,6095,453
California,Sonoma,16.79644012451172,Dollars/capita,6097,463
California,Stanislaus,29.87040901184082,Dollars/capita,6099,473
California,Sutter,25.599445343017578,Dollars/capita,6101,483
California,Tehama,26.200817108154297,Dollars/capita,6103,492
California,Trinity,nan,Dollars/capita,6105,500
California,Tulare,48.64836120605469,Dollars/capita,6107,501
California,Tuolumne,13.65527629852295,Dollars/capita,6109,513
California,Ventura,23.641632080078125,Dollars/capita,6111,521
California,Yolo,19.029735565185547,Dollars/capita,6113,525
California,Yuba,29.290904998779297,Dollars/capita,6115,541
Colorado,Adams,23.751541137695312,Dollars/capita,8001,545
Colorado,Alamosa,42.82512283325195,Dollars/capita,8003,549
Colorado,Arapahoe,13.324503898620605,Dollars/capita,8005,558
Colorado,Archuleta,nan,Dollars/capita,8007,560
Colorado,Baca,nan,Dollars/capita,8009,563
Colorado,Bent,nan,Dollars/capita,8011,564
Colorado,Boulder,7.295961380004883,Dollars/capita,8013,570
Colorado,Broomfield,6.363622188568115,Dollars/capita,8014,577
Colorado,Chaffee,nan,Dollars/capita,8015,582
Colorado,Cheyenne,nan,Dollars/capita,8017,587
Colorado,Clear Creek,nan,Dollars/capita,8019,591
Colorado,Conejos,nan,Dollars/capita,8021,596
Colorado,Costilla,nan,Dollars/capita,8023,599
Colorado,Crowley,nan,Dollars/capita,8025,605
Colorado,Custer,nan,Dollars/capita,8027,610
Colorado,Delta,11.330063819885254,Dollars/capita,8029,617
Colorado,Denver,12.622068405151367,Dollars/capita,8031,628
Colorado,Dolores,nan,Dollars/capita,8033,636
Colorado,Douglas,2.844599962234497,Dollars/capita,8035,644
Colorado,Eagle,11.176148414611816,Dollars/capita,8037,648
Colorado,Elbert,nan,Dollars/capita,8039,655
Colorado,El Paso,16.064258575439453,Dollars/capita,8041,661
Colorado,Fremont,12.26194953918457,Dollars/capita,8043,664
Colorado,Garfield,15.629162788391113,Dollars/capita,8045,667
Colorado,Gilpin,nan,Dollars/capita,8047,672
Colorado,Grand,nan,Dollars/capita,8049,677
Colorado,Gunnison,nan,Dollars/capita,8051,682
Colorado,Hinsdale,nan,Dollars/capita,8053,688
Colorado,Huerfano,nan,Dollars/capita,8055,693
Colorado,Jackson,nan,Dollars/capita,8057,701
Colorado,Jefferson,10.190603256225586,Dollars/capita,8059,706
Colorado,Kiowa,nan,Dollars/capita,8061,711
Colorado,Kit Carson,23.30668067932129,Dollars/capita,8063,716
Colorado,Lake,nan,Dollars/capita,8065,721
Colorado,La Plata,9.080339431762695,Dollars/capita,8067,727
Colorado,Larimer,9.18129825592041,Dollars/capita,8069,734
Colorado,Las Animas,nan,Dollars/capita,8071,741
Colorado,Lincoln,nan,Dollars/capita,8073,747
Colorado,Logan,nan,Dollars/capita,8075,749
Colorado,Mesa,12.614823341369629,Dollars/capita,8077,751
Colorado,Mineral,nan,Dollars/capita,8079,757
Colorado,Moffat,nan,Dollars/capita,8081,758
Colorado,Montezuma,4.547297477722168,Dollars/capita,8083,766
Colorado,Montrose,19.107666015625,Dollars/capita,8085,769
Colorado,Morgan,29.73528289794922,Dollars/capita,8087,775
Colorado,Otero,29.236806869506836,Dollars/capita,8089,777
Colorado,Ouray,nan,Dollars/capita,8091,780
Colorado,Park,nan,Dollars/capita,8093,782
Colorado,Phillips,nan,Dollars/capita,8095,785
Colorado,Pitkin,nan,Dollars/capita,8097,789
Colorado,Prowers,28.41091537475586,Dollars/capita,8099,792
Colorado,Pueblo,20.25465202331543,Dollars/capita,8101,795
Colorado,Rio Blanco,nan,Dollars/capita,8103,799
Colorado,Rio Grande,nan,Dollars/capita,8105,802
Colorado,Routt,nan,Dollars/capita,8107,809
Colorado,Saguache,nan,Dollars/capita,8109,811
Colorado,San Juan,nan,Dollars/capita,8111,347
Colorado,San Miguel,nan,Dollars/capita,8113,359
Colorado,Sedgwick,nan,Dollars/capita,8115,366
Colorado,Summit,nan,Dollars/capita,8117,373
Colorado,Teller,8.087029457092285,Dollars/capita,8119,375
Colorado,Washington,nan,Dollars/capita,8121,377
Colorado,Weld,10.78322696685791,Dollars/capita,8123,382
Colorado,Yuma,27.244548797607422,Dollars/capita,8125,385
Connecticut,Fairfield,10.908401489257812,Dollars/capita,9001,410
Connecticut,Hartford,13.087920188903809,Dollars/capita,9003,432
Connecticut,Litchfield,5.779993057250977,Dollars/capita,9005,443
Connecticut,Middlesex,4.734167575836182,Dollars/capita,9007,450
Connecticut,New Haven,13.885530471801758,Dollars/capita,9009,466
Connecticut,New London,10.432950973510742,Dollars/capita,9011,517
Connecticut,Tolland,4.035638332366943,Dollars/capita,9013,524
Connecticut,Windham,10.839607238769531,Dollars/capita,9015,529
Delaware,Kent,10.615523338317871,Dollars/capita,10001,532
Delaware,New Castle,8.196310997009277,Dollars/capita,10003,536
Delaware,Sussex,7.481105804443359,Dollars/capita,10005,609
District of Columbia,District of Columbia,13.901268005371094,Dollars/capita,11001,630
Florida,Alachua,15.833059310913086,Dollars/capita,12001,639
Florida,Baker,26.102624893188477,Dollars/capita,12003,641
Florida,Bay,21.242746353149414,Dollars/capita,12005,658
Florida,Bradford,nan,Dollars/capita,12007,665
Florida,Brevard,12.915303230285645,Dollars/capita,12009,686
Florida,Broward,16.49949836730957,Dollars/capita,12011,695
Florida,Calhoun,nan,Dollars/capita,12013,699
Florida,Charlotte,11.852535247802734,Dollars/capita,12015,743
Florida,Citrus,12.526999473571777,Dollars/capita,12017,843
Florida,Clay,11.672045707702637,Dollars/capita,12019,852
Florida,Collier,18.147777557373047,Dollars/capita,12021,894
Florida,Columbia,21.7037353515625,Dollars/capita,12023,903
Florida,DeSoto,32.434608459472656,Dollars/capita,12027,906
Florida,Dixie,nan,Dollars/capita,12029,918
Florida,Duval,20.054851531982422,Dollars/capita,12031,924
Florida,Escambia,20.865079879760742,Dollars/capita,12033,931
Florida,Flagler,13.146984100341797,Dollars/capita,12035,935
Florida,Franklin,14.659420013427734,Dollars/capita,12037,937
Florida,Gadsden,27.888662338256836,Dollars/capita,12039,938
Florida,Gilchrist,nan,Dollars/capita,12041,939
Florida,Glades,nan,Dollars/capita,12043,940
Florida,Gulf,nan,Dollars/capita,12045,941
Florida,Hamilton,nan,Dollars/capita,12047,942
Florida,Hardee,40.46958923339844,Dollars/capita,12049,943
Florida,Hendry,40.96574020385742,Dollars/capita,12051,944
Florida,Hernando,17.001386642456055,Dollars/capita,12053,945
Florida,Highlands,22.498044967651367,Dollars/capita,12055,946
Florida,Hillsborough,18.94370460510254,Dollars/capita,12057,947
Florida,Holmes,nan,Dollars/capita,12059,948
Florida,Indian River,15.080790519714355,Dollars/capita,12061,949
Florida,Jackson,22.127531051635742,Dollars/capita,12063,950
Florida,Jefferson,nan,Dollars/capita,12065,951
Florida,Lafayette,nan,Dollars/capita,12067,952
Florida,Lake,16.238725662231445,Dollars/capita,12069,953
Florida,Lee,17.23383140563965,Dollars/capita,12071,954
Florida,Leon,13.464983940124512,Dollars/capita,12073,955
Florida,Levy,23.780569076538086,Dollars/capita,12075,956
Florida,Liberty,nan,Dollars/capita,12077,957
Florida,Madison,nan,Dollars/capita,12079,958
Florida,Manatee,17.40361976623535,Dollars/capita,12081,959
Florida,Marion,20.109554290771484,Dollars/capita,12083,960
Florida,Martin,41.49647521972656,Dollars/capita,12085,961
Florida,Miami-Dade,20.494464874267578,Dollars/capita,12086,962
Florida,Monroe,11.102288246154785,Dollars/capita,12087,963
Florida,Nassau,13.623117446899414,Dollars/capita,12089,964
Florida,Okaloosa,17.556087493896484,Dollars/capita,12091,965
Florida,Okeechobee,30.219127655029297,Dollars/capita,12093,966
Florida,Orange,20.089290618896484,Dollars/capita,12095,967
Florida,Osceola,27.878082275390625,Dollars/capita,12097,968
Florida,Palm Beach,14.665047645568848,Dollars/capita,12099,969
Florida,Pasco,13.96777629852295,Dollars/capita,12101,970
Florida,Pinellas,13.438026428222656,Dollars/capita,12103,971
Florida,Polk,22.470584869384766,Dollars/capita,12105,972
Florida,Putnam,27.656078338623047,Dollars/capita,12107,973
Florida,St. Johns,8.194894790649414,Dollars/capita,12109,974
Florida,St. Lucie,20.993135452270508,Dollars/capita,12111,975
Florida,Santa Rosa,14.652483940124512,Dollars/capita,12113,976
Florida,Sarasota,8.548501014709473,Dollars/capita,12115,977
Florida,Seminole,13.179683685302734,Dollars/capita,12117,978
Florida,Sumter,9.537819862365723,Dollars/capita,12119,979
Florida,Suwannee,22.430173873901367,Dollars/capita,12121,980
Florida,Taylor,23.568998336791992,Dollars/capita,12123,981
Florida,Union,nan,Dollars/capita,12125,982
Florida,Volusia,14.776079177856445,Dollars/capita,12127,983
Florida,Wakulla,nan,Dollars/capita,12129,984
Florida,Walton,16.196195602416992,Dollars/capita,12131,985
Florida,Washington,23.73366355895996,Dollars/capita,12133,986
Georgia,Appling,27.30317497253418,Dollars/capita,13001,987
Georgia,Atkinson,nan,Dollars/capita,13003,988
Georgia,Bacon,33.672950744628906,Dollars/capita,13005,989
Georgia,Baker,nan,Dollars/capita,13007,990
Georgia,Baldwin,28.162044525146484,Dollars/capita,13009,991
Georgia,Banks,nan,Dollars/capita,13011,992
Georgia,Barrow,15.055803298950195,Dollars/capita,13013,993
Georgia,Bartow,12.479940414428711,Dollars/capita,13015,994
Georgia,Ben Hill,45.8756103515625,Dollars/capita,13017,995
Georgia,Berrien,19.778139114379883,Dollars/capita,13019,996
Georgia,Bibb,40.371253967285156,Dollars/capita,13021,997
Georgia,Bleckley,nan,Dollars/capita,13023,998
Georgia,Brantley,nan,Dollars/capita,13025,999
Georgia,Brooks,nan,Dollars/capita,13027,565
Georgia,Bryan,15.831547737121582,Dollars/capita,13029,573
Georgia,Bulloch,20.245576858520508,Dollars/capita,13031,579
Georgia,Burke,24.94329261779785,Dollars/capita,13033,583
Georgia,Butts,18.93477439880371,Dollars/capita,13035,588
Georgia,Calhoun,nan,Dollars/capita,13037,592
Georgia,Camden,26.89667320251465,Dollars/capita,13039,603
Georgia,Candler,nan,Dollars/capita,13043,616
Georgia,Carroll,22.757041931152344,Dollars/capita,13045,620
Georgia,Catoosa,18.022747039794922,Dollars/capita,13047,626
Georgia,Charlton,nan,Dollars/capita,13049,635
Georgia,Chatham,20.334562301635742,Dollars/capita,13051,646
Georgia,Chattahoochee,nan,Dollars/capita,13053,656
Georgia,Chattooga,22.277156829833984,Dollars/capita,13055,659
Georgia,Cherokee,22.057985305786133,Dollars/capita,13057,662
Georgia,Clarke,21.703704833984375,Dollars/capita,13059,666
Georgia,Clay,nan,Dollars/capita,13061,670
Georgia,Clayton,73.5168228149414,Dollars/capita,13063,673
Georgia,Clinch,nan,Dollars/capita,13065,676
Georgia,Cobb,19.986799240112305,Dollars/capita,13067,680
Georgia,Coffee,46.10820007324219,Dollars/capita,13069,684
Georgia,Colquitt,35.8140754699707,Dollars/capita,13071,689
Georgia,Columbia,12.961921691894531,Dollars/capita,13073,692
Georgia,Cook,34.28794479370117,Dollars/capita,13075,697
Georgia,Coweta,14.034829139709473,Dollars/capita,13077,700
Georgia,Crawford,nan,Dollars/capita,13079,704
Georgia,Crisp,42.47023010253906,Dollars/capita,13081,707
Georgia,Dade,13.974444389343262,Dollars/capita,13083,708
Georgia,Dawson,nan,Dollars/capita,13085,713
Georgia,Decatur,29.11020278930664,Dollars/capita,13087,714
Georgia,DeKalb,39.117584228515625,Dollars/capita,13089,718
Georgia,Dodge,26.131513595581055,Dollars/capita,13091,720
Georgia,Dooly,nan,Dollars/capita,13093,724
Georgia,Dougherty,28.68674087524414,Dollars/capita,13095,728
Georgia,Douglas,24.891910552978516,Dollars/capita,13097,731
Georgia,Early,35.20022201538086,Dollars/capita,13099,735
Georgia,Echols,nan,Dollars/capita,13101,737
Georgia,Effingham,12.578420639038086,Dollars/capita,13103,742
Georgia,Elbert,23.780900955200195,Dollars/capita,13105,746
Georgia,Emanuel,34.86092758178711,Dollars/capita,13107,750
Georgia,Evans,nan,Dollars/capita,13109,754
Georgia,Fannin,14.37495231628418,Dollars/capita,13111,755
Georgia,Fayette,10.317520141601562,Dollars/capita,13113,760
Georgia,Floyd,25.352615356445312,Dollars/capita,13115,764
Georgia,Forsyth,7.5145039558410645,Dollars/capita,13117,768
Georgia,Franklin,23.843355178833008,Dollars/capita,13119,772
Georgia,Fulton,70.1090087890625,Dollars/capita,13121,779
Georgia,Gilmer,26.582643508911133,Dollars/capita,13123,781
Georgia,Glascock,nan,Dollars/capita,13125,783
Georgia,Glynn,25.15393829345703,Dollars/capita,13127,793
Georgia,Gordon,28.537456512451172,Dollars/capita,13129,796
Georgia,Grady,30.529233932495117,Dollars/capita,13131,797
Georgia,Greene,21.37237548828125,Dollars/capita,13133,800
Georgia,Gwinnett,21.932167053222656,Dollars/capita,13135,804
Georgia,Habersham,19.68686294555664,Dollars/capita,13137,806
Georgia,Hall,34.91580581665039,Dollars/capita,13139,808
Georgia,Hancock,nan,Dollars/capita,13141,810
Georgia,Haralson,15.274456977844238,Dollars/capita,13143,813
Georgia,Harris,3.377263307571411,Dollars/capita,13145,814
Georgia,Hart,21.500215530395508,Dollars/capita,13147,816
Georgia,Heard,nan,Dollars/capita,13149,817
Georgia,Henry,17.581464767456055,Dollars/capita,13151,820
Georgia,Houston,21.948394775390625,Dollars/capita,13153,823
Georgia,Irwin,nan,Dollars/capita,13155,825
Georgia,Jackson,17.18159294128418,Dollars/capita,13157,828
Georgia,Jasper,nan,Dollars/capita,13159,830
Georgia,Jeff Davis,36.574649810791016,Dollars/capita,13161,832
Georgia,Jefferson,29.349424362182617,Dollars/capita,13163,834
Georgia,Jenkins,nan,Dollars/capita,13165,835
Georgia,Johnson,nan,Dollars/capita,13167,837
Georgia,Jones,nan,Dollars/capita,13169,839
