State,County,SNAP participants (% pop) 2017 (PCT_SNAP17),Units,FIPS,FID
California,Yolo,10.400642664415725,Percent,6113,525
California,Yuba,10.400642664415725,Percent,6115,541
Colorado,Adams,8.190382024463748,Percent,8001,545
Colorado,Alamosa,8.190382024463748,Percent,8003,549
Colorado,Arapahoe,8.190382024463748,Percent,8005,558
Colorado,Archuleta,8.190382024463748,Percent,8007,560
Colorado,Baca,8.190382024463748,Percent,8009,563
Colorado,Bent,8.190382024463748,Percent,8011,564
Colorado,Boulder,8.190382024463748,Percent,8013,570
Colorado,Broomfield,8.190382024463748,Percent,8014,577
Colorado,Chaffee,8.190382024463748,Percent,8015,582
Colorado,Cheyenne,8.190382024463748,Percent,8017,587
Colorado,Clear Creek,8.190382024463748,Percent,8019,591
Colorado,Conejos,8.190382024463748,Percent,8021,596
Colorado,Costilla,8.190382024463748,Percent,8023,599
Colorado,Crowley,8.190382024463748,Percent,8025,605
Colorado,Custer,8.190382024463748,Percent,8027,610
Colorado,Delta,8.190382024463748,Percent,8029,617
Colorado,Denver,8.190382024463748,Percent,8031,628
Colorado,Dolores,8.190382024463748,Percent,8033,636
Colorado,Douglas,8.190382024463748,Percent,8035,644
Colorado,Eagle,8.190382024463748,Percent,8037,648
Colorado,Elbert,8.190382024463748,Percent,8039,655
Colorado,El Paso,8.190382024463748,Percent,8041,661
Colorado,Fremont,8.190382024463748,Percent,8043,664
Colorado,Garfield,8.190382024463748,Percent,8045,667
Colorado,Gilpin,8.190382024463748,Percent,8047,672
Colorado,Grand,8.190382024463748,Percent,8049,677
Colorado,Gunnison,8.190382024463748,Percent,8051,682
Colorado,Hinsdale,8.190382024463748,Percent,8053,688
Colorado,Huerfano,8.190382024463748,Percent,8055,693
Colorado,Jackson,8.190382024463748,Percent,8057,701
Colorado,Jefferson,8.190382024463748,Percent,8059,706
Colorado,Kiowa,8.190382024463748,Percent,8061,711
Colorado,Kit Carson,8.190382024463748,Percent,8063,716
Colorado,Lake,8.190382024463748,Percent,8065,721
Colorado,La Plata,8.190382024463748,Percent,8067,727
Colorado,Larimer,8.190382024463748,Percent,8069,734
Colorado,Las Animas,8.190382024463748,Percent,8071,741
Colorado,Lincoln,8.190382024463748,Percent,8073,747
Colorado,Logan,8.190382024463748,Percent,8075,749
Colorado,Mesa,8.190382024463748,Percent,8077,751
Colorado,Mineral,8.190382024463748,Percent,8079,757
Colorado,Moffat,8.190382024463748,Percent,8081,758
Colorado,Montezuma,8.190382024463748,Percent,8083,766
Colorado,Montrose,8.190382024463748,Percent,8085,769
Colorado,Morgan,8.190382024463748,Percent,8087,775
Colorado,Otero,8.190382024463748,Percent,8089,777
Colorado,Ouray,8.190382024463748,Percent,8091,780
Colorado,Park,8.190382024463748,Percent,8093,782
Colorado,Phillips,8.190382024463748,Percent,8095,785
Colorado,Pitkin,8.190382024463748,Percent,8097,789
Colorado,Prowers,8.190382024463748,Percent,8099,792
Colorado,Pueblo,8.190382024463748,Percent,8101,795
Colorado,Rio Blanco,8.190382024463748,Percent,8103,799
Colorado,Rio Grande,8.190382024463748,Percent,8105,802
Colorado,Routt,8.190382024463748,Percent,8107,809
Colorado,Saguache,8.190382024463748,Percent,8109,811
Colorado,San Juan,8.190382024463748,Percent,8111,347
Colorado,San Miguel,8.190382024463748,Percent,8113,359
Colorado,Sedgwick,8.190382024463748,Percent,8115,366
Colorado,Summit,8.190382024463748,Percent,8117,373
Colorado,Teller,8.190382024463748,Percent,8119,375
Colorado,Washington,8.190382024463748,Percent,8121,377
Colorado,Weld,8.190382024463748,Percent,8123,382
Colorado,Yuma,8.190382024463748,Percent,8125,385
Connecticut,Fairfield,11.435991484829094,Percent,9001,410
Connecticut,Hartford,11.435991484829094,Percent,9003,432
Connecticut,Litchfield,11.435991484829094,Percent,9005,443
Connecticut,Middlesex,11.435991484829094,Percent,9007,450
Connecticut,New Haven,11.435991484829094,Percent,9009,466
Connecticut,New London,11.435991484829094,Percent,9011,517
Connecticut,Tolland,11.435991484829094,Percent,9013,524
Connecticut,Windham,11.435991484829094,Percent,9015,529
Delaware,Kent,15.261406045497688,Percent,10001,532
Delaware,New Castle,15.261406045497688,Percent,10003,536
Delaware,Sussex,15.261406045497688,Percent,10005,609
District of Columbia,District of Columbia,17.405673427746365,Percent,11001,630
Florida,Alachua,15.185265403347248,Percent,12001,639
Florida,Baker,15.185265403347248,Percent,12003,641
Florida,Bay,15.185265403347248,Percent,12005,658
Florida,Bradford,15.185265403347248,Percent,12007,665
Florida,Brevard,15.185265403347248,Percent,12009,686
Florida,Broward,15.185265403347248,Percent,12011,695
Florida,Calhoun,15.185265403347248,Percent,12013,699
