State,County,SNAP benefits per capita (% change) 2012-17 (PCH_PC_SNAPBEN_12_17),Units,FIPS,FID
Colorado,Cheyenne,-12.294486045837402,% change,8017,587
Colorado,Clear Creek,-18.219308853149414,% change,8019,591
Colorado,Conejos,-12.411687850952148,% change,8021,596
Colorado,Costilla,-17.10729217529297,% change,8023,599
Colorado,Crowley,-18.598085403442383,% change,8025,605
Colorado,Custer,-24.571447372436523,% change,8027,610
Colorado,Delta,-13.331463813781738,% change,8029,617
Colorado,Denver,-21.739728927612305,% change,8031,628
Colorado,Dolores,-15.380054473876953,% change,8033,636
Colorado,Douglas,-22.559003829956055,% change,8035,644
Colorado,Eagle,-17.088075637817383,% change,8037,648
Colorado,Elbert,-21.06727409362793,% change,8039,655
Colorado,El Paso,-19.762941360473633,% change,8041,661
Colorado,Fremont,-14.057494163513184,% change,8043,664
Colorado,Garfield,-16.568876266479492,% change,8045,667
Colorado,Gilpin,-21.5555477142334,% change,8047,672
Colorado,Grand,-19.34879493713379,% change,8049,677
Colorado,Gunnison,-20.7590389251709,% change,8051,682
Colorado,Hinsdale,-11.017158508300781,% change,8053,688
Colorado,Huerfano,-14.381752967834473,% change,8055,693
Colorado,Jackson,-16.34832000732422,% change,8057,701
Colorado,Jefferson,-17.275136947631836,% change,8059,706
Colorado,Kiowa,-11.21852970123291,% change,8061,711
Colorado,Kit Carson,-2.0120902061462402,% change,8063,716
Colorado,Lake,-18.911653518676758,% change,8065,721
Colorado,La Plata,-18.070301055908203,% change,8067,727
Colorado,Larimer,-21.456268310546875,% change,8069,734
Colorado,Las Animas,-8.518667221069336,% change,8071,741
Colorado,Lincoln,-14.641585350036621,% change,8073,747
Colorado,Logan,-13.105360984802246,% change,8075,749
Colorado,Mesa,-15.409948348999023,% change,8077,751
Colorado,Mineral,-18.935443878173828,% change,8079,757
Colorado,Moffat,-12.807332992553711,% change,8081,758
Colorado,Montezuma,-15.25667953491211,% change,8083,766
Colorado,Montrose,-15.446980476379395,% change,8085,769
Colorado,Morgan,-12.970426559448242,% change,8087,775
Colorado,Otero,-11.416797637939453,% change,8089,777
Colorado,Ouray,-18.384634017944336,% change,8091,780
Colorado,Park,-22.077247619628906,% change,8093,782
Colorado,Phillips,-10.980870246887207,% change,8095,785
Colorado,Pitkin,-16.074758529663086,% change,8097,789
Colorado,Prowers,-10.33363151550293,% change,8099,792
Colorado,Pueblo,-15.994547843933105,% change,8101,795
Colorado,Rio Blanco,-7.961386680603027,% change,8103,799
Colorado,Rio Grande,-8.682250022888184,% change,8105,802
Colorado,Routt,-19.785442352294922,% change,8107,809
Colorado,Saguache,-17.002267837524414,% change,8109,811
Colorado,San Juan,-15.909668922424316,% change,8111,347
Colorado,San Miguel,-17.336284637451172,% change,8113,359
