State,County,Asian low access to store (%) 2015 (PCT_LACCESS_NHASIAN15),Units,FIPS,FID
California,Sonoma,0.5646113816538033,Percent,6097,463
California,Stanislaus,0.6208899895898342,Percent,6099,473
California,Sutter,5.779109275644785,Percent,6101,483
California,Tehama,0.2628765127759434,Percent,6103,492
California,Trinity,0.10509346180605687,Percent,6105,500
California,Tulare,0.41568022469921684,Percent,6107,501
California,Tuolumne,0.25920197278793644,Percent,6109,513
California,Ventura,1.0882097996428086,Percent,6111,521
California,Yolo,0.2863304979880507,Percent,6113,525
California,Yuba,1.1341716561977286,Percent,6115,541
Colorado,Adams,0.4582003942336329,Percent,8001,545
Colorado,Alamosa,0.038615375884894464,Percent,8003,549
Colorado,Arapahoe,0.703347824069456,Percent,8005,558
Colorado,Archuleta,0.1771574154469861,Percent,8007,560
Colorado,Baca,0.05279830897889783,Percent,8009,563
Colorado,Bent,0.2833852253486998,Percent,8011,564
Colorado,Boulder,0.4566934678088822,Percent,8013,570
Colorado,Broomfield,1.8540392746106928,Percent,8014,577
Colorado,Chaffee,0.04766912216258711,Percent,8015,582
Colorado,Cheyenne,0.15546010894743464,Percent,8017,587
Colorado,Clear Creek,0.08213143139304083,Percent,8019,591
Colorado,Conejos,0.0,Percent,8021,596
Colorado,Costilla,0.9648127074064983,Percent,8023,599
Colorado,Crowley,0.03434655592145578,Percent,8025,605
Colorado,Custer,0.045410072340371796,Percent,8027,610
Colorado,Delta,0.04131686789213815,Percent,8029,617
Colorado,Denver,0.30458677072143336,Percent,8031,628
Colorado,Dolores,0.0968992205603067,Percent,8033,636
Colorado,Douglas,0.5532991501464558,Percent,8035,644
Colorado,Eagle,0.1547670874174102,Percent,8037,648
Colorado,Elbert,0.10202056038930694,Percent,8039,655
Colorado,El Paso,0.709490824206943,Percent,8041,661
Colorado,Fremont,0.1406858956714514,Percent,8043,664
Colorado,Garfield,0.13026185739979038,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.005751654477461133,Percent,8049,677
Colorado,Gunnison,0.04774861305195543,Percent,8051,682
Colorado,Hinsdale,0.04321328952812147,Percent,8053,688
Colorado,Huerfano,0.11644723277453048,Percent,8055,693
Colorado,Jackson,0.0,Percent,8057,701
Colorado,Jefferson,0.5731259415828867,Percent,8059,706
Colorado,Kiowa,0.0,Percent,8061,711
Colorado,Kit Carson,0.04836759333002709,Percent,8063,716
Colorado,Lake,0.05668194811191135,Percent,8065,721
Colorado,La Plata,0.10802740913844217,Percent,8067,727
Colorado,Larimer,0.2814509152682916,Percent,8069,734
Colorado,Las Animas,0.29253527239921256,Percent,8071,741
Colorado,Lincoln,0.10027872811886063,Percent,8073,747
Colorado,Logan,0.050671813802891805,Percent,8075,749
Colorado,Mesa,0.21937192190880772,Percent,8077,751
Colorado,Mineral,0.0,Percent,8079,757
Colorado,Moffat,0.15606762811489744,Percent,8081,758
Colorado,Montezuma,0.09373921578960054,Percent,8083,766
Colorado,Montrose,0.14844481798318418,Percent,8085,769
Colorado,Morgan,0.009495402826894242,Percent,8087,775
Colorado,Otero,0.34574457694947536,Percent,8089,777
Colorado,Ouray,0.011017557568016749,Percent,8091,780
Colorado,Park,0.3350057329384592,Percent,8093,782
Colorado,Phillips,0.015522835358205896,Percent,8095,785
Colorado,Pitkin,0.1271334272777344,Percent,8097,789
Colorado,Prowers,0.09823714264741057,Percent,8099,792
Colorado,Pueblo,0.2643668235895928,Percent,8101,795
Colorado,Rio Blanco,0.010906247568760111,Percent,8103,799
Colorado,Rio Grande,0.07735147833983058,Percent,8105,802
Colorado,Routt,0.18764092323281933,Percent,8107,809
Colorado,Saguache,0.05259219493009709,Percent,8109,811
Colorado,San Juan,1.1444921479518484,Percent,8111,347
Colorado,San Miguel,0.020758793415710148,Percent,8113,359
Colorado,Sedgwick,0.1636054646239916,Percent,8115,366
