State,County,Population low access to store (% change) 2010 -15 (PCH_LACCESS_POP_10_15),Units,FIPS,FID
California,Ventura,2.7764940200904706,% change,6111,521
California,Yolo,-34.43034528645247,% change,6113,525
California,Yuba,0.04244577709393926,% change,6115,541
Colorado,Adams,1.7489174002327492,% change,8001,545
Colorado,Alamosa,-10.619806207200176,% change,8003,549
Colorado,Arapahoe,-28.561289734741756,% change,8005,558
Colorado,Archuleta,31.35899939016593,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,0.6697758108532932,% change,8011,564
Colorado,Boulder,-5.921633843939595,% change,8013,570
Colorado,Broomfield,98.61951184875329,% change,8014,577
Colorado,Chaffee,31.118740005758422,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,-0.02341004046140994,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,-85.24657136920585,% change,8025,605
Colorado,Custer,4.641671103143449,% change,8027,610
Colorado,Delta,92.57225494343862,% change,8029,617
Colorado,Denver,-35.36203928791778,% change,8031,628
Colorado,Dolores,398.95347821197913,% change,8033,636
Colorado,Douglas,3.3043925448148244,% change,8035,644
Colorado,Eagle,1.1153744713033835,% change,8037,648
Colorado,Elbert,-6.312837623392896,% change,8039,655
Colorado,El Paso,-8.522086669883548,% change,8041,661
Colorado,Fremont,8.494211770811336,% change,8043,664
Colorado,Garfield,-21.810452104295457,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,-85.3577200116388,% change,8049,677
Colorado,Gunnison,-0.35355564928098326,% change,8051,682
Colorado,Hinsdale,-88.22399874595132,% change,8053,688
Colorado,Huerfano,-0.9112678767463458,% change,8055,693
Colorado,Jackson,-0.010575703672758719,% change,8057,701
Colorado,Jefferson,-6.181305674125597,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,-57.25781298592477,% change,8063,716
Colorado,Lake,-71.52538685060206,% change,8065,721
Colorado,La Plata,-3.461050859326712,% change,8067,727
Colorado,Larimer,-15.806277852539063,% change,8069,734
Colorado,Las Animas,0.006441304263104261,% change,8071,741
Colorado,Lincoln,-0.5521581263421821,% change,8073,747
Colorado,Logan,-3.2166488014137413,% change,8075,749
Colorado,Mesa,-0.3350164934521371,% change,8077,751
Colorado,Mineral,-86.63522744092242,% change,8079,757
Colorado,Moffat,0.053820219404409286,% change,8081,758
Colorado,Montezuma,-4.514911432638378,% change,8083,766
Colorado,Montrose,4.029075057513245,% change,8085,769
Colorado,Morgan,1.1538841356678957,% change,8087,775
Colorado,Otero,-3.251944464350398,% change,8089,777
Colorado,Ouray,-15.608553516322038,% change,8091,780
Colorado,Park,-7.956880593501527,% change,8093,782
Colorado,Phillips,-85.6633207913371,% change,8095,785
Colorado,Pitkin,-10.807191173185844,% change,8097,789
Colorado,Prowers,-20.975673823832995,% change,8099,792
Colorado,Pueblo,-12.517646085325252,% change,8101,795
Colorado,Rio Blanco,-0.30708158772290395,% change,8103,799
Colorado,Rio Grande,109.76971292838162,% change,8105,802
Colorado,Routt,-13.267505439248644,% change,8107,809
Colorado,Saguache,-79.28235563245582,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,3.656015529575994,% change,8113,359
Colorado,Sedgwick,-1.5494545274626896,% change,8115,366
Colorado,Summit,-36.17525311842703,% change,8117,373
Colorado,Teller,-49.8173527642695,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,-4.263486259918958,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,2.356898600205398,% change,9001,410
Connecticut,Hartford,-7.826214473398912,% change,9003,432
Connecticut,Litchfield,15.306905941824983,% change,9005,443
Connecticut,Middlesex,-5.878903270093371,% change,9007,450
Connecticut,New Haven,-1.7579092097903462,% change,9009,466
Connecticut,New London,26.06339843693981,% change,9011,517
Connecticut,Tolland,6.610517034377272,% change,9013,524
Connecticut,Windham,-15.125103727914082,% change,9015,529
Delaware,Kent,-17.875111759959868,% change,10001,532
Delaware,New Castle,-25.957070323234593,% change,10003,536
Delaware,Sussex,-18.8537090050981,% change,10005,609
District of Columbia,District of Columbia,-25.234222040450344,% change,11001,630
Florida,Alachua,-23.237009694993926,% change,12001,639
Florida,Baker,-1.872694882002697,% change,12003,641
Florida,Bay,-8.297337939446335,% change,12005,658
Florida,Bradford,-2.925405723671935,% change,12007,665
Florida,Brevard,1.362910619148749,% change,12009,686
Florida,Broward,-19.32904250867654,% change,12011,695
Florida,Calhoun,-29.82513049302199,% change,12013,699
Florida,Charlotte,-2.0442321533604897,% change,12015,743
Florida,Citrus,5.132553990446191,% change,12017,843
Florida,Clay,5.406179047560855,% change,12019,852
Florida,Collier,0.6396552679294119,% change,12021,894
Florida,Columbia,-0.8922909422053674,% change,12023,903
Florida,DeSoto,-11.71370535469246,% change,12027,906
Florida,Dixie,48.5089667342556,% change,12029,918
Florida,Duval,-0.7520143236902779,% change,12031,924
Florida,Escambia,-8.54810299540279,% change,12033,931
Florida,Flagler,-1.5596777490559437,% change,12035,935
Florida,Franklin,-23.10380260639741,% change,12037,937
Florida,Gadsden,-17.50669043297501,% change,12039,938
Florida,Gilchrist,-24.222070683681153,% change,12041,939
Florida,Glades,149.71351312236104,% change,12043,940
Florida,Gulf,16.98676915828369,% change,12045,941
Florida,Hamilton,-0.0744399784549935,% change,12047,942
Florida,Hardee,12.221551273083483,% change,12049,943
Florida,Hendry,1.3480928137200996,% change,12051,944
Florida,Hernando,10.538072288411858,% change,12053,945
Florida,Highlands,-11.347834991904943,% change,12055,946
