State,County,Children low access to store (% change) 2010 - 15 (LACCESS_CHILD_10_15),Units,FIPS,FID
California,Merced,8.790051453314152,% change,6047,204
California,Modoc,-24.732368465095618,% change,6049,207
California,Mono,3.79620668567729,% change,6051,214
California,Monterey,4.752003721863737,% change,6053,228
California,Napa,-34.01649609780723,% change,6055,236
California,Nevada,10.882981042639853,% change,6057,243
California,Orange,-9.477392734203747,% change,6059,257
California,Placer,1.5709882986042565,% change,6061,266
California,Plumas,2.8332023961615054,% change,6063,275
California,Riverside,-0.29340210585478027,% change,6065,281
California,Sacramento,0.9141790943511572,% change,6067,289
California,San Benito,0.013716269449461343,% change,6069,295
California,San Bernardino,-4.729815951244768,% change,6071,302
California,San Diego,-7.436313801097732,% change,6073,315
California,San Francisco,-84.79383705445365,% change,6075,331
California,San Joaquin,9.350586034054968,% change,6077,339
California,San Luis Obispo,-10.789171850974135,% change,6079,351
California,San Mateo,-18.148939032116434,% change,6081,368
California,Santa Barbara,1.0925368156374258,% change,6083,391
California,Santa Clara,-24.15016563348191,% change,6085,406
California,Santa Cruz,-14.2029013180847,% change,6087,415
California,Shasta,1.9492381863649095,% change,6089,431
California,Sierra,0.2437246670110852,% change,6091,439
California,Siskiyou,4.158145952189014,% change,6093,446
California,Solano,-19.782839424742267,% change,6095,453
California,Sonoma,-6.977172166342729,% change,6097,463
California,Stanislaus,-12.229377084400223,% change,6099,473
California,Sutter,-6.170809634801366,% change,6101,483
California,Tehama,34.33330930155099,% change,6103,492
California,Trinity,6.552087145798255,% change,6105,500
California,Tulare,-5.724486935292328,% change,6107,501
California,Tuolumne,4.145962197635482,% change,6109,513
California,Ventura,5.143305699727736,% change,6111,521
California,Yolo,-30.593287037935102,% change,6113,525
California,Yuba,0.009383710474150292,% change,6115,541
Colorado,Adams,3.810179911711679,% change,8001,545
Colorado,Alamosa,-10.85652275070749,% change,8003,549
Colorado,Arapahoe,-24.986531830346987,% change,8005,558
Colorado,Archuleta,39.09328857540359,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,0.6670995695494308,% change,8011,564
Colorado,Boulder,-9.789778729319831,% change,8013,570
Colorado,Broomfield,84.86598867366135,% change,8014,577
Colorado,Chaffee,51.93129905885687,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,-0.008561964517184347,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,-85.02715843334101,% change,8025,605
Colorado,Custer,-2.2937003639007942,% change,8027,610
Colorado,Delta,110.28993256153166,% change,8029,617
Colorado,Denver,-30.499412243015566,% change,8031,628
Colorado,Dolores,451.1071562571517,% change,8033,636
Colorado,Douglas,5.385816394033694,% change,8035,644
Colorado,Eagle,-2.7944913027795995,% change,8037,648
Colorado,Elbert,-7.483898868250748,% change,8039,655
Colorado,El Paso,-6.166812984381963,% change,8041,661
Colorado,Fremont,12.53731047232886,% change,8043,664
Colorado,Garfield,-19.561504790675738,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,-90.68279521583254,% change,8049,677
Colorado,Gunnison,0.0,% change,8051,682
Colorado,Hinsdale,-88.44122360884656,% change,8053,688
Colorado,Huerfano,-0.36998168410246446,% change,8055,693
Colorado,Jackson,0.04276498137686844,% change,8057,701
Colorado,Jefferson,-6.283208928300002,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,-61.793046053385936,% change,8063,716
Colorado,Lake,-65.46333613048223,% change,8065,721
Colorado,La Plata,-3.9542122686308065,% change,8067,727
Colorado,Larimer,-13.987291377759393,% change,8069,734
Colorado,Las Animas,0.002208781524180692,% change,8071,741
Colorado,Lincoln,-0.8656887947801966,% change,8073,747
Colorado,Logan,-2.6450861960370675,% change,8075,749
Colorado,Mesa,-1.607980785694195,% change,8077,751
Colorado,Mineral,-85.58825584912643,% change,8079,757
Colorado,Moffat,0.004332815022016448,% change,8081,758
Colorado,Montezuma,-4.802765502911796,% change,8083,766
Colorado,Montrose,4.0318042338902655,% change,8085,769
Colorado,Morgan,0.5854687277869081,% change,8087,775
Colorado,Otero,-2.8917360445023856,% change,8089,777
Colorado,Ouray,-10.265258248467745,% change,8091,780
Colorado,Park,-8.214742441452922,% change,8093,782
Colorado,Phillips,-86.20271250171069,% change,8095,785
Colorado,Pitkin,-9.58416650103906,% change,8097,789
Colorado,Prowers,-22.27760778591469,% change,8099,792
Colorado,Pueblo,-11.095698498899994,% change,8101,795
Colorado,Rio Blanco,-0.18283133348301103,% change,8103,799
Colorado,Rio Grande,40.10140731105062,% change,8105,802
Colorado,Routt,-16.1063921694425,% change,8107,809
Colorado,Saguache,-82.62306068703616,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,4.541654778404195,% change,8113,359
Colorado,Sedgwick,-4.010302351944079,% change,8115,366
Colorado,Summit,-44.33852905714572,% change,8117,373
Colorado,Teller,-43.32577269666948,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,-5.678068251775139,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,1.9992207814160285,% change,9001,410
Connecticut,Hartford,-7.8311848933765,% change,9003,432
Connecticut,Litchfield,13.381786075415272,% change,9005,443
Connecticut,Middlesex,-5.213730747905706,% change,9007,450
Connecticut,New Haven,-1.9526835311406487,% change,9009,466
Connecticut,New London,21.594884392803763,% change,9011,517
Connecticut,Tolland,27.65065289261307,% change,9013,524
Connecticut,Windham,-15.771286508229993,% change,9015,529
Delaware,Kent,-16.306320095077037,% change,10001,532
Delaware,New Castle,-26.296417518587244,% change,10003,536
Delaware,Sussex,-20.822330608682748,% change,10005,609
District of Columbia,District of Columbia,-12.103167137936826,% change,11001,630
Florida,Alachua,-24.93353419556647,% change,12001,639
Florida,Baker,-2.841030529500492,% change,12003,641
Florida,Bay,-9.014047677698443,% change,12005,658
Florida,Bradford,-5.647501783770094,% change,12007,665
Florida,Brevard,-0.3800065380827521,% change,12009,686
Florida,Broward,-16.596531614439623,% change,12011,695
Florida,Calhoun,-34.058084553856546,% change,12013,699
Florida,Charlotte,-5.754751912651108,% change,12015,743
Florida,Citrus,6.431978893590359,% change,12017,843
Florida,Clay,8.279941412351997,% change,12019,852
Florida,Collier,2.588543560278701,% change,12021,894
Florida,Columbia,0.3591932703546746,% change,12023,903
Florida,DeSoto,-13.066493410388674,% change,12027,906
Florida,Dixie,54.74871581621162,% change,12029,918
Florida,Duval,-0.098938058960474,% change,12031,924
Florida,Escambia,-7.961637548411747,% change,12033,931
Florida,Flagler,-1.0247776714503398,% change,12035,935
Florida,Franklin,-3.700226869321236,% change,12037,937
Florida,Gadsden,-21.17368186772296,% change,12039,938
Florida,Gilchrist,-25.087268643499744,% change,12041,939
Florida,Glades,116.35999270072477,% change,12043,940
Florida,Gulf,13.971386455011658,% change,12045,941
Florida,Hamilton,-0.5015492579339722,% change,12047,942
Florida,Hardee,12.339332054919945,% change,12049,943
Florida,Hendry,0.6632194746243006,% change,12051,944
Florida,Hernando,12.691315043937335,% change,12053,945
Florida,Highlands,-14.153860361467569,% change,12055,946
Florida,Hillsborough,-0.9740288059798702,% change,12057,947
Florida,Holmes,-15.838890392460184,% change,12059,948
Florida,Indian River,-26.592616723646607,% change,12061,949
Florida,Jackson,-18.541519291041894,% change,12063,950
Florida,Jefferson,0.0,% change,12065,951
Florida,Lafayette,-23.455920810119487,% change,12067,952
Florida,Lake,-9.76788419610188,% change,12069,953
Florida,Lee,-7.70600240731122,% change,12071,954
Florida,Leon,-6.653540031309236,% change,12073,955
Florida,Levy,-19.602327260116223,% change,12075,956
Florida,Liberty,-0.4524380370074066,% change,12077,957
