State,County,White low access to store (%) 2015 (PCT_LACCESS_WHITE15),Units,FIPS,FID
Arkansas,Lincoln,15.436931745263266,Percent,5079,244
Arkansas,Little River,8.88691206182545,Percent,5081,251
Arkansas,Logan,8.65346233019465,Percent,5083,258
Arkansas,Lonoke,15.29118695838156,Percent,5085,268
Arkansas,Madison,23.377663364939618,Percent,5087,277
Arkansas,Marion,13.088852739081547,Percent,5089,282
Arkansas,Miller,26.1047158616978,Percent,5091,287
Arkansas,Mississippi,7.922482670664824,Percent,5093,294
Arkansas,Monroe,8.069133451354903,Percent,5095,300
Arkansas,Montgomery,21.42494364885159,Percent,5097,304
Arkansas,Nevada,20.493949190515284,Percent,5099,307
Arkansas,Newton,41.83959393867323,Percent,5101,311
Arkansas,Ouachita,13.944094573064547,Percent,5103,316
Arkansas,Perry,13.77214846936132,Percent,5105,318
Arkansas,Phillips,16.515680220492623,Percent,5107,322
Arkansas,Pike,20.60085805432114,Percent,5109,327
Arkansas,Poinsett,29.071124165339953,Percent,5111,333
Arkansas,Polk,34.43043748408871,Percent,5113,337
Arkansas,Pope,11.53422212931428,Percent,5115,340
Arkansas,Prairie,33.72029394912748,Percent,5117,345
Arkansas,Pulaski,13.931705767173911,Percent,5119,350
Arkansas,Randolph,30.692758689119433,Percent,5121,353
Arkansas,St. Francis,8.732119323862376,Percent,5123,357
Arkansas,Saline,19.960228323591462,Percent,5125,360
Arkansas,Scott,15.766979644615153,Percent,5127,364
Arkansas,Searcy,32.17865529594546,Percent,5129,372
Arkansas,Sebastian,8.475152770148238,Percent,5131,378
Arkansas,Sevier,15.722670831450289,Percent,5133,390
Arkansas,Sharp,21.82843950169984,Percent,5135,394
Arkansas,Stone,24.33989756376174,Percent,5137,399
Arkansas,Union,14.582470617032495,Percent,5139,403
Arkansas,Van Buren,9.833304347042846,Percent,5141,407
Arkansas,Washington,11.43368475635166,Percent,5143,417
Arkansas,White,10.895424207217031,Percent,5145,428
Arkansas,Woodruff,4.63580454942281,Percent,5147,435
Arkansas,Yell,11.855494405107098,Percent,5149,438
California,Alameda,3.6373519768712637,Percent,6001,457
California,Alpine,44.56013399764366,Percent,6003,461
California,Amador,10.653367577898113,Percent,6005,472
California,Butte,17.879544810682138,Percent,6007,486
California,Calaveras,8.869935125455966,Percent,6009,489
California,Colusa,6.122778611204445,Percent,6011,497
California,Contra Costa,13.261103291501728,Percent,6013,503
