State,County,SNAP-authorized stores per 1000 pop (% change) 2012-17 (PCH_SNAPSPTH_12_17),Units,FIPS,FID
Florida,Liberty,25.804193268568316,% change,12077,957
Florida,Madison,4.834577199528347,% change,12079,958
Florida,Manatee,-7.844752777962925,% change,12081,959
Florida,Marion,-10.628714020794526,% change,12083,960
Florida,Martin,6.2474733834928,% change,12085,961
Florida,Miami-Dade,-15.828336564181336,% change,12086,962
Florida,Monroe,19.028431819540952,% change,12087,963
Florida,Nassau,-9.782280194871925,% change,12089,964
Florida,Okaloosa,16.801111925610687,% change,12091,965
Florida,Okeechobee,10.473766173937461,% change,12093,966
Florida,Orange,-7.844839002376551,% change,12095,967
Florida,Osceola,-13.808029916655947,% change,12097,968
Florida,Palm Beach,-4.3668175584168,% change,12099,969
Florida,Pasco,-15.706076850070335,% change,12101,970
Florida,Pinellas,-10.678182793402065,% change,12103,971
Florida,Polk,-9.927378883477026,% change,12105,972
Florida,Putnam,-4.177785732655861,% change,12107,973
Florida,St. Johns,-4.011671197404816,% change,12109,974
Florida,St. Lucie,-2.8220408910590686,% change,12111,975
Florida,Santa Rosa,2.4307310079581512,% change,12113,976
Florida,Sarasota,-5.844160480431436,% change,12115,977
Florida,Seminole,-12.994799932362397,% change,12117,978
Florida,Sumter,-13.555881665527764,% change,12119,979
Florida,Suwannee,1.6052660977768602,% change,12121,980
Florida,Taylor,2.7455611055026035,% change,12123,981
Florida,Union,-7.125292124427209,% change,12125,982
Florida,Volusia,-10.405306883962389,% change,12127,983
Florida,Wakulla,4.803046268799708,% change,12129,984
Florida,Walton,-6.757136705590342,% change,12131,985
Florida,Washington,-16.502414410176865,% change,12133,986
Georgia,Appling,-7.549744266471689,% change,13001,987
Georgia,Atkinson,-19.83835606150324,% change,13003,988
Georgia,Bacon,-4.837799065204307,% change,13005,989
Georgia,Baker,40.25,% change,13007,990
Georgia,Baldwin,1.2823981541995035,% change,13009,991
Georgia,Banks,7.095839894655725,% change,13011,992
Georgia,Barrow,-19.28068745695706,% change,13013,993
Georgia,Bartow,-5.405484499353124,% change,13015,994
Georgia,Ben Hill,-4.748628636602257,% change,13017,995
Georgia,Berrien,-13.543532705482905,% change,13019,996
Georgia,Bibb,2.4349054976447277,% change,13021,997
Georgia,Bleckley,-20.1050212533447,% change,13023,998
Georgia,Brantley,26.417856852935156,% change,13025,999
Georgia,Brooks,-15.108055542757857,% change,13027,565
Georgia,Bryan,-8.19533867611707,% change,13029,573
Georgia,Bulloch,-4.815204529392871,% change,13031,579
Georgia,Burke,-7.8172674379526175,% change,13033,583
Georgia,Butts,15.920355586331372,% change,13035,588
Georgia,Calhoun,-37.67478259480784,% change,13037,592
Georgia,Camden,-12.354947749696949,% change,13039,603
Georgia,Candler,35.97934812810323,% change,13043,616
Georgia,Carroll,-5.666864876279542,% change,13045,620
Georgia,Catoosa,7.16077231540742,% change,13047,626
Georgia,Charlton,2.9529023866420654,% change,13049,635
Georgia,Chatham,13.734007256664304,% change,13051,646
Georgia,Chattahoochee,26.046601566276735,% change,13053,656
Georgia,Chattooga,-13.255728445404833,% change,13055,659
Georgia,Cherokee,-1.9932387848113662,% change,13057,662
Georgia,Clarke,-0.46585648760627413,% change,13059,666
Georgia,Clay,-13.168922757038887,% change,13061,670
Georgia,Clayton,-15.968341325149519,% change,13063,673
Georgia,Clinch,-8.81780753743837,% change,13065,676
Georgia,Cobb,-11.282228096850513,% change,13067,680
Georgia,Coffee,-12.090189709104497,% change,13069,684
Georgia,Colquitt,21.178433143799886,% change,13071,689
Georgia,Columbia,8.165668460994729,% change,13073,692
Georgia,Cook,-9.706376593384766,% change,13075,697
Georgia,Coweta,-8.593468614142324,% change,13077,700
Georgia,Crawford,-14.45827269702457,% change,13079,704
Georgia,Crisp,14.027827288120468,% change,13081,707
Georgia,Dade,8.140495005529552,% change,13083,708
Georgia,Dawson,6.19516628093387,% change,13085,713
Georgia,Decatur,11.859092305740415,% change,13087,714
Georgia,DeKalb,-11.8169758577736,% change,13089,718
Georgia,Dodge,-4.70633941666102,% change,13091,720
Georgia,Dooly,8.532504125668758,% change,13093,724
Georgia,Dougherty,6.341495133023136,% change,13095,728
Georgia,Douglas,-7.365779436782065,% change,13097,731
Georgia,Early,-21.604321604321605,% change,13099,735
Georgia,Echols,-0.7897188346883516,% change,13101,737
Georgia,Effingham,-12.406008076932872,% change,13103,742
Georgia,Elbert,-15.749783861442593,% change,13105,746
Georgia,Emanuel,-6.658389694341784,% change,13107,750
Georgia,Evans,-1.5823482479388757,% change,13109,754
Georgia,Fannin,-8.806033606299788,% change,13111,755
Georgia,Fayette,0.935657072325043,% change,13113,760
Georgia,Floyd,-15.29040613469134,% change,13115,764
Georgia,Forsyth,-15.939869715000935,% change,13117,768
Georgia,Franklin,-4.310989526846563,% change,13119,772
Georgia,Fulton,-14.04888336124358,% change,13121,779
Georgia,Gilmer,5.030784563939672,% change,13123,781
Georgia,Glascock,29.616006050397054,% change,13125,783
Georgia,Glynn,-0.10877314358274605,% change,13127,793
Georgia,Gordon,-7.6373421695022845,% change,13129,796
Georgia,Grady,-15.335915142514928,% change,13131,797
Georgia,Greene,-13.069607733271832,% change,13133,800
Georgia,Gwinnett,-9.769762523651963,% change,13135,804
Georgia,Habersham,6.439293647766275,% change,13137,806
Georgia,Hall,-11.284340946467486,% change,13139,808
Georgia,Hancock,-17.762553135300127,% change,13141,810
Georgia,Haralson,7.036973072550136,% change,13143,813
Georgia,Harris,18.90736732513216,% change,13145,814
Georgia,Hart,-2.052764465477093,% change,13147,816
Georgia,Heard,-0.8269394714407529,% change,13149,817
