State,County,Children low access to store (%) 2015 (PCT_LACCESS_CHILD15),Units,FIPS,FID
Colorado,Kiowa,22.46065813124914,Percent,8061,711
Colorado,Kit Carson,2.5535976441526116,Percent,8063,716
Colorado,Lake,6.164718420991587,Percent,8065,721
Colorado,La Plata,2.896437117327288,Percent,8067,727
Colorado,Larimer,4.476662136059707,Percent,8069,734
Colorado,Las Animas,8.118318285854903,Percent,8071,741
Colorado,Lincoln,5.407505831723212,Percent,8073,747
Colorado,Logan,4.867908768601347,Percent,8075,749
Colorado,Mesa,7.928802158891653,Percent,8077,751
Colorado,Mineral,1.9626287452125282,Percent,8079,757
Colorado,Moffat,6.6265128290414355,Percent,8081,758
Colorado,Montezuma,4.629496815639945,Percent,8083,766
Colorado,Montrose,5.5987343780486,Percent,8085,769
Colorado,Morgan,4.096702665622643,Percent,8087,775
Colorado,Otero,7.091222001764484,Percent,8089,777
Colorado,Ouray,0.8819335992603788,Percent,8091,780
Colorado,Park,9.823443188196347,Percent,8093,782
Colorado,Phillips,1.1212087666219652,Percent,8095,785
Colorado,Pitkin,1.6713341017963963,Percent,8097,789
Colorado,Prowers,6.321038713954673,Percent,8099,792
Colorado,Pueblo,9.294576105579173,Percent,8101,795
Colorado,Rio Blanco,1.7874949913671465,Percent,8103,799
Colorado,Rio Grande,2.3401966503679357,Percent,8105,802
Colorado,Routt,4.284581302889149,Percent,8107,809
Colorado,Saguache,3.9309615309902917,Percent,8109,811
Colorado,San Juan,18.228619029088986,Percent,8111,347
Colorado,San Miguel,1.8203496266509311,Percent,8113,359
Colorado,Sedgwick,3.194732871544792,Percent,8115,366
Colorado,Summit,3.229883959661416,Percent,8117,373
Colorado,Teller,3.252868832066544,Percent,8119,375
Colorado,Washington,13.188936773612921,Percent,8121,377
Colorado,Weld,4.040951007154909,Percent,8123,382
Colorado,Yuma,6.001581771742965,Percent,8125,385
Connecticut,Fairfield,7.66341776918769,Percent,9001,410
Connecticut,Hartford,6.402142955196216,Percent,9003,432
Connecticut,Litchfield,4.246243192257236,Percent,9005,443
Connecticut,Middlesex,6.899656282629409,Percent,9007,450
Connecticut,New Haven,6.381848683834988,Percent,9009,466
Connecticut,New London,7.322355093539653,Percent,9011,517
Connecticut,Tolland,6.988324433746258,Percent,9013,524
Connecticut,Windham,3.620531420640668,Percent,9015,529
Delaware,Kent,3.9444406435761263,Percent,10001,532
Delaware,New Castle,5.2513767896821975,Percent,10003,536
Delaware,Sussex,2.6644184328891427,Percent,10005,609
District of Columbia,District of Columbia,0.5740935573375706,Percent,11001,630
Florida,Alachua,2.882535181772779,Percent,12001,639
Florida,Baker,7.672622549583884,Percent,12003,641
Florida,Bay,7.720142499797693,Percent,12005,658
Florida,Bradford,1.1089024399769565,Percent,12007,665
Florida,Brevard,8.110631894599853,Percent,12009,686
Florida,Broward,2.1826058408243165,Percent,12011,695
Florida,Calhoun,3.4518007604995216,Percent,12013,699
Florida,Charlotte,6.1480124794570195,Percent,12015,743
Florida,Citrus,5.120862780417139,Percent,12017,843
Florida,Clay,6.264795848372724,Percent,12019,852
Florida,Collier,5.128877069093152,Percent,12021,894
Florida,Columbia,4.14019274431892,Percent,12023,903
Florida,DeSoto,2.2878712302091015,Percent,12027,906
Florida,Dixie,1.253446959681135,Percent,12029,918
Florida,Duval,6.052527421859966,Percent,12031,924
Florida,Escambia,7.780546516172892,Percent,12033,931
Florida,Flagler,7.223303840778204,Percent,12035,935
Florida,Franklin,0.4070719489753684,Percent,12037,937
Florida,Gadsden,2.571350369750652,Percent,12039,938
Florida,Gilchrist,0.07550800081175985,Percent,12041,939
Florida,Glades,10.303996150118753,Percent,12043,940
Florida,Gulf,3.2816087373627374,Percent,12045,941
Florida,Hamilton,4.905689702105831,Percent,12047,942
Florida,Hardee,9.140595951570374,Percent,12049,943
Florida,Hendry,6.585878768679944,Percent,12051,944
Florida,Hernando,7.1436314717008536,Percent,12053,945
Florida,Highlands,6.166289583876106,Percent,12055,946
Florida,Hillsborough,6.015412271169752,Percent,12057,947
Florida,Holmes,3.7966707661175088,Percent,12059,948
Florida,Indian River,6.078471093975303,Percent,12061,949
Florida,Jackson,1.102059422385641,Percent,12063,950
Florida,Jefferson,3.138302062042585,Percent,12065,951
Florida,Lafayette,1.3519461292632131,Percent,12067,952
Florida,Lake,5.613107238155844,Percent,12069,953
Florida,Lee,5.222377140215869,Percent,12071,954
Florida,Leon,6.620964325441091,Percent,12073,955
Florida,Levy,1.4319011401017596,Percent,12075,956
Florida,Liberty,7.342954373238482,Percent,12077,957
Florida,Madison,4.891141716485612,Percent,12079,958
Florida,Manatee,3.6416427321733216,Percent,12081,959
Florida,Marion,5.435957415716606,Percent,12083,960
Florida,Martin,4.830717661477331,Percent,12085,961
Florida,Miami-Dade,1.3018108784392903,Percent,12086,962
Florida,Monroe,4.076470002860816,Percent,12087,963
Florida,Nassau,4.669316238147066,Percent,12089,964
Florida,Okaloosa,8.1301625898931,Percent,12091,965
Florida,Okeechobee,11.517916873060106,Percent,12093,966
Florida,Orange,4.542456121994169,Percent,12095,967
Florida,Osceola,5.815238648524331,Percent,12097,968
Florida,Palm Beach,3.6937770112883546,Percent,12099,969
Florida,Pasco,4.99963424054698,Percent,12101,970
Florida,Pinellas,2.5755077575521144,Percent,12103,971
Florida,Polk,7.62832074891826,Percent,12105,972
Florida,Putnam,5.831651138765612,Percent,12107,973
Florida,St. Johns,5.290936077733202,Percent,12109,974
Florida,St. Lucie,8.009643172471085,Percent,12111,975
Florida,Santa Rosa,10.29858513005886,Percent,12113,976
Florida,Sarasota,3.959964174600551,Percent,12115,977
Florida,Seminole,6.797491136337251,Percent,12117,978
Florida,Sumter,1.1988104807261828,Percent,12119,979
