State,County,Households no car & low access to store (% change) 2010 - 15 (PCH_LACCESS_HHNV_10_15),Units,FIPS,FID
Colorado,Garfield,76.07872897845533,% change,8045,667
Colorado,Gilpin,54.58560828213576,% change,8047,672
Colorado,Grand,-42.724322694617136,% change,8049,677
Colorado,Gunnison,-3.6424169361746603,% change,8051,682
Colorado,Hinsdale,0,% change,8053,688
Colorado,Huerfano,-20.990612753664305,% change,8055,693
Colorado,Jackson,58.17669676896965,% change,8057,701
Colorado,Jefferson,-12.32653249950342,% change,8059,706
Colorado,Kiowa,-7.236820692577453,% change,8061,711
Colorado,Kit Carson,-32.630002293936904,% change,8063,716
Colorado,Lake,-81.89273726239894,% change,8065,721
Colorado,La Plata,-19.450307481586567,% change,8067,727
Colorado,Larimer,5.553588997506645,% change,8069,734
Colorado,Las Animas,-30.529081921040714,% change,8071,741
Colorado,Lincoln,-7.755986011301766,% change,8073,747
Colorado,Logan,79.79827857521734,% change,8075,749
Colorado,Mesa,13.748760537141477,% change,8077,751
Colorado,Mineral,0,% change,8079,757
Colorado,Moffat,-36.17964909100621,% change,8081,758
Colorado,Montezuma,-10.702636666092365,% change,8083,766
Colorado,Montrose,54.48517549251547,% change,8085,769
Colorado,Morgan,9.8816908031852,% change,8087,775
Colorado,Otero,14.77839585376311,% change,8089,777
Colorado,Ouray,154.88644133701794,% change,8091,780
Colorado,Park,-54.0295522464464,% change,8093,782
Colorado,Phillips,-12.453560260794953,% change,8095,785
Colorado,Pitkin,68.45545413129302,% change,8097,789
Colorado,Prowers,-15.52536366392158,% change,8099,792
Colorado,Pueblo,14.261838645005035,% change,8101,795
Colorado,Rio Blanco,-51.99866961130256,% change,8103,799
Colorado,Rio Grande,319.4455084016794,% change,8105,802
Colorado,Routt,-6.12975327846125,% change,8107,809
Colorado,Saguache,-72.16834600313645,% change,8109,811
Colorado,San Juan,-46.995902999619986,% change,8111,347
Colorado,San Miguel,4.6371906986802545,% change,8113,359
Colorado,Sedgwick,86.65532921529491,% change,8115,366
Colorado,Summit,-16.28992902886301,% change,8117,373
Colorado,Teller,42.84090940982838,% change,8119,375
Colorado,Washington,-62.07442527129932,% change,8121,377
Colorado,Weld,57.80567647170576,% change,8123,382
Colorado,Yuma,-32.591993465260764,% change,8125,385
Connecticut,Fairfield,3.105363416086951,% change,9001,410
Connecticut,Hartford,-8.76257025383826,% change,9003,432
Connecticut,Litchfield,29.280715781480605,% change,9005,443
Connecticut,Middlesex,-10.54425221356806,% change,9007,450
Connecticut,New Haven,4.485526616830489,% change,9009,466
Connecticut,New London,54.22665755639545,% change,9011,517
Connecticut,Tolland,62.38967262541018,% change,9013,524
Connecticut,Windham,-6.606746273361781,% change,9015,529
Delaware,Kent,-14.422417515545083,% change,10001,532
Delaware,New Castle,-45.87712511834178,% change,10003,536
Delaware,Sussex,-8.374793576434394,% change,10005,609
District of Columbia,District of Columbia,-34.47221850672252,% change,11001,630
Florida,Alachua,8.570077750596303,% change,12001,639
Florida,Baker,89.86545093582556,% change,12003,641
Florida,Bay,1.6909839779682725,% change,12005,658
Florida,Bradford,28.548861334126908,% change,12007,665
Florida,Brevard,34.14997414751111,% change,12009,686
Florida,Broward,-25.444532297413236,% change,12011,695
Florida,Calhoun,-13.564950597666956,% change,12013,699
Florida,Charlotte,4.079566044868612,% change,12015,743
Florida,Citrus,23.600758299952656,% change,12017,843
Florida,Clay,10.587336791068495,% change,12019,852
Florida,Collier,35.97417727315015,% change,12021,894
Florida,Columbia,6.642944730991659,% change,12023,903
Florida,DeSoto,0.2056906090055218,% change,12027,906
Florida,Dixie,54.327461052581704,% change,12029,918
Florida,Duval,13.229317003881597,% change,12031,924
Florida,Escambia,-18.693722103652554,% change,12033,931
Florida,Flagler,6.005308001438903,% change,12035,935
Florida,Franklin,79.03947763582696,% change,12037,937
Florida,Gadsden,-4.2436503253954285,% change,12039,938
Florida,Gilchrist,56.9624518876389,% change,12041,939
Florida,Glades,1274.3956178986834,% change,12043,940
Florida,Gulf,-31.656191710551063,% change,12045,941
Florida,Hamilton,57.07558244627015,% change,12047,942
Florida,Hardee,72.89741177045168,% change,12049,943
Florida,Hendry,-14.758853220169973,% change,12051,944
Florida,Hernando,73.95281519724706,% change,12053,945
Florida,Highlands,16.5266242278855,% change,12055,946
Florida,Hillsborough,6.581519203159927,% change,12057,947
Florida,Holmes,-10.472119272992435,% change,12059,948
Florida,Indian River,-18.39785915845334,% change,12061,949
Florida,Jackson,-3.436952220174419,% change,12063,950
Florida,Jefferson,-12.6511238280192,% change,12065,951
Florida,Lafayette,81.79184433769751,% change,12067,952
Florida,Lake,54.281263351774875,% change,12069,953
Florida,Lee,6.656092298708521,% change,12071,954
Florida,Leon,-18.760583610552604,% change,12073,955
Florida,Levy,28.250939559473366,% change,12075,956
Florida,Liberty,-35.570842880515734,% change,12077,957
Florida,Madison,-1.2171328218647486,% change,12079,958
Florida,Manatee,18.49840407137622,% change,12081,959
Florida,Marion,29.47558126937892,% change,12083,960
Florida,Martin,6.694877264490195,% change,12085,961
Florida,Miami-Dade,-0.5046101270407375,% change,12086,962
Florida,Monroe,-13.634670241362103,% change,12087,963
Florida,Nassau,-7.354445609911135,% change,12089,964
Florida,Okaloosa,32.868813822487404,% change,12091,965
Florida,Okeechobee,8.094202168558514,% change,12093,966
Florida,Orange,15.988867725591657,% change,12095,967
Florida,Osceola,29.217022488093164,% change,12097,968
Florida,Palm Beach,-0.4940238258621337,% change,12099,969
Florida,Pasco,38.97479426447188,% change,12101,970
Florida,Pinellas,-4.893197713456664,% change,12103,971
Florida,Polk,40.35397251493862,% change,12105,972
Florida,Putnam,12.356757224210401,% change,12107,973
Florida,St. Johns,25.037967076574446,% change,12109,974
Florida,St. Lucie,38.82246616386683,% change,12111,975
Florida,Santa Rosa,34.89760556852987,% change,12113,976
Florida,Sarasota,-4.270265703000603,% change,12115,977
Florida,Seminole,-14.878398066856732,% change,12117,978
Florida,Sumter,32.54968402845971,% change,12119,979
Florida,Suwannee,-4.18672484185928,% change,12121,980
Florida,Taylor,92.68052172522142,% change,12123,981
Florida,Union,102.36331230900484,% change,12125,982
Florida,Volusia,15.5136707725282,% change,12127,983
Florida,Wakulla,22.3354595691474,% change,12129,984
Florida,Walton,12.75782205606081,% change,12131,985
Florida,Washington,37.39225624075073,% change,12133,986
Georgia,Appling,6.75462981625312,% change,13001,987
Georgia,Atkinson,21.62243715126193,% change,13003,988
Georgia,Bacon,43.856095592923936,% change,13005,989
Georgia,Baker,-39.9488196852451,% change,13007,990
Georgia,Baldwin,5.427830814710688,% change,13009,991
Georgia,Banks,30.948136812246286,% change,13011,992
Georgia,Barrow,1.619841425183672,% change,13013,993
Georgia,Bartow,18.66829776567803,% change,13015,994
Georgia,Ben Hill,23.71957192598447,% change,13017,995
Georgia,Berrien,61.71594214070001,% change,13019,996
Georgia,Bibb,44.594218678485674,% change,13021,997
Georgia,Bleckley,11.867523125084386,% change,13023,998
Georgia,Brantley,-15.421266946030624,% change,13025,999
Georgia,Brooks,48.52935577450841,% change,13027,565
Georgia,Bryan,22.94794038446545,% change,13029,573
Georgia,Bulloch,-6.213556005015039,% change,13031,579
Georgia,Burke,-8.487485370949562,% change,13033,583
Georgia,Butts,-24.52911579938475,% change,13035,588
Georgia,Calhoun,-24.845640329542075,% change,13037,592
Georgia,Camden,37.089036377767606,% change,13039,603
Georgia,Candler,74.33945024267355,% change,13043,616
Georgia,Carroll,8.943739181971267,% change,13045,620
Georgia,Catoosa,-17.06812660396888,% change,13047,626
Georgia,Charlton,-4.856451998681822,% change,13049,635
Georgia,Chatham,7.620786475402418,% change,13051,646
Georgia,Chattahoochee,19.139701552247367,% change,13053,656
Georgia,Chattooga,38.377688716370606,% change,13055,659
Georgia,Cherokee,15.823025102641358,% change,13057,662
Georgia,Clarke,-16.758919997841872,% change,13059,666
Georgia,Clay,108.3699892476468,% change,13061,670
Georgia,Clayton,6.693097335427792,% change,13063,673
Georgia,Clinch,72.44531372538704,% change,13065,676
Georgia,Cobb,21.503238655224553,% change,13067,680
Georgia,Coffee,47.48541292694064,% change,13069,684
Georgia,Colquitt,12.112022556524622,% change,13071,689
Georgia,Columbia,13.1888312954264,% change,13073,692
Georgia,Cook,-8.315795836268029,% change,13075,697
Georgia,Coweta,-9.486989132689818,% change,13077,700
Georgia,Crawford,2.28837508768479,% change,13079,704
Georgia,Crisp,-58.311981837921266,% change,13081,707
Georgia,Dade,14.965155334198446,% change,13083,708
Georgia,Dawson,151.13519547078815,% change,13085,713
Georgia,Decatur,-16.739137131947533,% change,13087,714
Georgia,DeKalb,-2.074386732759363,% change,13089,718
Georgia,Dodge,42.86267315785777,% change,13091,720
Georgia,Dooly,-25.83766894494589,% change,13093,724
Georgia,Dougherty,5.683512641842444,% change,13095,728
Georgia,Douglas,46.26399114581663,% change,13097,731
Georgia,Early,35.11901078341502,% change,13099,735
Georgia,Echols,-59.713797158705496,% change,13101,737
Georgia,Effingham,17.557891506495505,% change,13103,742
Georgia,Elbert,-1.6370942200181462,% change,13105,746
Georgia,Emanuel,19.457442021305376,% change,13107,750
Georgia,Evans,-2.7214599671621564,% change,13109,754
Georgia,Fannin,16.915098483644925,% change,13111,755
Georgia,Fayette,-27.38683163751577,% change,13113,760
Georgia,Floyd,-31.87999453620772,% change,13115,764
Georgia,Forsyth,-0.43482854252510406,% change,13117,768
Georgia,Franklin,-7.812363706523278,% change,13119,772
Georgia,Fulton,23.594938183072927,% change,13121,779
Georgia,Gilmer,42.40580074805118,% change,13123,781
Georgia,Glascock,-0.6327744779004796,% change,13125,783
Georgia,Glynn,10.4955503410134,% change,13127,793
Georgia,Gordon,-29.10742540101011,% change,13129,796
Georgia,Grady,58.9817934747879,% change,13131,797
Georgia,Greene,35.78470838794268,% change,13133,800
Georgia,Gwinnett,7.115712981560112,% change,13135,804
Georgia,Habersham,8.310465074712473,% change,13137,806
Georgia,Hall,-14.67119712494404,% change,13139,808
Georgia,Hancock,-41.06842257311887,% change,13141,810
Georgia,Haralson,29.61324312177368,% change,13143,813
Georgia,Harris,-35.924573755718406,% change,13145,814
Georgia,Hart,-20.81828742871372,% change,13147,816
Georgia,Heard,34.66818213196782,% change,13149,817
Georgia,Henry,42.023111040842615,% change,13151,820
Georgia,Houston,13.718914287564498,% change,13153,823
Georgia,Irwin,-69.64031495963418,% change,13155,825
Georgia,Jackson,56.2519411626541,% change,13157,828
Georgia,Jasper,2.535511293576448,% change,13159,830
Georgia,Jeff Davis,59.070430646004844,% change,13161,832
Georgia,Jefferson,33.42715535554113,% change,13163,834
Georgia,Jenkins,83.30361068951898,% change,13165,835
Georgia,Johnson,14.807007043835565,% change,13167,837
Georgia,Jones,15.431824338175234,% change,13169,839
Georgia,Lamar,63.71414826833926,% change,13171,841
Georgia,Lanier,273.0873493596912,% change,13173,845
Georgia,Laurens,33.229391819514206,% change,13175,847
Georgia,Lee,0.7434333865309577,% change,13177,849
Georgia,Liberty,-2.0846798005840426,% change,13179,855
Georgia,Lincoln,24.83490379486964,% change,13181,857
Georgia,Long,3.6632877282624308,% change,13183,860
Georgia,Lowndes,3.2040107440518115,% change,13185,863
Georgia,Lumpkin,16.545838723699,% change,13187,865
Georgia,McDuffie,-9.217553553600343,% change,13189,868
Georgia,McIntosh,-13.921702163964397,% change,13191,871
Georgia,Macon,10.4817893895084,% change,13193,874
Georgia,Madison,-13.668211738786418,% change,13195,875
Georgia,Marion,-56.399595198608075,% change,13197,877
Georgia,Meriwether,12.622938720347213,% change,13199,879
Georgia,Miller,59.94847065127394,% change,13201,881
Georgia,Mitchell,5.258291549781189,% change,13205,883
Georgia,Monroe,9.753575658554553,% change,13207,885
Georgia,Montgomery,-21.450357367243793,% change,13209,887
Georgia,Morgan,-19.7924050425396,% change,13211,890
Georgia,Murray,-2.7429116771406017,% change,13213,892
Georgia,Muscogee,-8.203258857183512,% change,13215,896
Georgia,Newton,26.86163002332072,% change,13217,899
Georgia,Oconee,-1.628727642245011,% change,13219,901
Georgia,Oglethorpe,-50.449986758240925,% change,13221,905
Georgia,Paulding,73.42683771503029,% change,13223,908
Georgia,Peach,-26.687846722209557,% change,13225,910
Georgia,Pickens,-39.157803635729074,% change,13227,912
Georgia,Pierce,-10.529975728981086,% change,13229,915
Georgia,Pike,34.259101536575045,% change,13231,7
Georgia,Polk,10.796549892145906,% change,13233,8
Georgia,Pulaski,108.33035838202947,% change,13235,11
Georgia,Putnam,-31.680146458304286,% change,13237,13
Georgia,Quitman,-23.255069946022882,% change,13239,16
Georgia,Rabun,14.840037638586526,% change,13241,18
Georgia,Randolph,104.24771092864806,% change,13243,23
Georgia,Richmond,96.50252235609838,% change,13245,24
Georgia,Rockdale,-35.27573305312931,% change,13247,28
Georgia,Schley,12.910758068416678,% change,13249,31
Georgia,Screven,-10.744983769073393,% change,13251,34
Georgia,Seminole,-28.105226753052868,% change,13253,38
Georgia,Spalding,-20.576204197355196,% change,13255,41
Georgia,Stephens,11.535831180370684,% change,13257,45
Georgia,Stewart,-8.178698228834564,% change,13259,48
Georgia,Sumter,-14.239395541170172,% change,13261,52
Georgia,Talbot,-12.310948999262294,% change,13263,57
Georgia,Taliaferro,11.234618519291775,% change,13265,60
Georgia,Tattnall,17.505251984444346,% change,13267,63
Georgia,Taylor,58.21904575430166,% change,13269,69
Georgia,Telfair,-21.58754611499061,% change,13271,75
Georgia,Terrell,11.727538360499246,% change,13273,78
