State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
California,Shasta,18.407352858958877,% change,6089,431
California,Sierra,29.86926866494242,% change,6091,439
California,Siskiyou,21.55925667035196,% change,6093,446
California,Solano,-16.856643240247656,% change,6095,453
California,Sonoma,4.998692106885352,% change,6097,463
California,Stanislaus,0.6694500792412544,% change,6099,473
California,Sutter,3.674506486844078,% change,6101,483
California,Tehama,21.693474113807632,% change,6103,492
California,Trinity,8.456829356198838,% change,6105,500
California,Tulare,-0.8496329689476652,% change,6107,501
California,Tuolumne,17.52488259929235,% change,6109,513
California,Ventura,33.5085987432522,% change,6111,521
California,Yolo,-17.784875264874923,% change,6113,525
California,Yuba,1.5077737489286496,% change,6115,541
Colorado,Adams,24.194376514313127,% change,8001,545
Colorado,Alamosa,-3.3224972165522852,% change,8003,549
Colorado,Arapahoe,-32.160323119524456,% change,8005,558
Colorado,Archuleta,37.88264223642538,% change,8007,560
Colorado,Baca,0.5919271255720223,% change,8009,563
Colorado,Bent,-4.376882727025489,% change,8011,564
Colorado,Boulder,8.432337364244209,% change,8013,570
Colorado,Broomfield,305.8049928199929,% change,8014,577
Colorado,Chaffee,35.83173435406416,% change,8015,582
Colorado,Cheyenne,-14.497048857820724,% change,8017,587
Colorado,Clear Creek,-1.2393708261509888,% change,8019,591
Colorado,Conejos,22.822025090359155,% change,8021,596
Colorado,Costilla,-11.052586686240286,% change,8023,599
Colorado,Crowley,-83.77139721941128,% change,8025,605
Colorado,Custer,-19.11248045311971,% change,8027,610
Colorado,Delta,107.64245834469806,% change,8029,617
Colorado,Denver,-28.965403706089266,% change,8031,628
Colorado,Dolores,462.6428115446133,% change,8033,636
Colorado,Douglas,9.55366894520018,% change,8035,644
Colorado,Eagle,-1.6466753192541355,% change,8037,648
Colorado,Elbert,14.105960037591366,% change,8039,655
Colorado,El Paso,-3.2002274203159833,% change,8041,661
Colorado,Fremont,9.821920286789734,% change,8043,664
Colorado,Garfield,-1.394389958809252,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,-92.99276655280654,% change,8049,677
Colorado,Gunnison,82.26520663347947,% change,8051,682
Colorado,Hinsdale,-87.73624350553078,% change,8053,688
Colorado,Huerfano,12.785476852131291,% change,8055,693
Colorado,Jackson,-0.42542204175089765,% change,8057,701
Colorado,Jefferson,-6.298514553321769,% change,8059,706
Colorado,Kiowa,19.34667882174745,% change,8061,711
Colorado,Kit Carson,-46.33155232102838,% change,8063,716
Colorado,Lake,-70.29025627245123,% change,8065,721
Colorado,La Plata,-1.133807035919212,% change,8067,727
Colorado,Larimer,-8.946866646451657,% change,8069,734
Colorado,Las Animas,3.1336998752856178,% change,8071,741
Colorado,Lincoln,40.82538545480233,% change,8073,747
Colorado,Logan,8.617261287718783,% change,8075,749
Colorado,Mesa,8.317295783031456,% change,8077,751
Colorado,Mineral,-82.41127586190997,% change,8079,757
Colorado,Moffat,26.761492024387152,% change,8081,758
Colorado,Montezuma,-3.69407817805227,% change,8083,766
Colorado,Montrose,22.40566265756135,% change,8085,769
Colorado,Morgan,-16.72185336837621,% change,8087,775
Colorado,Otero,-8.772329434910368,% change,8089,777
Colorado,Ouray,6.766880464319182,% change,8091,780
Colorado,Park,15.898828919611132,% change,8093,782
Colorado,Phillips,-81.5648631176445,% change,8095,785
Colorado,Pitkin,9.31286953711315,% change,8097,789
Colorado,Prowers,-15.806424676436514,% change,8099,792
Colorado,Pueblo,0.24495318840736746,% change,8101,795
Colorado,Rio Blanco,0.2138711202464037,% change,8103,799
Colorado,Rio Grande,130.96007922479848,% change,8105,802
Colorado,Routt,4.969200903739895,% change,8107,809
Colorado,Saguache,-81.42225876012968,% change,8109,811
Colorado,San Juan,112.30323864298785,% change,8111,347
Colorado,San Miguel,45.629902859407004,% change,8113,359
Colorado,Sedgwick,8.669145600574874,% change,8115,366
Colorado,Summit,6.914400161366693,% change,8117,373
Colorado,Teller,-61.74053249907365,% change,8119,375
Colorado,Washington,-14.470388651550211,% change,8121,377
Colorado,Weld,2.487227945688769,% change,8123,382
Colorado,Yuma,-0.3448445437618054,% change,8125,385
Connecticut,Fairfield,25.13135810766498,% change,9001,410
Connecticut,Hartford,-4.767793674961263,% change,9003,432
Connecticut,Litchfield,63.825581025394825,% change,9005,443
Connecticut,Middlesex,4.816695674169046,% change,9007,450
Connecticut,New Haven,13.26344718658966,% change,9009,466
Connecticut,New London,62.48466821032827,% change,9011,517
Connecticut,Tolland,-5.8699698199084915,% change,9013,524
Connecticut,Windham,-25.021216241309137,% change,9015,529
Delaware,Kent,-7.7060430511762865,% change,10001,532
Delaware,New Castle,-26.883434797888405,% change,10003,536
Delaware,Sussex,-5.434669813085997,% change,10005,609
District of Columbia,District of Columbia,-17.96577968143584,% change,11001,630
Florida,Alachua,-10.51670772412501,% change,12001,639
Florida,Baker,1.1242052093700412,% change,12003,641
Florida,Bay,9.829449831303295,% change,12005,658
Florida,Bradford,-1.9749956363246532,% change,12007,665
Florida,Brevard,14.442018552053252,% change,12009,686
Florida,Broward,-10.183581871884499,% change,12011,695
Florida,Calhoun,-32.20893377985839,% change,12013,699
Florida,Charlotte,17.947144643538405,% change,12015,743
Florida,Citrus,19.207269171708443,% change,12017,843
Florida,Clay,24.96809330725587,% change,12019,852
Florida,Collier,16.345811987908686,% change,12021,894
Florida,Columbia,-5.57693458493808,% change,12023,903
Florida,DeSoto,1.9419336570831638,% change,12027,906
Florida,Dixie,17.18192672253917,% change,12029,918
Florida,Duval,25.713362474520874,% change,12031,924
Florida,Escambia,-7.462522983565412,% change,12033,931
Florida,Flagler,24.22749894644199,% change,12035,935
Florida,Franklin,-25.17212319194755,% change,12037,937
Florida,Gadsden,-3.7594286743243397,% change,12039,938
Florida,Gilchrist,46.225558035979375,% change,12041,939
Florida,Glades,330.0115818923723,% change,12043,940
Florida,Gulf,11.177608874152076,% change,12045,941
Florida,Hamilton,4.806477298018721,% change,12047,942
Florida,Hardee,8.746321716284745,% change,12049,943
Florida,Hendry,4.700813157895549,% change,12051,944
Florida,Hernando,35.67824895462755,% change,12053,945
Florida,Highlands,-10.57677289999139,% change,12055,946
Florida,Hillsborough,6.1264411885082,% change,12057,947
Florida,Holmes,-11.775748872111604,% change,12059,948
Florida,Indian River,-6.853855727659533,% change,12061,949
Florida,Jackson,5.923469812134311,% change,12063,950
Florida,Jefferson,-15.742966418690951,% change,12065,951
Florida,Lafayette,94.99037645235273,% change,12067,952
Florida,Lake,17.136275627034983,% change,12069,953
Florida,Lee,7.4729716762795135,% change,12071,954
Florida,Leon,1.5291424570514076,% change,12073,955
Florida,Levy,-17.429290535627015,% change,12075,956
Florida,Liberty,11.573399433351033,% change,12077,957
Florida,Madison,9.487025226958108,% change,12079,958
Florida,Manatee,11.014607052457892,% change,12081,959
Florida,Marion,21.96535654516885,% change,12083,960
Florida,Martin,12.08601703417221,% change,12085,961
Florida,Miami-Dade,-3.829308809542331,% change,12086,962
Florida,Monroe,-4.190825541743074,% change,12087,963
Florida,Nassau,-0.7171512273113948,% change,12089,964
Florida,Okaloosa,22.954536284550127,% change,12091,965
Florida,Okeechobee,33.88523190108301,% change,12093,966
Florida,Orange,12.594865167592474,% change,12095,967
Florida,Osceola,30.065286620768816,% change,12097,968
Florida,Palm Beach,-4.683719483635983,% change,12099,969
Florida,Pasco,13.310443218149864,% change,12101,970
