State,County,American Indian or Alaska Native low access to store (%) 2015 (PCT_LACCESS_NHNA15),Units,FIPS,FID
California,Stanislaus,0.13289218049656976,Percent,6099,473
California,Sutter,0.41063373541512405,Percent,6101,483
California,Tehama,0.48752939462473255,Percent,6103,492
California,Trinity,0.7680627793563397,Percent,6105,500
California,Tulare,0.2251836636663168,Percent,6107,501
California,Tuolumne,0.549718810929497,Percent,6109,513
California,Ventura,0.12440390926033197,Percent,6111,521
California,Yolo,0.09003130392686993,Percent,6113,525
California,Yuba,0.6131213604998461,Percent,6115,541
Colorado,Adams,0.17992425406017917,Percent,8001,545
Colorado,Alamosa,0.12578115306980642,Percent,8003,549
Colorado,Arapahoe,0.07577771700852408,Percent,8005,558
Colorado,Archuleta,0.7472009201981075,Percent,8007,560
Colorado,Baca,0.4128598405199314,Percent,8009,563
Colorado,Bent,0.533722535825907,Percent,8011,564
Colorado,Boulder,0.1046596738096175,Percent,8013,570
Colorado,Broomfield,0.18072495617668233,Percent,8014,577
Colorado,Chaffee,0.05217778139730461,Percent,8015,582
Colorado,Cheyenne,0.27233115712843736,Percent,8017,587
Colorado,Clear Creek,0.20855047284677486,Percent,8019,591
Colorado,Conejos,0.054951803434836966,Percent,8021,596
Colorado,Costilla,2.951191819403462,Percent,8023,599
Colorado,Crowley,0.1202129485639315,Percent,8025,605
Colorado,Custer,0.17986151997642774,Percent,8027,610
Colorado,Delta,0.057079216333115794,Percent,8029,617
Colorado,Denver,0.1303112374315652,Percent,8031,628
Colorado,Dolores,2.9069767305067584,Percent,8033,636
Colorado,Douglas,0.07405965798222129,Percent,8035,644
Colorado,Eagle,0.07567831424176485,Percent,8037,648
Colorado,Elbert,0.1778640825062713,Percent,8039,655
Colorado,El Paso,0.24528084049504312,Percent,8041,661
Colorado,Fremont,0.5049604801737442,Percent,8043,664
Colorado,Garfield,0.29826349264994945,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.0,Percent,8049,677
Colorado,Gunnison,0.08837652208142,Percent,8051,682
Colorado,Hinsdale,0.355871871834917,Percent,8053,688
Colorado,Huerfano,0.44849585966542543,Percent,8055,693
Colorado,Jackson,0.19803345976856743,Percent,8057,701
Colorado,Jefferson,0.15206667090838716,Percent,8059,706
Colorado,Kiowa,0.5007153078594836,Percent,8061,711
Colorado,Kit Carson,0.012091899181691053,Percent,8063,716
Colorado,Lake,0.13632743403548933,Percent,8065,721
Colorado,La Plata,0.2991285788779581,Percent,8067,727
Colorado,Larimer,0.13747556319136303,Percent,8069,734
Colorado,Las Animas,1.1322329508077191,Percent,8071,741
Colorado,Lincoln,0.018291568079237975,Percent,8073,747
Colorado,Logan,0.08881810479125103,Percent,8075,749
Colorado,Mesa,0.3390997821112136,Percent,8077,751
Colorado,Mineral,0.0,Percent,8079,757
Colorado,Moffat,0.26719729649853863,Percent,8081,758
Colorado,Montezuma,6.321289592194165,Percent,8083,766
Colorado,Montrose,0.2661818085151613,Percent,8085,769
Colorado,Morgan,0.05409225409481836,Percent,8087,775
Colorado,Otero,0.5487514466978546,Percent,8089,777
Colorado,Ouray,0.061849334399062,Percent,8091,780
Colorado,Park,0.5946281358462242,Percent,8093,782
Colorado,Phillips,0.02251872741996758,Percent,8095,785
Colorado,Pitkin,0.04906559119355278,Percent,8097,789
Colorado,Prowers,0.23950321508553024,Percent,8099,792
Colorado,Pueblo,0.6223441243074154,Percent,8101,795
Colorado,Rio Blanco,0.10497580330382224,Percent,8103,799
Colorado,Rio Grande,0.18175010907117595,Percent,8105,802
Colorado,Routt,0.0766458765205802,Percent,8107,809
Colorado,Saguache,0.2668715056581729,Percent,8109,811
Colorado,San Juan,0.2861230303726567,Percent,8111,347
Colorado,San Miguel,0.030739563926213884,Percent,8113,359
Colorado,Sedgwick,0.04203446826397646,Percent,8115,366
Colorado,Summit,0.10205989312881583,Percent,8117,373
Colorado,Teller,0.07454646029792378,Percent,8119,375
Colorado,Washington,0.041545490222376816,Percent,8121,377
Colorado,Weld,0.15528303387023157,Percent,8123,382
Colorado,Yuma,0.1432534362933705,Percent,8125,385
Connecticut,Fairfield,0.03735431386511258,Percent,9001,410
Connecticut,Hartford,0.04300098806698351,Percent,9003,432
Connecticut,Litchfield,0.039634548099131355,Percent,9005,443
Connecticut,Middlesex,0.039705032145598944,Percent,9007,450
Connecticut,New Haven,0.04698506286301733,Percent,9009,466
Connecticut,New London,0.2731500172819408,Percent,9011,517
Connecticut,Tolland,0.05872406328911769,Percent,9013,524
Connecticut,Windham,0.08517478489173423,Percent,9015,529
Delaware,Kent,0.09855939572732918,Percent,10001,532
Delaware,New Castle,0.05907409972867856,Percent,10003,536
Delaware,Sussex,0.11830047416683709,Percent,10005,609
District of Columbia,District of Columbia,0.007039067508941489,Percent,11001,630
Florida,Alachua,0.04443740009388726,Percent,12001,639
Florida,Baker,0.08039191719522146,Percent,12003,641
Florida,Bay,0.2269925411604417,Percent,12005,658
Florida,Bradford,0.015188134616214094,Percent,12007,665
Florida,Brevard,0.1640494940198921,Percent,12009,686
Florida,Broward,0.021164505196536343,Percent,12011,695
Florida,Calhoun,0.19035786642716854,Percent,12013,699
Florida,Charlotte,0.09109705635277413,Percent,12015,743
Florida,Citrus,0.09287830549916098,Percent,12017,843
Florida,Clay,0.10618327402060199,Percent,12019,852
Florida,Collier,0.11691100337221107,Percent,12021,894
Florida,Columbia,0.11663784950599607,Percent,12023,903
