State,County,SNAP-authorized stores per 1000 pop 2017 (SNAPSPTH17),Units,FIPS,FID
Colorado,El Paso,0.4308298247219807,"# per 1,000 pop",8041,661
Colorado,Fremont,0.32240655466543316,"# per 1,000 pop",8043,664
Colorado,Garfield,0.625866910247302,"# per 1,000 pop",8045,667
Colorado,Gilpin,0.16630633627141195,"# per 1,000 pop",8047,672
Colorado,Grand,0.5275982855775296,"# per 1,000 pop",8049,677
Colorado,Gunnison,0.5509967136981719,"# per 1,000 pop",8051,682
Colorado,Hinsdale,2.4139378673383707,"# per 1,000 pop",8053,688
Colorado,Huerfano,1.413489442609827,"# per 1,000 pop",8055,693
Colorado,Jackson,1.444043321299639,"# per 1,000 pop",8057,701
Colorado,Jefferson,0.4060704044867299,"# per 1,000 pop",8059,706
Colorado,Kiowa,1.4534883720930234,"# per 1,000 pop",8061,711
Colorado,Kit Carson,1.2573344509639564,"# per 1,000 pop",8063,716
Colorado,Lake,0.8999742864489586,"# per 1,000 pop",8065,721
Colorado,La Plata,0.43473828755089433,"# per 1,000 pop",8067,727
Colorado,Larimer,0.30452706002744384,"# per 1,000 pop",8069,734
Colorado,Las Animas,0.8135505923116543,"# per 1,000 pop",8071,741
Colorado,Lincoln,1.382377689626157,"# per 1,000 pop",8073,747
Colorado,Logan,0.32730483497746926,"# per 1,000 pop",8075,749
Colorado,Mesa,0.5095108695652173,"# per 1,000 pop",8077,751
Colorado,Mineral,1.414273281114012,"# per 1,000 pop",8079,757
Colorado,Moffat,0.8377122839083085,"# per 1,000 pop",8081,758
Colorado,Montezuma,0.7938026013771997,"# per 1,000 pop",8083,766
Colorado,Montrose,0.5325004786521157,"# per 1,000 pop",8085,769
Colorado,Morgan,0.8926882330684827,"# per 1,000 pop",8087,775
Colorado,Otero,0.8412455891447489,"# per 1,000 pop",8089,777
Colorado,Ouray,0.6257822277847309,"# per 1,000 pop",8091,780
Colorado,Park,0.27925160569673274,"# per 1,000 pop",8093,782
Colorado,Phillips,0.5630630630630631,"# per 1,000 pop",8095,785
Colorado,Pitkin,0.22358859698155392,"# per 1,000 pop",8097,789
Colorado,Prowers,1.0770505385252693,"# per 1,000 pop",8099,792
Colorado,Pueblo,0.6852880812934874,"# per 1,000 pop",8101,795
Colorado,Rio Blanco,1.4018691588785046,"# per 1,000 pop",8103,799
Colorado,Rio Grande,1.6370232722767897,"# per 1,000 pop",8105,802
Colorado,Routt,0.5187681734073486,"# per 1,000 pop",8107,809
Colorado,Saguache,0.6036824630244491,"# per 1,000 pop",8109,811
Colorado,San Juan,1.3986013986013988,"# per 1,000 pop",8111,347
Colorado,San Miguel,0.6066691770218821,"# per 1,000 pop",8113,359
Colorado,Sedgwick,0.6043799772468715,"# per 1,000 pop",8115,366
Colorado,Summit,0.5231322543730587,"# per 1,000 pop",8117,373
Colorado,Teller,0.6999107360220725,"# per 1,000 pop",8119,375
Colorado,Washington,0.40502227622519243,"# per 1,000 pop",8121,377
Colorado,Weld,0.38516291187538226,"# per 1,000 pop",8123,382
Colorado,Yuma,0.9925558312655087,"# per 1,000 pop",8125,385
Connecticut,Fairfield,0.4426683903187738,"# per 1,000 pop",9001,410
Connecticut,Hartford,0.7143085827968805,"# per 1,000 pop",9003,432
Connecticut,Litchfield,0.5283323361346383,"# per 1,000 pop",9005,443
Connecticut,Middlesex,0.5951288170858576,"# per 1,000 pop",9007,450
Connecticut,New Haven,0.7080720798200909,"# per 1,000 pop",9009,466
Connecticut,New London,0.675257929944158,"# per 1,000 pop",9011,517
Connecticut,Tolland,0.49242599304991597,"# per 1,000 pop",9013,524
Connecticut,Windham,0.7655903998258268,"# per 1,000 pop",9015,529
Delaware,Kent,0.72765386297486,"# per 1,000 pop",10001,532
Delaware,New Castle,0.7178248626426791,"# per 1,000 pop",10003,536
Delaware,Sussex,0.8580313211019489,"# per 1,000 pop",10005,609
District of Columbia,District of Columbia,0.5272787182576051,"# per 1,000 pop",11001,630
Florida,Alachua,0.7748191880444335,"# per 1,000 pop",12001,639
Florida,Baker,1.1225824700350033,"# per 1,000 pop",12003,641
Florida,Bay,1.1086112124992509,"# per 1,000 pop",12005,658
Florida,Bradford,1.1157136869097812,"# per 1,000 pop",12007,665
Florida,Brevard,0.7929341448814871,"# per 1,000 pop",12009,686
Florida,Broward,0.5291741869408436,"# per 1,000 pop",12011,695
Florida,Calhoun,0.6962185550875739,"# per 1,000 pop",12013,699
Florida,Charlotte,0.6116107152732381,"# per 1,000 pop",12015,743
Florida,Citrus,0.8834144655685781,"# per 1,000 pop",12017,843
Florida,Clay,0.6164695534718625,"# per 1,000 pop",12019,852
Florida,Collier,0.5716763212472287,"# per 1,000 pop",12021,894
Florida,Columbia,1.262952747610565,"# per 1,000 pop",12023,903
Florida,DeSoto,0.7844573454144286,"# per 1,000 pop",12027,906
Florida,Dixie,1.0246106479537775,"# per 1,000 pop",12029,918
Florida,Duval,0.9558241837911838,"# per 1,000 pop",12031,924
Florida,Escambia,0.9576985888897395,"# per 1,000 pop",12033,931
Florida,Flagler,0.5678219165686363,"# per 1,000 pop",12035,935
Florida,Franklin,1.4496461158011427,"# per 1,000 pop",12037,937
Florida,Gadsden,1.1395454841440387,"# per 1,000 pop",12039,938
Florida,Gilchrist,0.8547971970166639,"# per 1,000 pop",12041,939
Florida,Glades,0.4786486355484465,"# per 1,000 pop",12043,940
Florida,Gulf,1.1602722772277227,"# per 1,000 pop",12045,941
Florida,Hamilton,1.5451682647114118,"# per 1,000 pop",12047,942
Florida,Hardee,1.0610095703671274,"# per 1,000 pop",12049,943
Florida,Hendry,0.9294371328723325,"# per 1,000 pop",12051,944
Florida,Hernando,0.642355434291238,"# per 1,000 pop",12053,945
Florida,Highlands,0.8472407168012855,"# per 1,000 pop",12055,946
Florida,Hillsborough,0.7273946221428982,"# per 1,000 pop",12057,947
Florida,Holmes,1.124859392575928,"# per 1,000 pop",12059,948
Florida,Indian River,0.7276276101211491,"# per 1,000 pop",12061,949
Florida,Jackson,1.0242085661080076,"# per 1,000 pop",12063,950
Florida,Jefferson,1.2195984162895928,"# per 1,000 pop",12065,951
Florida,Lafayette,0.8283043426813395,"# per 1,000 pop",12067,952
Florida,Lake,0.7244345412701303,"# per 1,000 pop",12069,953
Florida,Lee,0.6622936124007517,"# per 1,000 pop",12071,954
Florida,Leon,0.7719239019102605,"# per 1,000 pop",12073,955
Florida,Levy,1.2018337256845495,"# per 1,000 pop",12075,956
Florida,Liberty,1.102078783466796,"# per 1,000 pop",12077,957
Florida,Madison,1.4092904764485878,"# per 1,000 pop",12079,958
Florida,Manatee,0.6594116258743525,"# per 1,000 pop",12081,959
Florida,Marion,0.9049356620846069,"# per 1,000 pop",12083,960
Florida,Martin,0.700858121304211,"# per 1,000 pop",12085,961
Florida,Miami-Dade,0.5048823871149365,"# per 1,000 pop",12086,962
Florida,Monroe,0.9413995039798475,"# per 1,000 pop",12087,963
Florida,Nassau,0.7474925754443652,"# per 1,000 pop",12089,964
Florida,Okaloosa,0.7767978847448721,"# per 1,000 pop",12091,965
Florida,Okeechobee,1.1196570924968958,"# per 1,000 pop",12093,966
Florida,Orange,0.6813197674777765,"# per 1,000 pop",12095,967
Florida,Osceola,0.6677456603630719,"# per 1,000 pop",12097,968
Florida,Palm Beach,0.5158662724172699,"# per 1,000 pop",12099,969
Florida,Pasco,0.6354122474759485,"# per 1,000 pop",12101,970
Florida,Pinellas,0.7891724712740192,"# per 1,000 pop",12103,971
Florida,Polk,0.7936588864303028,"# per 1,000 pop",12105,972
Florida,Putnam,1.2806726196958147,"# per 1,000 pop",12107,973
Florida,St. Johns,0.5174752131423664,"# per 1,000 pop",12109,974
Florida,St. Lucie,0.6270480735084283,"# per 1,000 pop",12111,975
Florida,Santa Rosa,0.6445862406659323,"# per 1,000 pop",12113,976
Florida,Sarasota,0.5923138774429221,"# per 1,000 pop",12115,977
Florida,Seminole,0.6071786492139278,"# per 1,000 pop",12117,978
Florida,Sumter,0.5366249883487131,"# per 1,000 pop",12119,979
Florida,Suwannee,1.2257675190465414,"# per 1,000 pop",12121,980
Florida,Taylor,1.3740667796454908,"# per 1,000 pop",12123,981
Florida,Union,0.7733453631500935,"# per 1,000 pop",12125,982
Florida,Volusia,0.8191137050485248,"# per 1,000 pop",12127,983
Florida,Wakulla,0.9210253217102534,"# per 1,000 pop",12129,984
Florida,Walton,0.6544694044694044,"# per 1,000 pop",12131,985
Florida,Washington,0.9056864900069198,"# per 1,000 pop",12133,986
Georgia,Appling,1.2373341972175729,"# per 1,000 pop",13001,987
Georgia,Atkinson,1.3386078478382484,"# per 1,000 pop",13003,988
Georgia,Bacon,1.4871749565627117,"# per 1,000 pop",13005,989
Georgia,Baker,1.25,"# per 1,000 pop",13007,990
Georgia,Baldwin,1.239626479015425,"# per 1,000 pop",13009,991
Georgia,Banks,0.9793925083181282,"# per 1,000 pop",13011,992
Georgia,Barrow,0.6672063343494264,"# per 1,000 pop",13013,993
Georgia,Bartow,1.0423210920098234,"# per 1,000 pop",13015,994
Georgia,Ben Hill,1.5886090844904686,"# per 1,000 pop",13017,995
Georgia,Berrien,1.3508113555022758,"# per 1,000 pop",13019,996
Georgia,Bibb,1.3988652073983945,"# per 1,000 pop",13021,997
Georgia,Bleckley,1.0002598077422706,"# per 1,000 pop",13023,998
