State,County,SNAP benefits per capita 2017 (PC_SNAPBEN17),Units,FIPS,FID
Colorado,Washington,6.834751129150391,Dollars/capita,8121,377
Colorado,Weld,9.252116203308105,Dollars/capita,8123,382
Colorado,Yuma,10.83540153503418,Dollars/capita,8125,385
Connecticut,Fairfield,10.390074729919434,Dollars/capita,9001,410
Connecticut,Hartford,19.17064666748047,Dollars/capita,9003,432
Connecticut,Litchfield,9.531023979187012,Dollars/capita,9005,443
Connecticut,Middlesex,7.99420690536499,Dollars/capita,9007,450
Connecticut,New Haven,19.568880081176758,Dollars/capita,9009,466
Connecticut,New London,14.896871566772461,Dollars/capita,9011,517
Connecticut,Tolland,6.622166633605957,Dollars/capita,9013,524
Connecticut,Windham,20.029964447021484,Dollars/capita,9015,529
Delaware,Kent,22.752849578857422,Dollars/capita,10001,532
Delaware,New Castle,17.03367805480957,Dollars/capita,10003,536
Delaware,Sussex,16.60623550415039,Dollars/capita,10005,609
District of Columbia,District of Columbia,24.883329391479492,Dollars/capita,11001,630
Florida,Alachua,19.6018009185791,Dollars/capita,12001,639
Florida,Baker,24.97966957092285,Dollars/capita,12003,641
Florida,Bay,20.91107749938965,Dollars/capita,12005,658
Florida,Bradford,27.08225440979004,Dollars/capita,12007,665
Florida,Brevard,18.50269317626953,Dollars/capita,12009,686
Florida,Broward,20.962064743041992,Dollars/capita,12011,695
Florida,Calhoun,22.652996063232422,Dollars/capita,12013,699
Florida,Charlotte,12.698704719543457,Dollars/capita,12015,743
Florida,Citrus,21.604747772216797,Dollars/capita,12017,843
Florida,Clay,15.629270553588867,Dollars/capita,12019,852
Florida,Collier,10.137533187866211,Dollars/capita,12021,894
Florida,Columbia,30.22347640991211,Dollars/capita,12023,903
Florida,DeSoto,24.648237228393555,Dollars/capita,12027,906
Florida,Dixie,32.34770965576172,Dollars/capita,12029,918
Florida,Duval,28.18695068359375,Dollars/capita,12031,924
Florida,Escambia,23.50574493408203,Dollars/capita,12033,931
Florida,Flagler,16.62670135498047,Dollars/capita,12035,935
Florida,Franklin,20.79247283935547,Dollars/capita,12037,937
Florida,Gadsden,33.11012649536133,Dollars/capita,12039,938
Florida,Gilchrist,24.746849060058594,Dollars/capita,12041,939
Florida,Glades,12.566040992736816,Dollars/capita,12043,940
Florida,Gulf,17.001855850219727,Dollars/capita,12045,941
Florida,Hamilton,31.755264282226562,Dollars/capita,12047,942
Florida,Hardee,32.602481842041016,Dollars/capita,12049,943
Florida,Hendry,39.20365905761719,Dollars/capita,12051,944
Florida,Hernando,23.819862365722656,Dollars/capita,12053,945
Florida,Highlands,26.679983139038086,Dollars/capita,12055,946
Florida,Hillsborough,25.914653778076172,Dollars/capita,12057,947
Florida,Holmes,22.33101463317871,Dollars/capita,12059,948
Florida,Indian River,16.67336082458496,Dollars/capita,12061,949
Florida,Jackson,23.33091926574707,Dollars/capita,12063,950
Florida,Jefferson,21.28700065612793,Dollars/capita,12065,951
Florida,Lafayette,18.587543487548828,Dollars/capita,12067,952
Florida,Lake,19.23845672607422,Dollars/capita,12069,953
Florida,Lee,19.565336227416992,Dollars/capita,12071,954
Florida,Leon,17.638561248779297,Dollars/capita,12073,955
Florida,Levy,27.227109909057617,Dollars/capita,12075,956
Florida,Liberty,18.826335906982422,Dollars/capita,12077,957
Florida,Madison,27.8876895904541,Dollars/capita,12079,958
Florida,Manatee,16.407699584960938,Dollars/capita,12081,959
Florida,Marion,25.761505126953125,Dollars/capita,12083,960
Florida,Martin,12.330934524536133,Dollars/capita,12085,961
Florida,Miami-Dade,37.66564178466797,Dollars/capita,12086,962
Florida,Monroe,13.02918529510498,Dollars/capita,12087,963
Florida,Nassau,14.312166213989258,Dollars/capita,12089,964
Florida,Okaloosa,13.291783332824707,Dollars/capita,12091,965
Florida,Okeechobee,32.43199920654297,Dollars/capita,12093,966
Florida,Orange,24.460918426513672,Dollars/capita,12095,967
