State,County,Seniors low access to store (% change) 2010 -15 (PCH_LACCESS_SENIORS_10_15),Units,FIPS,FID
Florida,Dixie,40.32458492085445,% change,12029,918
Florida,Duval,-1.1386883934865724,% change,12031,924
Florida,Escambia,-6.708067198283155,% change,12033,931
Florida,Flagler,-2.9874576602930714,% change,12035,935
Florida,Franklin,-42.36000583074569,% change,12037,937
Florida,Gadsden,-11.6094024236466,% change,12039,938
Florida,Gilchrist,-24.709865669187426,% change,12041,939
Florida,Glades,82.10014261842,% change,12043,940
Florida,Gulf,18.13998439436122,% change,12045,941
Florida,Hamilton,0.46517045056417955,% change,12047,942
Florida,Hardee,13.95168528776883,% change,12049,943
Florida,Hendry,4.298477316233388,% change,12051,944
Florida,Hernando,8.09483768349491,% change,12053,945
Florida,Highlands,-7.653262280819022,% change,12055,946
Florida,Hillsborough,-6.075603707959301,% change,12057,947
Florida,Holmes,-16.405300347920125,% change,12059,948
Florida,Indian River,-7.476790265188443,% change,12061,949
Florida,Jackson,-24.514289950190456,% change,12063,950
Florida,Jefferson,0.0,% change,12065,951
Florida,Lafayette,-10.157376066078323,% change,12067,952
Florida,Lake,-11.614424819571312,% change,12069,953
Florida,Lee,-7.8087113073828665,% change,12071,954
Florida,Leon,-0.8715294290797999,% change,12073,955
Florida,Levy,-20.31765822079946,% change,12075,956
Florida,Liberty,-0.4593378024328846,% change,12077,957
Florida,Madison,-4.55743526695938,% change,12079,958
Florida,Manatee,-7.100704519343931,% change,12081,959
Florida,Marion,9.556894223961564,% change,12083,960
Florida,Martin,-4.657421124915386,% change,12085,961
Florida,Miami-Dade,-15.968341163994507,% change,12086,962
Florida,Monroe,-11.087289694655022,% change,12087,963
Florida,Nassau,1.095195329821742,% change,12089,964
Florida,Okaloosa,-4.8367721798115415,% change,12091,965
Florida,Okeechobee,8.806276870997925,% change,12093,966
Florida,Orange,-6.524968620674537,% change,12095,967
Florida,Osceola,8.735318651119831,% change,12097,968
Florida,Palm Beach,-16.29590566182539,% change,12099,969
Florida,Pasco,3.179516163507369,% change,12101,970
Florida,Pinellas,-17.348921612171242,% change,12103,971
Florida,Polk,-0.6597959003998721,% change,12105,972
Florida,Putnam,-2.4907866985510516,% change,12107,973
Florida,St. Johns,0.5437583468383371,% change,12109,974
Florida,St. Lucie,-4.448393904854239,% change,12111,975
Florida,Santa Rosa,-0.5651329213032774,% change,12113,976
Florida,Sarasota,-5.233329637509119,% change,12115,977
Florida,Seminole,-15.825083952286276,% change,12117,978
Florida,Sumter,8.626945012246374,% change,12119,979
Florida,Suwannee,-0.8928159056931647,% change,12121,980
Florida,Taylor,37.475736297749826,% change,12123,981
Florida,Union,-4.769291270323876,% change,12125,982
Florida,Volusia,12.727041512296989,% change,12127,983
Florida,Wakulla,5.18872300117506,% change,12129,984
Florida,Walton,-21.22163715099808,% change,12131,985
Florida,Washington,-13.816389192549142,% change,12133,986
Georgia,Appling,0.25814354269749185,% change,13001,987
Georgia,Atkinson,-0.12362525441454156,% change,13003,988
Georgia,Bacon,40.62250976770236,% change,13005,989
Georgia,Baker,-1.6179925694254707,% change,13007,990
Georgia,Baldwin,-4.553560096631667,% change,13009,991
Georgia,Banks,-69.74595233384396,% change,13011,992
Georgia,Barrow,-17.692581584025362,% change,13013,993
Georgia,Bartow,1.5672273303099757,% change,13015,994
Georgia,Ben Hill,1.9320568199897568,% change,13017,995
Georgia,Berrien,28.768143083094305,% change,13019,996
Georgia,Bibb,7.194850222590173,% change,13021,997
Georgia,Bleckley,-1.7043961239400343,% change,13023,998
Georgia,Brantley,-58.8795720952451,% change,13025,999
Georgia,Brooks,0.0,% change,13027,565
Georgia,Bryan,31.948105454725688,% change,13029,573
Georgia,Bulloch,-32.216491999495595,% change,13031,579
Georgia,Burke,-18.81052628804257,% change,13033,583
Georgia,Butts,25.143906410880295,% change,13035,588
Georgia,Calhoun,-0.9731500412207517,% change,13037,592
Georgia,Camden,17.0304434266047,% change,13039,603
Georgia,Candler,-53.677968112199736,% change,13043,616
Georgia,Carroll,-13.121253444045427,% change,13045,620
Georgia,Catoosa,-10.099547472642394,% change,13047,626
Georgia,Charlton,-40.08366689069495,% change,13049,635
Georgia,Chatham,8.338455166792778,% change,13051,646
Georgia,Chattahoochee,11.555988157436616,% change,13053,656
Georgia,Chattooga,-39.27553263307083,% change,13055,659
Georgia,Cherokee,-1.777129846375047,% change,13057,662
Georgia,Clarke,-11.020919874655641,% change,13059,666
Georgia,Clay,3503.990829980786,% change,13061,670
Georgia,Clayton,-1.2640380247963858,% change,13063,673
Georgia,Clinch,33.43145267795573,% change,13065,676
Georgia,Cobb,-4.221001253569918,% change,13067,680
Georgia,Coffee,0.2068468183030363,% change,13069,684
Georgia,Colquitt,-4.50255214788717,% change,13071,689
Georgia,Columbia,1.487138217364289,% change,13073,692
Georgia,Cook,6.703601336991169,% change,13075,697
Georgia,Coweta,-8.275149804890141,% change,13077,700
Georgia,Crawford,2332.559829096237,% change,13079,704
Georgia,Crisp,-59.56248550707988,% change,13081,707
Georgia,Dade,55.6430718207577,% change,13083,708
Georgia,Dawson,0,% change,13085,713
Georgia,Decatur,-4.011519346132527,% change,13087,714
Georgia,DeKalb,-3.9855111088906283,% change,13089,718
Georgia,Dodge,58.81765041558479,% change,13091,720
Georgia,Dooly,-90.57529103334544,% change,13093,724
Georgia,Dougherty,-6.407604219980256,% change,13095,728
Georgia,Douglas,1.4509801636222426,% change,13097,731
Georgia,Early,14.008912714019822,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,18.64326019247258,% change,13103,742
Georgia,Elbert,44.25580423933833,% change,13105,746
Georgia,Emanuel,-8.765929358589835,% change,13107,750
Georgia,Evans,68.86894796735814,% change,13109,754
Georgia,Fannin,617.6187075798455,% change,13111,755
Georgia,Fayette,-19.253300227096002,% change,13113,760
Georgia,Floyd,-11.699771267592268,% change,13115,764
Georgia,Forsyth,-9.264333146189095,% change,13117,768
Georgia,Franklin,-37.730387632522635,% change,13119,772
Georgia,Fulton,6.777955318827196,% change,13121,779
Georgia,Gilmer,62.414702240319485,% change,13123,781
Georgia,Glascock,-0.37668121729871,% change,13125,783
Georgia,Glynn,-1.4979200090160056,% change,13127,793
Georgia,Gordon,9.048727277207279,% change,13129,796
Georgia,Grady,1.8150840050882646,% change,13131,797
Georgia,Greene,6.696471395119143,% change,13133,800
Georgia,Gwinnett,-5.477408870165137,% change,13135,804
Georgia,Habersham,-19.500328140984625,% change,13137,806
Georgia,Hall,-3.6417046463034453,% change,13139,808
Georgia,Hancock,-17.741004731233172,% change,13141,810
Georgia,Haralson,38.7838284916777,% change,13143,813
Georgia,Harris,-21.474309582164366,% change,13145,814
Georgia,Hart,314.9163786081814,% change,13147,816
Georgia,Heard,84.80678546605871,% change,13149,817
Georgia,Henry,-3.6164187753071855,% change,13151,820
Georgia,Houston,6.853201395043228,% change,13153,823
Georgia,Irwin,1.9812477419013752,% change,13155,825
Georgia,Jackson,498.36506631071495,% change,13157,828
Georgia,Jasper,271.0851853894992,% change,13159,830
Georgia,Jeff Davis,-0.1721450827777787,% change,13161,832
Georgia,Jefferson,81.4263755428352,% change,13163,834
Georgia,Jenkins,-56.07151638037791,% change,13165,835
Georgia,Johnson,-64.4534349086019,% change,13167,837
Georgia,Jones,35.688753555955266,% change,13169,839
Georgia,Lamar,0.8440794324114416,% change,13171,841
Georgia,Lanier,-26.055781363233788,% change,13173,845
Georgia,Laurens,-1.6834017315442615,% change,13175,847
Georgia,Lee,-16.599666951365446,% change,13177,849
Georgia,Liberty,19.14446367513341,% change,13179,855
Georgia,Lincoln,-15.219232111281523,% change,13181,857
Georgia,Long,0.010247718811772617,% change,13183,860
Georgia,Lowndes,-5.959929958137966,% change,13185,863
Georgia,Lumpkin,-10.59846816656853,% change,13187,865
Georgia,McDuffie,-1.4740173624186126,% change,13189,868
Georgia,McIntosh,-5.241521250420467,% change,13191,871
Georgia,Macon,-2.481492349888457,% change,13193,874
Georgia,Madison,-3.3942267896214644,% change,13195,875
Georgia,Marion,-99.96289804012655,% change,13197,877
Georgia,Meriwether,139.03760150079714,% change,13199,879
Georgia,Miller,-13.920264139854066,% change,13201,881
Georgia,Mitchell,-45.11684090318683,% change,13205,883
Georgia,Monroe,-22.640309212541286,% change,13207,885
Georgia,Montgomery,13.315325807578871,% change,13209,887
Georgia,Morgan,-22.277833373391175,% change,13211,890
Georgia,Murray,-6.7307073584757005,% change,13213,892
