State,County,Hispanic ethnicity low access to store (%) 2015 (PCT_LACCESS_HISP15),Units,FIPS,FID
Arkansas,Jackson,0.3304310340227077,Percent,5067,209
Arkansas,Jefferson,0.2800510631826254,Percent,5069,213
Arkansas,Johnson,0.7166340320028661,Percent,5071,218
Arkansas,Lafayette,0.5262017744607913,Percent,5073,222
Arkansas,Lawrence,0.33921272970754,Percent,5075,230
Arkansas,Lee,0.6488249655189235,Percent,5077,237
Arkansas,Lincoln,1.285110169945012,Percent,5079,244
Arkansas,Little River,0.6469259067119126,Percent,5081,251
Arkansas,Logan,0.28330135009963675,Percent,5083,258
Arkansas,Lonoke,0.5906313431037905,Percent,5085,268
Arkansas,Madison,0.3590573147146262,Percent,5087,277
Arkansas,Marion,0.36734354666626734,Percent,5089,282
Arkansas,Miller,0.6706358032764899,Percent,5091,287
Arkansas,Mississippi,0.4831423420086424,Percent,5093,294
Arkansas,Monroe,0.021946449020751994,Percent,5095,300
Arkansas,Montgomery,0.3938724371193254,Percent,5097,304
Arkansas,Nevada,0.3288875642672502,Percent,5099,307
Arkansas,Newton,0.695111227764156,Percent,5101,311
Arkansas,Ouachita,0.40715243752508423,Percent,5103,316
Arkansas,Perry,0.17022080653684346,Percent,5105,318
Arkansas,Phillips,0.6850729241829204,Percent,5107,322
Arkansas,Pike,0.5001457617752696,Percent,5109,327
Arkansas,Poinsett,1.0132298238601025,Percent,5111,333
Arkansas,Polk,4.079860371069891,Percent,5113,337
Arkansas,Pope,1.508699918305815,Percent,5115,340
Arkansas,Prairie,0.3904551175585657,Percent,5117,345
Arkansas,Pulaski,1.463487851593082,Percent,5119,350
Arkansas,Randolph,0.6542909303515945,Percent,5121,353
Arkansas,St. Francis,1.119346432107573,Percent,5123,357
Arkansas,Saline,1.011444989467447,Percent,5125,360
Arkansas,Scott,0.46219245506596274,Percent,5127,364
Arkansas,Searcy,0.4088385755439499,Percent,5129,372
Arkansas,Sebastian,0.720352771702311,Percent,5131,378
Arkansas,Sevier,5.793329208341277,Percent,5133,390
Arkansas,Sharp,0.34038030878270037,Percent,5135,394
Arkansas,Stone,0.40121337223495396,Percent,5137,399
Arkansas,Union,0.94442449293374,Percent,5139,403
Arkansas,Van Buren,0.35500159408484594,Percent,5141,407
Arkansas,Washington,2.343599042552355,Percent,5143,417
Arkansas,White,0.5346853761002803,Percent,5145,428
Arkansas,Woodruff,0.08348348225084794,Percent,5147,435
Arkansas,Yell,1.346297467735614,Percent,5149,438
California,Alameda,0.8994114557949401,Percent,6001,457
California,Alpine,2.0829130198449017,Percent,6003,461
California,Amador,3.2610676255295212,Percent,6005,472
