State,County,High schoolers physically active (%) 2017 (PCT_HSPA17),Units,FIPS,FID
Colorado,Alamosa,27.400000000000006,Percent,8003,549
Colorado,Arapahoe,27.400000000000006,Percent,8005,558
Colorado,Archuleta,27.400000000000006,Percent,8007,560
Colorado,Baca,27.400000000000006,Percent,8009,563
Colorado,Bent,27.400000000000006,Percent,8011,564
Colorado,Boulder,27.400000000000006,Percent,8013,570
Colorado,Broomfield,27.400000000000006,Percent,8014,577
Colorado,Chaffee,27.400000000000006,Percent,8015,582
Colorado,Cheyenne,27.400000000000006,Percent,8017,587
Colorado,Clear Creek,27.400000000000006,Percent,8019,591
Colorado,Conejos,27.400000000000006,Percent,8021,596
Colorado,Costilla,27.400000000000006,Percent,8023,599
Colorado,Crowley,27.400000000000006,Percent,8025,605
Colorado,Custer,27.400000000000006,Percent,8027,610
Colorado,Delta,27.400000000000006,Percent,8029,617
Colorado,Denver,27.400000000000006,Percent,8031,628
Colorado,Dolores,27.400000000000006,Percent,8033,636
Colorado,Douglas,27.400000000000006,Percent,8035,644
Colorado,Eagle,27.400000000000006,Percent,8037,648
Colorado,Elbert,27.400000000000006,Percent,8039,655
Colorado,El Paso,27.400000000000006,Percent,8041,661
Colorado,Fremont,27.400000000000006,Percent,8043,664
Colorado,Garfield,27.400000000000006,Percent,8045,667
Colorado,Gilpin,27.400000000000006,Percent,8047,672
Colorado,Grand,27.400000000000006,Percent,8049,677
Colorado,Gunnison,27.400000000000006,Percent,8051,682
Colorado,Hinsdale,27.400000000000006,Percent,8053,688
Colorado,Huerfano,27.400000000000006,Percent,8055,693
Colorado,Jackson,27.400000000000006,Percent,8057,701
Colorado,Jefferson,27.400000000000006,Percent,8059,706
Colorado,Kiowa,27.400000000000006,Percent,8061,711
Colorado,Kit Carson,27.400000000000006,Percent,8063,716
Colorado,Lake,27.400000000000006,Percent,8065,721
Colorado,La Plata,27.400000000000006,Percent,8067,727
Colorado,Larimer,27.400000000000006,Percent,8069,734
Colorado,Las Animas,27.400000000000006,Percent,8071,741
Colorado,Lincoln,27.400000000000006,Percent,8073,747
Colorado,Logan,27.400000000000006,Percent,8075,749
Colorado,Mesa,27.400000000000006,Percent,8077,751
Colorado,Mineral,27.400000000000006,Percent,8079,757
Colorado,Moffat,27.400000000000006,Percent,8081,758
Colorado,Montezuma,27.400000000000006,Percent,8083,766
Colorado,Montrose,27.400000000000006,Percent,8085,769
Colorado,Morgan,27.400000000000006,Percent,8087,775
Colorado,Otero,27.400000000000006,Percent,8089,777
Colorado,Ouray,27.400000000000006,Percent,8091,780
Colorado,Park,27.400000000000006,Percent,8093,782
Colorado,Phillips,27.400000000000006,Percent,8095,785
Colorado,Pitkin,27.400000000000006,Percent,8097,789
Colorado,Prowers,27.400000000000006,Percent,8099,792
Colorado,Pueblo,27.400000000000006,Percent,8101,795
Colorado,Rio Blanco,27.400000000000006,Percent,8103,799
Colorado,Rio Grande,27.400000000000006,Percent,8105,802
Colorado,Routt,27.400000000000006,Percent,8107,809
Colorado,Saguache,27.400000000000006,Percent,8109,811
Colorado,San Juan,27.400000000000006,Percent,8111,347
Colorado,San Miguel,27.400000000000006,Percent,8113,359
Colorado,Sedgwick,27.400000000000006,Percent,8115,366
Colorado,Summit,27.400000000000006,Percent,8117,373
Colorado,Teller,27.400000000000006,Percent,8119,375
Colorado,Washington,27.400000000000006,Percent,8121,377
Colorado,Weld,27.400000000000006,Percent,8123,382
Colorado,Yuma,27.400000000000006,Percent,8125,385
Connecticut,Fairfield,22.299999999999997,Percent,9001,410
Connecticut,Hartford,22.299999999999997,Percent,9003,432
Connecticut,Litchfield,22.299999999999997,Percent,9005,443
Connecticut,Middlesex,22.299999999999997,Percent,9007,450
Connecticut,New Haven,22.299999999999997,Percent,9009,466
Connecticut,New London,22.299999999999997,Percent,9011,517
Connecticut,Tolland,22.299999999999997,Percent,9013,524
Connecticut,Windham,22.299999999999997,Percent,9015,529
Delaware,Kent,25.099999999999994,Percent,10001,532
Delaware,New Castle,25.099999999999994,Percent,10003,536
Delaware,Sussex,25.099999999999994,Percent,10005,609
District of Columbia,District of Columbia,13.400000000000006,Percent,11001,630
Florida,Alachua,22.799999999999997,Percent,12001,639
Florida,Baker,22.799999999999997,Percent,12003,641
Florida,Bay,22.799999999999997,Percent,12005,658
Florida,Bradford,22.799999999999997,Percent,12007,665
Florida,Brevard,22.799999999999997,Percent,12009,686
Florida,Broward,22.799999999999997,Percent,12011,695
Florida,Calhoun,22.799999999999997,Percent,12013,699
Florida,Charlotte,22.799999999999997,Percent,12015,743
Florida,Citrus,22.799999999999997,Percent,12017,843
Florida,Clay,22.799999999999997,Percent,12019,852
Florida,Collier,22.799999999999997,Percent,12021,894
Florida,Columbia,22.799999999999997,Percent,12023,903
Florida,DeSoto,22.799999999999997,Percent,12027,906
Florida,Dixie,22.799999999999997,Percent,12029,918
Florida,Duval,22.799999999999997,Percent,12031,924
Florida,Escambia,22.799999999999997,Percent,12033,931
Florida,Flagler,22.799999999999997,Percent,12035,935
Florida,Franklin,22.799999999999997,Percent,12037,937
Florida,Gadsden,22.799999999999997,Percent,12039,938
Florida,Gilchrist,22.799999999999997,Percent,12041,939
Florida,Glades,22.799999999999997,Percent,12043,940
Florida,Gulf,22.799999999999997,Percent,12045,941
Florida,Hamilton,22.799999999999997,Percent,12047,942
Florida,Hardee,22.799999999999997,Percent,12049,943
Florida,Hendry,22.799999999999997,Percent,12051,944
Florida,Hernando,22.799999999999997,Percent,12053,945
Florida,Highlands,22.799999999999997,Percent,12055,946
Florida,Hillsborough,22.799999999999997,Percent,12057,947
Florida,Holmes,22.799999999999997,Percent,12059,948
Florida,Indian River,22.799999999999997,Percent,12061,949
Florida,Jackson,22.799999999999997,Percent,12063,950
Florida,Jefferson,22.799999999999997,Percent,12065,951
Florida,Lafayette,22.799999999999997,Percent,12067,952
Florida,Lake,22.799999999999997,Percent,12069,953
Florida,Lee,22.799999999999997,Percent,12071,954
Florida,Leon,22.799999999999997,Percent,12073,955
Florida,Levy,22.799999999999997,Percent,12075,956
Florida,Liberty,22.799999999999997,Percent,12077,957
Florida,Madison,22.799999999999997,Percent,12079,958
Florida,Manatee,22.799999999999997,Percent,12081,959
Florida,Marion,22.799999999999997,Percent,12083,960
Florida,Martin,22.799999999999997,Percent,12085,961
Florida,Miami-Dade,22.799999999999997,Percent,12086,962
Florida,Monroe,22.799999999999997,Percent,12087,963
Florida,Nassau,22.799999999999997,Percent,12089,964
Florida,Okaloosa,22.799999999999997,Percent,12091,965
Florida,Okeechobee,22.799999999999997,Percent,12093,966
Florida,Orange,22.799999999999997,Percent,12095,967
Florida,Osceola,22.799999999999997,Percent,12097,968
Florida,Palm Beach,22.799999999999997,Percent,12099,969
Florida,Pasco,22.799999999999997,Percent,12101,970
Florida,Pinellas,22.799999999999997,Percent,12103,971
Florida,Polk,22.799999999999997,Percent,12105,972
Florida,Putnam,22.799999999999997,Percent,12107,973
Florida,St. Johns,22.799999999999997,Percent,12109,974
Florida,St. Lucie,22.799999999999997,Percent,12111,975
Florida,Santa Rosa,22.799999999999997,Percent,12113,976
Florida,Sarasota,22.799999999999997,Percent,12115,977
Florida,Seminole,22.799999999999997,Percent,12117,978
Florida,Sumter,22.799999999999997,Percent,12119,979
Florida,Suwannee,22.799999999999997,Percent,12121,980
Florida,Taylor,22.799999999999997,Percent,12123,981
Florida,Union,22.799999999999997,Percent,12125,982
Florida,Volusia,22.799999999999997,Percent,12127,983
Florida,Wakulla,22.799999999999997,Percent,12129,984
Florida,Walton,22.799999999999997,Percent,12131,985
Florida,Washington,22.799999999999997,Percent,12133,986
Georgia,Appling,nan,Percent,13001,987
Georgia,Atkinson,nan,Percent,13003,988
Georgia,Bacon,nan,Percent,13005,989
Georgia,Baker,nan,Percent,13007,990
Georgia,Baldwin,nan,Percent,13009,991
Georgia,Banks,nan,Percent,13011,992
Georgia,Barrow,nan,Percent,13013,993
Georgia,Bartow,nan,Percent,13015,994
Georgia,Ben Hill,nan,Percent,13017,995
Georgia,Berrien,nan,Percent,13019,996
Georgia,Bibb,nan,Percent,13021,997
Georgia,Bleckley,nan,Percent,13023,998
Georgia,Brantley,nan,Percent,13025,999
Georgia,Brooks,nan,Percent,13027,565
Georgia,Bryan,nan,Percent,13029,573
Georgia,Bulloch,nan,Percent,13031,579
Georgia,Burke,nan,Percent,13033,583
Georgia,Butts,nan,Percent,13035,588
Georgia,Calhoun,nan,Percent,13037,592
Georgia,Camden,nan,Percent,13039,603
Georgia,Candler,nan,Percent,13043,616
Georgia,Carroll,nan,Percent,13045,620
Georgia,Catoosa,nan,Percent,13047,626
Georgia,Charlton,nan,Percent,13049,635
Georgia,Chatham,nan,Percent,13051,646
Georgia,Chattahoochee,nan,Percent,13053,656
Georgia,Chattooga,nan,Percent,13055,659
Georgia,Cherokee,nan,Percent,13057,662
Georgia,Clarke,nan,Percent,13059,666
Georgia,Clay,nan,Percent,13061,670
Georgia,Clayton,nan,Percent,13063,673
Georgia,Clinch,nan,Percent,13065,676
Georgia,Cobb,nan,Percent,13067,680
Georgia,Coffee,nan,Percent,13069,684
Georgia,Colquitt,nan,Percent,13071,689
Georgia,Columbia,nan,Percent,13073,692
Georgia,Cook,nan,Percent,13075,697
Georgia,Coweta,nan,Percent,13077,700
Georgia,Crawford,nan,Percent,13079,704
Georgia,Crisp,nan,Percent,13081,707
Georgia,Dade,nan,Percent,13083,708
Georgia,Dawson,nan,Percent,13085,713
Georgia,Decatur,nan,Percent,13087,714
Georgia,DeKalb,nan,Percent,13089,718
Georgia,Dodge,nan,Percent,13091,720
Georgia,Dooly,nan,Percent,13093,724
Georgia,Dougherty,nan,Percent,13095,728
Georgia,Douglas,nan,Percent,13097,731
Georgia,Early,nan,Percent,13099,735
Georgia,Echols,nan,Percent,13101,737
Georgia,Effingham,nan,Percent,13103,742
Georgia,Elbert,nan,Percent,13105,746
Georgia,Emanuel,nan,Percent,13107,750
Georgia,Evans,nan,Percent,13109,754
Georgia,Fannin,nan,Percent,13111,755
Georgia,Fayette,nan,Percent,13113,760
Georgia,Floyd,nan,Percent,13115,764
Georgia,Forsyth,nan,Percent,13117,768
Georgia,Franklin,nan,Percent,13119,772
Georgia,Fulton,nan,Percent,13121,779
Georgia,Gilmer,nan,Percent,13123,781
Georgia,Glascock,nan,Percent,13125,783
Georgia,Glynn,nan,Percent,13127,793
Georgia,Gordon,nan,Percent,13129,796
Georgia,Grady,nan,Percent,13131,797
Georgia,Greene,nan,Percent,13133,800
Georgia,Gwinnett,nan,Percent,13135,804
Georgia,Habersham,nan,Percent,13137,806
Georgia,Hall,nan,Percent,13139,808
Georgia,Hancock,nan,Percent,13141,810
Georgia,Haralson,nan,Percent,13143,813
Georgia,Harris,nan,Percent,13145,814
Georgia,Hart,nan,Percent,13147,816
Georgia,Heard,nan,Percent,13149,817
Georgia,Henry,nan,Percent,13151,820
Georgia,Houston,nan,Percent,13153,823
Georgia,Irwin,nan,Percent,13155,825
Georgia,Jackson,nan,Percent,13157,828
Georgia,Jasper,nan,Percent,13159,830
Georgia,Jeff Davis,nan,Percent,13161,832
Georgia,Jefferson,nan,Percent,13163,834
Georgia,Jenkins,nan,Percent,13165,835
Georgia,Johnson,nan,Percent,13167,837
Georgia,Jones,nan,Percent,13169,839
Georgia,Lamar,nan,Percent,13171,841
Georgia,Lanier,nan,Percent,13173,845
Georgia,Laurens,nan,Percent,13175,847
Georgia,Lee,nan,Percent,13177,849
Georgia,Liberty,nan,Percent,13179,855
Georgia,Lincoln,nan,Percent,13181,857
Georgia,Long,nan,Percent,13183,860
Georgia,Lowndes,nan,Percent,13185,863
Georgia,Lumpkin,nan,Percent,13187,865
Georgia,McDuffie,nan,Percent,13189,868
Georgia,McIntosh,nan,Percent,13191,871
Georgia,Macon,nan,Percent,13193,874
Georgia,Madison,nan,Percent,13195,875
Georgia,Marion,nan,Percent,13197,877
Georgia,Meriwether,nan,Percent,13199,879
Georgia,Miller,nan,Percent,13201,881
Georgia,Mitchell,nan,Percent,13205,883
Georgia,Monroe,nan,Percent,13207,885
Georgia,Montgomery,nan,Percent,13209,887
Georgia,Morgan,nan,Percent,13211,890
Georgia,Murray,nan,Percent,13213,892
Georgia,Muscogee,nan,Percent,13215,896
Georgia,Newton,nan,Percent,13217,899
Georgia,Oconee,nan,Percent,13219,901
Georgia,Oglethorpe,nan,Percent,13221,905
Georgia,Paulding,nan,Percent,13223,908
Georgia,Peach,nan,Percent,13225,910
Georgia,Pickens,nan,Percent,13227,912
Georgia,Pierce,nan,Percent,13229,915
Georgia,Pike,nan,Percent,13231,7
Georgia,Polk,nan,Percent,13233,8
Georgia,Pulaski,nan,Percent,13235,11
Georgia,Putnam,nan,Percent,13237,13
