State,County,Hawaiian or Pacific Islander low access to store (%) 2015 (PCT_LACCESS_NHPI15),Units,FIPS,FID
Colorado,Clear Creek,0.0,Percent,8019,591
Colorado,Conejos,0.0,Percent,8021,596
Colorado,Costilla,0.25539160045402953,Percent,8023,599
Colorado,Crowley,0.0,Percent,8025,605
Colorado,Custer,0.0,Percent,8027,610
Colorado,Delta,0.003702695942593726,Percent,8029,617
Colorado,Denver,0.012945549949805287,Percent,8031,628
Colorado,Dolores,0.09689922480620156,Percent,8033,636
Colorado,Douglas,0.01357164511406698,Percent,8035,644
Colorado,Eagle,0.0008453102306867253,Percent,8037,648
Colorado,Elbert,0.019133607623405137,Percent,8039,655
Colorado,El Paso,0.10431984331827683,Percent,8041,661
Colorado,Fremont,0.020432947089908594,Percent,8043,664
Colorado,Garfield,0.01956506291715441,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.0,Percent,8049,677
Colorado,Gunnison,0.0,Percent,8051,682
Colorado,Hinsdale,0.0,Percent,8053,688
Colorado,Huerfano,0.08940545671143883,Percent,8055,693
Colorado,Jackson,0.0,Percent,8057,701
Colorado,Jefferson,0.01871200235138071,Percent,8059,706
Colorado,Kiowa,0.0,Percent,8061,711
Colorado,Kit Carson,0.01209189822957001,Percent,8063,716
Colorado,Lake,0.0,Percent,8065,721
Colorado,La Plata,0.010173188673309056,Percent,8067,727
Colorado,Larimer,0.014395535087555585,Percent,8069,734
Colorado,Las Animas,0.020033807358074807,Percent,8071,741
Colorado,Lincoln,0.018291567008140334,Percent,8073,747
Colorado,Logan,0.006559030782583778,Percent,8075,749
Colorado,Mesa,0.023544471930506468,Percent,8077,751
Colorado,Mineral,0.0,Percent,8079,757
Colorado,Moffat,0.0,Percent,8081,758
Colorado,Montezuma,0.0,Percent,8083,766
Colorado,Montrose,0.009258016184225434,Percent,8085,769
Colorado,Morgan,0.011643677317006888,Percent,8087,775
Colorado,Otero,0.01472921556204976,Percent,8089,777
Colorado,Ouray,0.0,Percent,8091,780
Colorado,Park,0.008933187932360854,Percent,8093,782
Colorado,Phillips,0.0,Percent,8095,785
Colorado,Pitkin,0.00022282701557889257,Percent,8097,789
Colorado,Prowers,0.006899440370345151,Percent,8099,792
Colorado,Pueblo,0.02652481748741392,Percent,8101,795
Colorado,Rio Blanco,0.0,Percent,8103,799
Colorado,Rio Grande,0.00887293773146962,Percent,8105,802
Colorado,Routt,0.019462417901036498,Percent,8107,809
Colorado,Saguache,0.0,Percent,8109,811
Colorado,San Juan,0.0,Percent,8111,347
Colorado,San Miguel,0.0,Percent,8113,359
Colorado,Sedgwick,0.0,Percent,8115,366
Colorado,Summit,0.007269317894123919,Percent,8117,373
Colorado,Teller,0.0048295399393463384,Percent,8119,375
Colorado,Washington,0.04154549231408392,Percent,8121,377
Colorado,Weld,0.008437051545896806,Percent,8123,382
Colorado,Yuma,0.029871552514227722,Percent,8125,385
