State,County,Seniors low access to store (%) 2015 (PCT_LACCESS_SENIORS15),Units,FIPS,FID
Arkansas,Polk,6.555584831507357,Percent,5113,337
Arkansas,Pope,1.5310744910725946,Percent,5115,340
Arkansas,Prairie,7.455477225504854,Percent,5117,345
Arkansas,Pulaski,2.9250495721697045,Percent,5119,350
Arkansas,Randolph,5.876929084114976,Percent,5121,353
Arkansas,St. Francis,3.350526508630299,Percent,5123,357
Arkansas,Saline,3.4817613572261057,Percent,5125,360
Arkansas,Scott,3.4947836300863613,Percent,5127,364
Arkansas,Searcy,6.614450189538047,Percent,5129,372
Arkansas,Sebastian,1.3617384998279123,Percent,5131,378
Arkansas,Sevier,3.1331440781473616,Percent,5133,390
Arkansas,Sharp,6.875343810404077,Percent,5135,394
Arkansas,Stone,4.701491413829466,Percent,5137,399
Arkansas,Union,4.31192337436389,Percent,5139,403
Arkansas,Van Buren,2.0171913218671813,Percent,5141,407
Arkansas,Washington,1.168728201300298,Percent,5143,417
Arkansas,White,1.7186206863182185,Percent,5145,428
Arkansas,Woodruff,1.0897418830854038,Percent,5147,435
Arkansas,Yell,2.75521280168197,Percent,5149,438
California,Alameda,0.8356745880813709,Percent,6001,457
California,Alpine,7.580931544907643,Percent,6003,461
California,Amador,1.809732593068171,Percent,6005,472
California,Butte,4.211659146766296,Percent,6007,486
California,Calaveras,1.6283803374230066,Percent,6009,489
California,Colusa,1.6616457762428638,Percent,6011,497
California,Contra Costa,2.9461320444388837,Percent,6013,503
California,Del Norte,4.527387799158337,Percent,6015,511
California,El Dorado,3.783258092100266,Percent,6017,522
California,Fresno,0.8502017606393767,Percent,6019,527
California,Glenn,1.3341955425361034,Percent,6021,537
California,Humboldt,2.3124496218982937,Percent,6023,551
California,Imperial,1.6664311792000484,Percent,6025,557
California,Inyo,8.204375497172869,Percent,6027,562
California,Kern,1.3493633892260528,Percent,6029,84
California,Kings,0.8266753637855697,Percent,6031,94
California,Lake,3.5339325872165777,Percent,6033,100
California,Lassen,3.6661493928272533,Percent,6035,104
California,Los Angeles,0.8254248918280878,Percent,6037,139
California,Madera,1.678686789918086,Percent,6039,153
California,Marin,2.409647847674608,Percent,6041,168
California,Mariposa,2.3785006482504247,Percent,6043,178
California,Mendocino,2.419703020154017,Percent,6045,190
California,Merced,1.3972874111858613,Percent,6047,204
California,Modoc,6.0164451013551,Percent,6049,207
California,Mono,6.650576508227074,Percent,6051,214
California,Monterey,1.5947497316700359,Percent,6053,228
California,Napa,2.5151819333158394,Percent,6055,236
California,Nevada,5.515783211987009,Percent,6057,243
California,Orange,0.9123105406818078,Percent,6059,257
California,Placer,2.7506737919528312,Percent,6061,266
California,Plumas,1.5828624560636477,Percent,6063,275
California,Riverside,2.624378140991697,Percent,6065,281
California,Sacramento,1.5836669974198474,Percent,6067,289
California,San Benito,2.1145531991034936,Percent,6069,295
California,San Bernardino,2.077251119011542,Percent,6071,302
California,San Diego,1.757413811908941,Percent,6073,315
California,San Francisco,0.017170491461236285,Percent,6075,331
California,San Joaquin,1.1493934318725476,Percent,6077,339
California,San Luis Obispo,2.7744434490718746,Percent,6079,351
California,San Mateo,1.528476071606498,Percent,6081,368
California,Santa Barbara,2.13889760830839,Percent,6083,391
California,Santa Clara,1.0332258686201885,Percent,6085,406
California,Santa Cruz,1.5496102524608852,Percent,6087,415
California,Shasta,4.210151894767971,Percent,6089,431
California,Sierra,18.358237785471022,Percent,6091,439
California,Siskiyou,4.149929967547907,Percent,6093,446
California,Solano,1.652319908876771,Percent,6095,453
California,Sonoma,2.5048425303929296,Percent,6097,463
California,Stanislaus,1.1305208499219714,Percent,6099,473
California,Sutter,4.002542463261725,Percent,6101,483
California,Tehama,3.4500383367103664,Percent,6103,492
California,Trinity,3.8818693376687947,Percent,6105,500
California,Tulare,1.2305534343508444,Percent,6107,501
California,Tuolumne,5.55504871685489,Percent,6109,513
California,Ventura,2.0847184236468776,Percent,6111,521
California,Yolo,0.8079041607857147,Percent,6113,525
California,Yuba,1.6373886232626291,Percent,6115,541
Colorado,Adams,1.1934105424493764,Percent,8001,545
Colorado,Alamosa,0.7958769178079379,Percent,8003,549
Colorado,Arapahoe,1.1016027096055283,Percent,8005,558
Colorado,Archuleta,5.02590506965374,Percent,8007,560
Colorado,Baca,5.202283360451319,Percent,8009,563
Colorado,Bent,2.787760766590045,Percent,8011,564
Colorado,Boulder,1.5714813970503825,Percent,8013,570
Colorado,Broomfield,2.9248864958223084,Percent,8014,577
Colorado,Chaffee,2.5573139750045595,Percent,8015,582
Colorado,Cheyenne,5.793918469800109,Percent,8017,587
Colorado,Clear Creek,1.7361082233067668,Percent,8019,591
Colorado,Conejos,1.0528111700635756,Percent,8021,596
Colorado,Costilla,22.900113501841485,Percent,8023,599
Colorado,Crowley,1.7240388536891293,Percent,8025,605
Colorado,Custer,6.148251928882256,Percent,8027,610
Colorado,Delta,1.4474910669944558,Percent,8029,617
Colorado,Denver,0.8280934750589695,Percent,8031,628
Colorado,Dolores,18.79844951949622,Percent,8033,636
Colorado,Douglas,1.2942109595604014,Percent,8035,644
Colorado,Eagle,0.9213465052408644,Percent,8037,648
Colorado,Elbert,3.016420962102127,Percent,8039,655
Colorado,El Paso,2.4263976695400817,Percent,8041,661
Colorado,Fremont,6.522711544861652,Percent,8043,664
Colorado,Garfield,0.9429194849000461,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.2658106227267176,Percent,8049,677
Colorado,Gunnison,1.9993355158005024,Percent,8051,682
