State,County,SNAP households low access to store (%) 2015 (PCT_LACCESS_SNAP15),Units,FIPS,FID
Arkansas,Miller,4.864921882439758,Percent,5091,287
Arkansas,Mississippi,2.868571652233025,Percent,5093,294
Arkansas,Monroe,3.164176430935392,Percent,5095,300
Arkansas,Montgomery,3.3053519807851006,Percent,5097,304
Arkansas,Nevada,3.862657869193589,Percent,5099,307
Arkansas,Newton,6.854053596596163,Percent,5101,311
Arkansas,Ouachita,4.460838453316859,Percent,5103,316
Arkansas,Perry,2.1423461309585226,Percent,5105,318
Arkansas,Phillips,15.917786928087152,Percent,5107,322
Arkansas,Pike,3.2167333144700696,Percent,5109,327
Arkansas,Poinsett,8.89673749557483,Percent,5111,333
Arkansas,Polk,7.682437350046604,Percent,5113,337
Arkansas,Pope,1.6605760422779214,Percent,5115,340
Arkansas,Prairie,6.692283180762361,Percent,5117,345
Arkansas,Pulaski,3.6181047770551102,Percent,5119,350
Arkansas,Randolph,6.107873291066242,Percent,5121,353
Arkansas,St. Francis,7.426433772683725,Percent,5123,357
Arkansas,Saline,2.3266926645253445,Percent,5125,360
Arkansas,Scott,2.3177861415182464,Percent,5127,364
Arkansas,Searcy,4.472898761492614,Percent,5129,372
Arkansas,Sebastian,1.2604504168727675,Percent,5131,378
Arkansas,Sevier,4.771796989612603,Percent,5133,390
Arkansas,Sharp,4.137239545567541,Percent,5135,394
Arkansas,Stone,3.352241737442986,Percent,5137,399
Arkansas,Union,4.814989315179217,Percent,5139,403
Arkansas,Van Buren,2.20265353125228,Percent,5141,407
Arkansas,Washington,1.631119523673356,Percent,5143,417
Arkansas,White,1.8220788217472805,Percent,5145,428
Arkansas,Woodruff,1.3279482945119272,Percent,5147,435
Arkansas,Yell,2.5998828281925292,Percent,5149,438
California,Alameda,0.2361719015281892,Percent,6001,457
California,Alpine,3.3869342406604024,Percent,6003,461
California,Amador,0.6694080180830243,Percent,6005,472
California,Butte,2.155046023599078,Percent,6007,486
California,Calaveras,0.5847567795171238,Percent,6009,489
California,Colusa,0.9510911799049717,Percent,6011,497
California,Contra Costa,0.6457018253942839,Percent,6013,503
California,Del Norte,4.302554282079429,Percent,6015,511
California,El Dorado,1.327695627099779,Percent,6017,522
California,Fresno,1.4985204375634245,Percent,6019,527
California,Glenn,0.7932819492355969,Percent,6021,537
California,Humboldt,1.1967734412973123,Percent,6023,551
California,Imperial,2.459753132664862,Percent,6025,557
California,Inyo,3.2190334994411227,Percent,6027,562
California,Kern,1.6982309627506187,Percent,6029,84
California,Kings,0.9904476979484926,Percent,6031,94
California,Lake,2.057402474244,Percent,6033,100
California,Lassen,2.0175808494249354,Percent,6035,104
California,Los Angeles,0.2990478197959437,Percent,6037,139
California,Madera,3.3464946009454954,Percent,6039,153
California,Marin,0.310811297251776,Percent,6041,168
California,Mariposa,1.0006804094231418,Percent,6043,178
California,Mendocino,1.6420494062834141,Percent,6045,190
California,Merced,2.4799004196327172,Percent,6047,204
California,Modoc,1.5063588944849606,Percent,6049,207
