State,County,Adult obesity rate 2017 (PCT_OBESE_ADULTS17),Units,FIPS,FID
Georgia,Chattahoochee,31.6,Percent,13053,656
Georgia,Chattooga,31.6,Percent,13055,659
Georgia,Cherokee,31.6,Percent,13057,662
Georgia,Clarke,31.6,Percent,13059,666
Georgia,Clay,31.6,Percent,13061,670
Georgia,Clayton,31.6,Percent,13063,673
Georgia,Clinch,31.6,Percent,13065,676
Georgia,Cobb,31.6,Percent,13067,680
Georgia,Coffee,31.6,Percent,13069,684
Georgia,Colquitt,31.6,Percent,13071,689
Georgia,Columbia,31.6,Percent,13073,692
Georgia,Cook,31.6,Percent,13075,697
Georgia,Coweta,31.6,Percent,13077,700
Georgia,Crawford,31.6,Percent,13079,704
Georgia,Crisp,31.6,Percent,13081,707
Georgia,Dade,31.6,Percent,13083,708
Georgia,Dawson,31.6,Percent,13085,713
Georgia,Decatur,31.6,Percent,13087,714
Georgia,DeKalb,31.6,Percent,13089,718
Georgia,Dodge,31.6,Percent,13091,720
Georgia,Dooly,31.6,Percent,13093,724
Georgia,Dougherty,31.6,Percent,13095,728
Georgia,Douglas,31.6,Percent,13097,731
Georgia,Early,31.6,Percent,13099,735
Georgia,Echols,31.6,Percent,13101,737
Georgia,Effingham,31.6,Percent,13103,742
Georgia,Elbert,31.6,Percent,13105,746
Georgia,Emanuel,31.6,Percent,13107,750
Georgia,Evans,31.6,Percent,13109,754
Georgia,Fannin,31.6,Percent,13111,755
Georgia,Fayette,31.6,Percent,13113,760
Georgia,Floyd,31.6,Percent,13115,764
Georgia,Forsyth,31.6,Percent,13117,768
Georgia,Franklin,31.6,Percent,13119,772
Georgia,Fulton,31.6,Percent,13121,779
Georgia,Gilmer,31.6,Percent,13123,781
Georgia,Glascock,31.6,Percent,13125,783
Georgia,Glynn,31.6,Percent,13127,793
Georgia,Gordon,31.6,Percent,13129,796
Georgia,Grady,31.6,Percent,13131,797
Georgia,Greene,31.6,Percent,13133,800
Georgia,Gwinnett,31.6,Percent,13135,804
Georgia,Habersham,31.6,Percent,13137,806
Georgia,Hall,31.6,Percent,13139,808
Georgia,Hancock,31.6,Percent,13141,810
Georgia,Haralson,31.6,Percent,13143,813
Georgia,Harris,31.6,Percent,13145,814
Georgia,Hart,31.6,Percent,13147,816
Georgia,Heard,31.6,Percent,13149,817
Georgia,Henry,31.6,Percent,13151,820
Georgia,Houston,31.6,Percent,13153,823
Georgia,Irwin,31.6,Percent,13155,825
Georgia,Jackson,31.6,Percent,13157,828
Georgia,Jasper,31.6,Percent,13159,830
Georgia,Jeff Davis,31.6,Percent,13161,832
