State,County,Multiracial low access to store (%) 2015 (PCT_LACCESS_MULTIR15),Units,FIPS,FID
California,Placer,1.0899370423885493,Percent,6061,266
California,Plumas,0.8347982304663117,Percent,6063,275
California,Riverside,4.6964826903877395,Percent,6065,281
California,Sacramento,1.8323445991087959,Percent,6067,289
California,San Benito,3.5390983637616933,Percent,6069,295
California,San Bernardino,4.667665530723262,Percent,6071,302
California,San Diego,1.4810183199442286,Percent,6073,315
California,San Francisco,0.09169694752958725,Percent,6075,331
California,San Joaquin,2.9479768208203487,Percent,6077,339
California,San Luis Obispo,1.6039337244812546,Percent,6079,351
California,San Mateo,0.8231562283502535,Percent,6081,368
California,Santa Barbara,2.1829674297524835,Percent,6083,391
California,Santa Clara,0.9121383930594026,Percent,6085,406
California,Santa Cruz,2.337485955389299,Percent,6087,415
California,Shasta,1.590323512778178,Percent,6089,431
California,Sierra,4.176008486625308,Percent,6091,439
California,Siskiyou,1.9936587285433498,Percent,6093,446
California,Solano,2.5046652616276757,Percent,6095,453
California,Sonoma,2.060613471511592,Percent,6097,463
California,Stanislaus,2.74441709099945,Percent,6099,473
California,Sutter,5.564337104976187,Percent,6101,483
California,Tehama,2.5095179794579043,Percent,6103,492
California,Trinity,1.2260359290821485,Percent,6105,500
California,Tulare,4.880672782898578,Percent,6107,501
California,Tuolumne,1.8968315536464373,Percent,6109,513
California,Ventura,2.356226092657139,Percent,6111,521
California,Yolo,1.2844547684282372,Percent,6113,525
California,Yuba,5.16864570469571,Percent,6115,541
Colorado,Adams,2.7905553809060626,Percent,8001,545
Colorado,Alamosa,0.7764759469855098,Percent,8003,549
Colorado,Arapahoe,0.9369596048606302,Percent,8005,558
Colorado,Archuleta,4.366819968062455,Percent,8007,560
Colorado,Baca,1.2546108861860374,Percent,8009,563
Colorado,Bent,2.4352630723273734,Percent,8011,564
Colorado,Boulder,1.078423811517434,Percent,8013,570
Colorado,Broomfield,1.8627947463381704,Percent,8014,577
Colorado,Chaffee,0.2794920218803998,Percent,8015,582
Colorado,Cheyenne,2.650006479456574,Percent,8017,587
Colorado,Clear Creek,0.4078036677993354,Percent,8019,591
Colorado,Conejos,1.0170337907657716,Percent,8021,596
Colorado,Costilla,27.12065186150593,Percent,8023,599
Colorado,Crowley,0.41626094178304995,Percent,8025,605
Colorado,Custer,0.7808411002901456,Percent,8027,610
Colorado,Delta,1.0177439051913995,Percent,8029,617
Colorado,Denver,2.088690665815152,Percent,8031,628
Colorado,Dolores,3.682170520070993,Percent,8033,636
Colorado,Douglas,0.7843111077538578,Percent,8035,644
Colorado,Eagle,2.250822919233941,Percent,8037,648
Colorado,Elbert,0.8502999543136318,Percent,8039,655
Colorado,El Paso,2.642661251222682,Percent,8041,661
Colorado,Fremont,1.3029829143031328,Percent,8043,664
Colorado,Garfield,2.8082193645603577,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.1032894597964367,Percent,8049,677
Colorado,Gunnison,0.3300604488418729,Percent,8051,682
Colorado,Hinsdale,0.36688779123897985,Percent,8053,688
Colorado,Huerfano,2.8120923784560725,Percent,8055,693
Colorado,Jackson,1.5361376848909971,Percent,8057,701
Colorado,Jefferson,1.1521571205751138,Percent,8059,706
Colorado,Kiowa,2.9327611215145213,Percent,8061,711
Colorado,Kit Carson,0.5890988520061693,Percent,8063,716
Colorado,Lake,4.785625467801601,Percent,8065,721
Colorado,La Plata,0.7114887436424105,Percent,8067,727
Colorado,Larimer,1.0065000063085905,Percent,8069,734
Colorado,Las Animas,4.331660426135874,Percent,8071,741
Colorado,Lincoln,1.3353840203389518,Percent,8073,747
Colorado,Logan,0.8189955783493593,Percent,8075,749
Colorado,Mesa,2.4401494295331267,Percent,8077,751
Colorado,Mineral,0.3269658485091713,Percent,8079,757
Colorado,Moffat,1.4884354514616527,Percent,8081,758
Colorado,Montezuma,0.7698942888462462,Percent,8083,766
Colorado,Montrose,3.6525842932358756,Percent,8085,769
Colorado,Morgan,2.3120137344415888,Percent,8087,775
Colorado,Otero,5.775047041200096,Percent,8089,777
Colorado,Ouray,0.0868789197792881,Percent,8091,780
Colorado,Park,1.6272735294780885,Percent,8093,782
Colorado,Phillips,0.055635202720539165,Percent,8095,785
Colorado,Pitkin,0.27305861164431483,Percent,8097,789
Colorado,Prowers,4.159936188118015,Percent,8099,792
Colorado,Pueblo,5.735869923181765,Percent,8101,795
Colorado,Rio Blanco,0.2687050077589319,Percent,8103,799
Colorado,Rio Grande,0.640369271571226,Percent,8105,802
Colorado,Routt,0.8391070840101961,Percent,8107,809
Colorado,Saguache,1.1999095231107533,Percent,8109,811
Colorado,San Juan,5.972902835830786,Percent,8111,347
Colorado,San Miguel,0.22342666144491916,Percent,8113,359
Colorado,Sedgwick,1.218999598636528,Percent,8115,366
Colorado,Summit,1.810356999218204,Percent,8117,373
Colorado,Teller,0.4287920793321756,Percent,8119,375
Colorado,Washington,2.52953577387366,Percent,8121,377
Colorado,Weld,2.103953137197967,Percent,8123,382
Colorado,Yuma,1.3728343478355172,Percent,8125,385
Connecticut,Fairfield,0.921815281436354,Percent,9001,410
Connecticut,Hartford,1.1119657689698852,Percent,9003,432
Connecticut,Litchfield,0.46256045233940357,Percent,9005,443
Connecticut,Middlesex,0.9889036492532955,Percent,9007,450
Connecticut,New Haven,1.168806867073151,Percent,9009,466
Connecticut,New London,2.320460656126106,Percent,9011,517
Connecticut,Tolland,1.2678249023811097,Percent,9013,524
Connecticut,Windham,0.8764316627772909,Percent,9015,529
Delaware,Kent,0.8474730413282915,Percent,10001,532
Delaware,New Castle,1.1806701512497737,Percent,10003,536
Delaware,Sussex,0.8311724304665652,Percent,10005,609
District of Columbia,District of Columbia,0.07392953576568886,Percent,11001,630
Florida,Alachua,0.7077246044816161,Percent,12001,639
Florida,Baker,0.6771333911511858,Percent,12003,641
Florida,Bay,1.430600905227418,Percent,12005,658
Florida,Bradford,0.1123974577696157,Percent,12007,665
Florida,Brevard,1.656170577517097,Percent,12009,686
Florida,Broward,0.521206052361079,Percent,12011,695
Florida,Calhoun,0.6554214501051446,Percent,12013,699
Florida,Charlotte,1.1079156905460814,Percent,12015,743
Florida,Citrus,0.7116033359647257,Percent,12017,843
Florida,Clay,1.0675644376293507,Percent,12019,852
Florida,Collier,2.0154030187303684,Percent,12021,894
Florida,Columbia,0.5892000312984126,Percent,12023,903
Florida,DeSoto,1.9483501800409728,Percent,12027,906
Florida,Dixie,0.028085637997069056,Percent,12029,918
Florida,Duval,1.236184982879031,Percent,12031,924
Florida,Escambia,1.683654340191567,Percent,12033,931
Florida,Flagler,1.4730694746882,Percent,12035,935
Florida,Franklin,0.10033829014614686,Percent,12037,937
Florida,Gadsden,0.9239468369567698,Percent,12039,938
Florida,Gilchrist,0.00427176664377811,Percent,12041,939
Florida,Glades,3.8260662550070714,Percent,12043,940
Florida,Gulf,0.3103089604410055,Percent,12045,941
Florida,Hamilton,0.659281766553428,Percent,12047,942
Florida,Hardee,6.04470988085197,Percent,12049,943
Florida,Hendry,4.59446841722141,Percent,12051,944
Florida,Hernando,1.4171752074057171,Percent,12053,945
Florida,Highlands,2.498786306990059,Percent,12055,946
Florida,Hillsborough,1.8722481776647988,Percent,12057,947
Florida,Holmes,0.49047060879647014,Percent,12059,948
Florida,Indian River,1.3677508402277292,Percent,12061,949
Florida,Jackson,0.10419226564312367,Percent,12063,950
Florida,Jefferson,0.3272357007554075,Percent,12065,951
Florida,Lafayette,0.12295468482267419,Percent,12067,952
Florida,Lake,1.3163923954603403,Percent,12069,953
Florida,Lee,1.6789886856508403,Percent,12071,954
Florida,Leon,0.9203968761039941,Percent,12073,955
Florida,Levy,0.361173962053506,Percent,12075,956
Florida,Liberty,0.73439881020359,Percent,12077,957
Florida,Madison,0.48789766823855335,Percent,12079,958
Florida,Manatee,1.1126198244576608,Percent,12081,959
Florida,Marion,1.222481770470015,Percent,12083,960
Florida,Martin,0.9088928863742671,Percent,12085,961
Florida,Miami-Dade,0.24373645329563315,Percent,12086,962
Florida,Monroe,0.7582775199027295,Percent,12087,963
Florida,Nassau,0.6104071483313146,Percent,12089,964
Florida,Okaloosa,2.1538595514400516,Percent,12091,965
Florida,Okeechobee,7.187925916658417,Percent,12093,966
Florida,Orange,1.6975824360568035,Percent,12095,967
Florida,Osceola,3.1890390814720027,Percent,12097,968
Florida,Palm Beach,0.7417497484069572,Percent,12099,969
Florida,Pasco,0.96125894731088,Percent,12101,970
Florida,Pinellas,0.4951621388356857,Percent,12103,971
Florida,Polk,2.380305361803287,Percent,12105,972
Florida,Putnam,1.1290367513006736,Percent,12107,973
Florida,St. Johns,0.5422645632180868,Percent,12109,974
Florida,St. Lucie,2.1159124565252405,Percent,12111,975
Florida,Santa Rosa,1.7200673283207135,Percent,12113,976
Florida,Sarasota,0.635634070262389,Percent,12115,977
Florida,Seminole,1.4989336916041591,Percent,12117,978
Florida,Sumter,0.20506892862480947,Percent,12119,979
Florida,Suwannee,1.008418764591591,Percent,12121,980
Florida,Taylor,0.543817074466872,Percent,12123,981
Florida,Union,0.3065364260131291,Percent,12125,982
Florida,Volusia,1.8488682391796223,Percent,12127,983
Florida,Wakulla,0.01031183303094005,Percent,12129,984
Florida,Walton,0.5236062694245789,Percent,12131,985
Florida,Washington,1.3119631736926212,Percent,12133,986
Georgia,Appling,1.0865274126746383,Percent,13001,987
Georgia,Atkinson,3.5595651233404655,Percent,13003,988
Georgia,Bacon,0.9984688263040464,Percent,13005,989
Georgia,Baker,2.5018582479888845,Percent,13007,990
Georgia,Baldwin,0.33905715757229,Percent,13009,991
Georgia,Banks,0.9272533910654145,Percent,13011,992
Georgia,Barrow,0.7572107619446783,Percent,13013,993
Georgia,Bartow,2.252668741238096,Percent,13015,994
Georgia,Ben Hill,1.8553670098636552,Percent,13017,995
Georgia,Berrien,0.7103004902618117,Percent,13019,996
Georgia,Bibb,0.7044189582438941,Percent,13021,997
Georgia,Bleckley,0.1547499452813228,Percent,13023,998
Georgia,Brantley,0.11509807392123624,Percent,13025,999
Georgia,Brooks,0.49725808380167824,Percent,13027,565
Georgia,Bryan,1.0821341588834221,Percent,13029,573
Georgia,Bulloch,0.2201961992370893,Percent,13031,579
Georgia,Burke,0.1814235567743378,Percent,13033,583
Georgia,Butts,0.11717722887374887,Percent,13035,588
Georgia,Calhoun,0.21266877648642965,Percent,13037,592
Georgia,Camden,2.1720375609653355,Percent,13039,603
Georgia,Candler,0.1608727385807983,Percent,13043,616
Georgia,Carroll,1.5663232008088883,Percent,13045,620
Georgia,Catoosa,0.8817747208545884,Percent,13047,626
Georgia,Charlton,0.2564757415338682,Percent,13049,635
Georgia,Chatham,0.9445270915442578,Percent,13051,646
Georgia,Chattahoochee,8.569344983777723,Percent,13053,656
Georgia,Chattooga,0.3703740739019281,Percent,13055,659
Georgia,Cherokee,1.826608068267987,Percent,13057,662
Georgia,Clarke,3.288043568345588,Percent,13059,666
Georgia,Clay,0.9423730988274583,Percent,13061,670
Georgia,Clayton,2.9351357625784273,Percent,13063,673
Georgia,Clinch,0.3912796045228744,Percent,13065,676
Georgia,Cobb,2.698309904583521,Percent,13067,680
Georgia,Coffee,1.4736572024798587,Percent,13069,684
