State,County,Convenience stores per 1000 pop 2016 (CONVSPTH16),Units,FIPS,FID
Arkansas,Lee,0.106837607,"# per 1,000 pop",5077,237
Arkansas,Lincoln,0.579290369,"# per 1,000 pop",5079,244
Arkansas,Little River,0.402252615,"# per 1,000 pop",5081,251
Arkansas,Logan,0.875051812,"# per 1,000 pop",5083,258
Arkansas,Lonoke,0.432013601,"# per 1,000 pop",5085,268
Arkansas,Madison,0.558832661,"# per 1,000 pop",5087,277
Arkansas,Marion,0.305455434,"# per 1,000 pop",5089,282
Arkansas,Miller,0.592606099,"# per 1,000 pop",5091,287
Arkansas,Mississippi,0.512999883,"# per 1,000 pop",5093,294
Arkansas,Monroe,1.382170007,"# per 1,000 pop",5095,300
Arkansas,Montgomery,0.558721645,"# per 1,000 pop",5097,304
Arkansas,Nevada,0.597086219,"# per 1,000 pop",5099,307
Arkansas,Newton,0.635404753,"# per 1,000 pop",5101,311
Arkansas,Ouachita,0.582871893,"# per 1,000 pop",5103,316
Arkansas,Perry,0.486712742,"# per 1,000 pop",5105,318
Arkansas,Phillips,0.839895013,"# per 1,000 pop",5107,322
Arkansas,Pike,0.647129518,"# per 1,000 pop",5109,327
Arkansas,Poinsett,0.749750083,"# per 1,000 pop",5111,333
Arkansas,Polk,0.744749516,"# per 1,000 pop",5113,337
Arkansas,Pope,0.407191631,"# per 1,000 pop",5115,340
Arkansas,Prairie,0.846330553,"# per 1,000 pop",5117,345
Arkansas,Pulaski,0.574074686,"# per 1,000 pop",5119,350
Arkansas,Randolph,0.631893382,"# per 1,000 pop",5121,353
Arkansas,St. Francis,0.760340633,"# per 1,000 pop",5123,357
Arkansas,Saline,0.314687396,"# per 1,000 pop",5125,360
Arkansas,Scott,0.386100386,"# per 1,000 pop",5127,364
Arkansas,Searcy,0.502197112,"# per 1,000 pop",5129,372
Arkansas,Sebastian,0.501697147,"# per 1,000 pop",5131,378
Arkansas,Sevier,0.825715128,"# per 1,000 pop",5133,390
Arkansas,Sharp,0.350099195,"# per 1,000 pop",5135,394
Arkansas,Stone,0.4,"# per 1,000 pop",5137,399
Arkansas,Union,0.802668874,"# per 1,000 pop",5139,403
Arkansas,Van Buren,0.721934785,"# per 1,000 pop",5141,407
Arkansas,Washington,0.311950791,"# per 1,000 pop",5143,417
Arkansas,White,0.53273802,"# per 1,000 pop",5145,428
Arkansas,Woodruff,1.3589008,"# per 1,000 pop",5147,435
Arkansas,Yell,0.605045146,"# per 1,000 pop",5149,438
California,Alameda,0.199608525,"# per 1,000 pop",6001,457
California,Alpine,0.0,"# per 1,000 pop",6003,461
California,Amador,0.320230566,"# per 1,000 pop",6005,472
California,Butte,0.32667476,"# per 1,000 pop",6007,486
California,Calaveras,0.507558204,"# per 1,000 pop",6009,489
California,Colusa,0.508200508,"# per 1,000 pop",6011,497
California,Contra Costa,0.195846818,"# per 1,000 pop",6013,503
California,Del Norte,0.14571949,"# per 1,000 pop",6015,511
California,El Dorado,0.311372616,"# per 1,000 pop",6017,522
California,Fresno,0.311372551,"# per 1,000 pop",6019,527
California,Glenn,0.572102835,"# per 1,000 pop",6021,537
California,Humboldt,0.27849233,"# per 1,000 pop",6023,551
California,Imperial,0.348104763,"# per 1,000 pop",6025,557
California,Inyo,0.887213042,"# per 1,000 pop",6027,562
California,Kern,0.320872774,"# per 1,000 pop",6029,84
California,Kings,0.287055148,"# per 1,000 pop",6031,94
California,Lake,0.484753714,"# per 1,000 pop",6033,100
California,Lassen,0.452430196,"# per 1,000 pop",6035,104
California,Los Angeles,0.1934869,"# per 1,000 pop",6037,139
California,Madera,0.361369591,"# per 1,000 pop",6039,153
California,Marin,0.160592203,"# per 1,000 pop",6041,168
California,Mariposa,0.342387583,"# per 1,000 pop",6043,178
California,Mendocino,0.456574096,"# per 1,000 pop",6045,190
California,Merced,0.286375233,"# per 1,000 pop",6047,204
California,Modoc,0.223688625,"# per 1,000 pop",6049,207
California,Mono,0.780086519,"# per 1,000 pop",6051,214
California,Monterey,0.281875411,"# per 1,000 pop",6053,228
California,Napa,0.310626972,"# per 1,000 pop",6055,236
California,Nevada,0.363441794,"# per 1,000 pop",6057,243
California,Orange,0.206753117,"# per 1,000 pop",6059,257
California,Placer,0.347604426,"# per 1,000 pop",6061,266
California,Plumas,0.851652739,"# per 1,000 pop",6063,275
California,Riverside,0.191073034,"# per 1,000 pop",6065,281
California,Sacramento,0.25375679,"# per 1,000 pop",6067,289
California,San Benito,0.20224151,"# per 1,000 pop",6069,295
California,San Bernardino,0.225068094,"# per 1,000 pop",6071,302
California,San Diego,0.228505969,"# per 1,000 pop",6073,315
California,San Francisco,0.12783885,"# per 1,000 pop",6075,331
California,San Joaquin,0.208363408,"# per 1,000 pop",6077,339
California,San Luis Obispo,0.32591522,"# per 1,000 pop",6079,351
California,San Mateo,0.192317438,"# per 1,000 pop",6081,368
California,Santa Barbara,0.221825873,"# per 1,000 pop",6083,391
California,Santa Clara,0.188447252,"# per 1,000 pop",6085,406
California,Santa Cruz,0.236195294,"# per 1,000 pop",6087,415
California,Shasta,0.514616219,"# per 1,000 pop",6089,431
California,Sierra,0.337381916,"# per 1,000 pop",6091,439
California,Siskiyou,0.597550045,"# per 1,000 pop",6093,446
California,Solano,0.256632706,"# per 1,000 pop",6095,453
California,Sonoma,0.285808988,"# per 1,000 pop",6097,463
California,Stanislaus,0.299250212,"# per 1,000 pop",6099,473
California,Sutter,0.416415083,"# per 1,000 pop",6101,483
California,Tehama,0.472857953,"# per 1,000 pop",6103,492
California,Trinity,0.623101488,"# per 1,000 pop",6105,500
California,Tulare,0.340685929,"# per 1,000 pop",6107,501
California,Tuolumne,0.464796326,"# per 1,000 pop",6109,513
California,Ventura,0.231466251,"# per 1,000 pop",6111,521
California,Yolo,0.25930848,"# per 1,000 pop",6113,525
California,Yuba,0.305912084,"# per 1,000 pop",6115,541
Colorado,Adams,0.251309322,"# per 1,000 pop",8001,545
Colorado,Alamosa,0.425376762,"# per 1,000 pop",8003,549
Colorado,Arapahoe,0.248057537,"# per 1,000 pop",8005,558
Colorado,Archuleta,0.467435338,"# per 1,000 pop",8007,560
Colorado,Baca,0.845546787,"# per 1,000 pop",8009,563
Colorado,Bent,0.528076043,"# per 1,000 pop",8011,564
Colorado,Boulder,0.233519007,"# per 1,000 pop",8013,570
Colorado,Broomfield,0.240568946,"# per 1,000 pop",8014,577
Colorado,Chaffee,0.89089194,"# per 1,000 pop",8015,582
Colorado,Cheyenne,0.54525627,"# per 1,000 pop",8017,587
Colorado,Clear Creek,1.281914325,"# per 1,000 pop",8019,591
Colorado,Conejos,0.247770069,"# per 1,000 pop",8021,596
Colorado,Costilla,1.079622132,"# per 1,000 pop",8023,599
Colorado,Crowley,0.190331176,"# per 1,000 pop",8025,605
Colorado,Custer,0.434688111,"# per 1,000 pop",8027,610
Colorado,Delta,0.395439267,"# per 1,000 pop",8029,617
Colorado,Denver,0.295058702,"# per 1,000 pop",8031,628
Colorado,Dolores,0.484966052,"# per 1,000 pop",8033,636
Colorado,Douglas,0.183082002,"# per 1,000 pop",8035,644
Colorado,Eagle,0.331101464,"# per 1,000 pop",8037,648
Colorado,Elbert,0.199672537,"# per 1,000 pop",8039,655
Colorado,El Paso,0.263577135,"# per 1,000 pop",8041,661
Colorado,Fremont,0.255830811,"# per 1,000 pop",8043,664
Colorado,Garfield,0.475333582,"# per 1,000 pop",8045,667
Colorado,Gilpin,0.33869602,"# per 1,000 pop",8047,672
Colorado,Grand,0.594883998,"# per 1,000 pop",8049,677
Colorado,Gunnison,0.303195682,"# per 1,000 pop",8051,682
Colorado,Hinsdale,2.541296061,"# per 1,000 pop",8053,688
Colorado,Huerfano,0.759647524,"# per 1,000 pop",8055,693
Colorado,Jackson,2.205882353,"# per 1,000 pop",8057,701
Colorado,Jefferson,0.273281959,"# per 1,000 pop",8059,706
Colorado,Kiowa,0.741839763,"# per 1,000 pop",8061,711
Colorado,Kit Carson,0.524383849,"# per 1,000 pop",8063,716
Colorado,Lake,1.05180121,"# per 1,000 pop",8065,721
Colorado,La Plata,0.416545929,"# per 1,000 pop",8067,727
Colorado,Larimer,0.254038773,"# per 1,000 pop",8069,734
Colorado,Las Animas,0.496912047,"# per 1,000 pop",8071,741
Colorado,Lincoln,1.078748652,"# per 1,000 pop",8073,747
Colorado,Logan,0.410490308,"# per 1,000 pop",8075,749
Colorado,Mesa,0.320440071,"# per 1,000 pop",8077,751
Colorado,Mineral,1.324503311,"# per 1,000 pop",8079,757
Colorado,Moffat,0.607856546,"# per 1,000 pop",8081,758
Colorado,Montezuma,0.577478345,"# per 1,000 pop",8083,766
Colorado,Montrose,0.218658892,"# per 1,000 pop",8085,769
Colorado,Morgan,0.463243417,"# per 1,000 pop",8087,775
Colorado,Otero,0.383792971,"# per 1,000 pop",8089,777
Colorado,Ouray,0.418060201,"# per 1,000 pop",8091,780
Colorado,Park,0.403458213,"# per 1,000 pop",8093,782
Colorado,Phillips,0.700770848,"# per 1,000 pop",8095,785
Colorado,Pitkin,0.391192579,"# per 1,000 pop",8097,789
Colorado,Prowers,0.834097923,"# per 1,000 pop",8099,792
Colorado,Pueblo,0.40040283,"# per 1,000 pop",8101,795
Colorado,Rio Blanco,0.771247879,"# per 1,000 pop",8103,799
Colorado,Rio Grande,0.617392838,"# per 1,000 pop",8105,802
Colorado,Routt,0.486243365,"# per 1,000 pop",8107,809
Colorado,Saguache,0.624317153,"# per 1,000 pop",8109,811
Colorado,San Juan,1.45137881,"# per 1,000 pop",8111,347
Colorado,San Miguel,0.376695128,"# per 1,000 pop",8113,359
Colorado,Sedgwick,0.0,"# per 1,000 pop",8115,366
Colorado,Summit,0.428590268,"# per 1,000 pop",8117,373
Colorado,Teller,0.457570715,"# per 1,000 pop",8119,375
Colorado,Washington,0.619067272,"# per 1,000 pop",8121,377
Colorado,Weld,0.261688468,"# per 1,000 pop",8123,382
Colorado,Yuma,0.395335046,"# per 1,000 pop",8125,385
Connecticut,Fairfield,0.266542772,"# per 1,000 pop",9001,410
Connecticut,Hartford,0.351759972,"# per 1,000 pop",9003,432
Connecticut,Litchfield,0.420542117,"# per 1,000 pop",9005,443
Connecticut,Middlesex,0.37936035,"# per 1,000 pop",9007,450
Connecticut,New Haven,0.369779051,"# per 1,000 pop",9009,466
Connecticut,New London,0.423308715,"# per 1,000 pop",9011,517
Connecticut,Tolland,0.363888981,"# per 1,000 pop",9013,524
Connecticut,Windham,0.361937919,"# per 1,000 pop",9015,529
Delaware,Kent,0.314728132,"# per 1,000 pop",10001,532
Delaware,New Castle,0.310118652,"# per 1,000 pop",10003,536
Delaware,Sussex,0.395287447,"# per 1,000 pop",10005,609
District of Columbia,District of Columbia,0.293715368,"# per 1,000 pop",11001,630
Florida,Alachua,0.461525076,"# per 1,000 pop",12001,639
Florida,Baker,0.644814616,"# per 1,000 pop",12003,641
Florida,Bay,0.655766372,"# per 1,000 pop",12005,658
Florida,Bradford,0.823106854,"# per 1,000 pop",12007,665
Florida,Brevard,0.517391447,"# per 1,000 pop",12009,686
Florida,Broward,0.40529502,"# per 1,000 pop",12011,695
Florida,Calhoun,0.278532136,"# per 1,000 pop",12013,699
Florida,Charlotte,0.331168576,"# per 1,000 pop",12015,743
Florida,Citrus,0.475557731,"# per 1,000 pop",12017,843
Florida,Clay,0.366724571,"# per 1,000 pop",12019,852
Florida,Collier,0.275884675,"# per 1,000 pop",12021,894
Florida,Columbia,0.822819528,"# per 1,000 pop",12023,903
Florida,DeSoto,0.417536534,"# per 1,000 pop",12027,906
Florida,Dixie,0.485525278,"# per 1,000 pop",12029,918
Florida,Duval,0.49871543,"# per 1,000 pop",12031,924
Florida,Escambia,0.558209367,"# per 1,000 pop",12033,931
Florida,Flagler,0.315384259,"# per 1,000 pop",12035,935
Florida,Franklin,0.678023561,"# per 1,000 pop",12037,937
Florida,Gadsden,0.801646626,"# per 1,000 pop",12039,938
Florida,Gilchrist,0.406740267,"# per 1,000 pop",12041,939
Florida,Glades,0.371471025,"# per 1,000 pop",12043,940
Florida,Gulf,0.49689441,"# per 1,000 pop",12045,941
Florida,Hamilton,1.186819324,"# per 1,000 pop",12047,942
Florida,Hardee,0.62109532,"# per 1,000 pop",12049,943
Florida,Hendry,0.681130172,"# per 1,000 pop",12051,944
Florida,Hernando,0.334739973,"# per 1,000 pop",12053,945
Florida,Highlands,0.521869277,"# per 1,000 pop",12055,946
Florida,Hillsborough,0.435718179,"# per 1,000 pop",12057,947
Florida,Holmes,0.772916989,"# per 1,000 pop",12059,948
Florida,Indian River,0.462406363,"# per 1,000 pop",12061,949
Florida,Jackson,0.559098816,"# per 1,000 pop",12063,950
Florida,Jefferson,1.291896935,"# per 1,000 pop",12065,951
Florida,Lafayette,0.577767506,"# per 1,000 pop",12067,952
Florida,Lake,0.435260903,"# per 1,000 pop",12069,953
Florida,Lee,0.343249745,"# per 1,000 pop",12071,954
Florida,Leon,0.435427799,"# per 1,000 pop",12073,955
Florida,Levy,0.727710722,"# per 1,000 pop",12075,956
Florida,Liberty,0.601033778,"# per 1,000 pop",12077,957
Florida,Madison,0.874030373,"# per 1,000 pop",12079,958
Florida,Manatee,0.375436345,"# per 1,000 pop",12081,959
Florida,Marion,0.499800367,"# per 1,000 pop",12083,960
Florida,Martin,0.454304535,"# per 1,000 pop",12085,961
Florida,Miami-Dade,0.32668955,"# per 1,000 pop",12086,962
Florida,Monroe,0.763220532,"# per 1,000 pop",12087,963
Florida,Nassau,0.513000175,"# per 1,000 pop",12089,964
Florida,Okaloosa,0.520221094,"# per 1,000 pop",12091,965
Florida,Okeechobee,0.761726909,"# per 1,000 pop",12093,966
Florida,Orange,0.396646112,"# per 1,000 pop",12095,967
Florida,Osceola,0.340246753,"# per 1,000 pop",12097,968
Florida,Palm Beach,0.347373171,"# per 1,000 pop",12099,969
Florida,Pasco,0.378015555,"# per 1,000 pop",12101,970
Florida,Pinellas,0.461487612,"# per 1,000 pop",12103,971
Florida,Polk,0.475249543,"# per 1,000 pop",12105,972
Florida,Putnam,0.649135407,"# per 1,000 pop",12107,973
Florida,St. Johns,0.310577504,"# per 1,000 pop",12109,974
Florida,St. Lucie,0.375719994,"# per 1,000 pop",12111,975
Florida,Santa Rosa,0.32340956,"# per 1,000 pop",12113,976
Florida,Sarasota,0.329394326,"# per 1,000 pop",12115,977
Florida,Seminole,0.374741954,"# per 1,000 pop",12117,978
Florida,Sumter,0.311166794,"# per 1,000 pop",12119,979
Florida,Suwannee,0.684384624,"# per 1,000 pop",12121,980
Florida,Taylor,1.039877023,"# per 1,000 pop",12123,981
Florida,Union,0.458505273,"# per 1,000 pop",12125,982
Florida,Volusia,0.538713665,"# per 1,000 pop",12127,983
Florida,Wakulla,0.439077936,"# per 1,000 pop",12129,984
Florida,Walton,0.550122249,"# per 1,000 pop",12131,985
Florida,Washington,0.449897751,"# per 1,000 pop",12133,986
Georgia,Appling,0.757370841,"# per 1,000 pop",13001,987
Georgia,Atkinson,0.841346154,"# per 1,000 pop",13003,988
Georgia,Bacon,1.055873295,"# per 1,000 pop",13005,989
Georgia,Baker,0.0,"# per 1,000 pop",13007,990
Georgia,Baldwin,0.818765214,"# per 1,000 pop",13009,991
Georgia,Banks,0.600797422,"# per 1,000 pop",13011,992
Georgia,Barrow,0.648584141,"# per 1,000 pop",13013,993
